conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
lawrence| I m good my friends Melissa Judith and Bob are going to be here I was wondering if you want to join us| [person:lawrence m 0-0][person:lawrence m 3-3][person:friends g() 4-4][person:melissa f 5-5][person:judith f 6-6][person:bob m 8-8][person:lawrence m 14-14][person:maria f 18-18]
maria| I don t know about that You all go way back together I d feel awkward| [person:maria f 0-0][person:friends g(melissa:judith:bob) 6-6][person:maria f 12-12]
lawrence| I ve told them all about you They really want to meet you| [person:lawrence m 0-0][person:friends g(melissa:judith:bob) 3-3][person:maria f 6-6][person:friends g(melissa:judith:bob) 7-7][person:maria f 12-12]
maria| What do they like to do| [person:friends g(melissa:judith:bob) 2-2]
lawrence| They re into all the same things you re into Melissa really likes pop music And Judith and Bob really love sushi like you We can all go to sushi together| [person:friends g(melissa:judith:bob) 0-0][person:maria f 7-7][person:melissa f 10-10][person:judith f 16-16][person:bob m 18-18][person:maria f 23-23][person:we g(lawrence:maria:melissa:judith:bob) 24-24]
maria| Yeah that new sushi place near my work is really good| [location:place s 4-4][person:maria f 6-6]
lawrence| Yeah we can all go there and do other things after So are you in| [person:we g(lawrence:maria:melissa:judith:bob) 1-1][location:place s 5-5][person:maria f 13-13]
maria| Okay let s do that You ve convinced me| [person:lawrence m 5-5][person:maria f 8-8]
lawrence| That s great We ll all meet you over there| [person:us g(lawrence:melissa:judith:bob) 3-3][person:maria f 7-7][location:place s 9-9]

conv:people_2019081902_153:aug_0:chat_0:chataug_0| alexis grace| [person:alexis f 0-0][person:grace f 1-1]
alexis| hey hi ther|
grace| as we discussed earlier what is your plan| [person:we g(alexis:grace) 1-1][person:alexis f 6-6]
alexis| i think new jersey is ok| [person:alexis f 0-0][location:new_jersey s 2-3]
grace| did you get a return ticket| [person:alexis f 1-1]
alexis| yes do you have one for your self and did you remember to tag along Jill Nicole and Juila| [person:grace f 2-2][person:grace f 6-6][person:grace f 10-10][person:jill f 15-15][person:nicole f 16-16]
grace| yes we did they are all in for the trip| [person:we g(grace:jill:nicole) 1-1][person:they g(jill:nicole) 3-3]
alexis| when are their return dates| [person:they g(jill:nicole) 2-2]
alexis| mine is 1st Jan| [person:alexis f 0-0]
alexis| Jill 29th| [person:jill f 0-0]
alexis| Julia 1st as mine| [person:julia f 0-0][person:alexis f 3-3]
alexis| and nicole 3rd she extended hers you know she likes to have fun| [person:nicole f 1-1][person:nicole f 3-3][person:nicole f 5-5][person:grace f 6-6][person:nicole f 8-8]
grace| ok wow so we do atrip from 24th to 30th all of us since that when we will all be available| [person:wealll g(alexis:grace:jill:nicole:julia) 3-3][person:wealll g(alexis:grace:jill:nicole:julia) 12-12][person:wealll g(alexis:grace:jill:nicole:julia) 16-16]
alexis| yeah sure|
alexis| drop them a text on the same| [person:they g(jill:nicole:julia) 1-1]
alexis| and request then to confirm with me| [person:alexis f 6-6]
grace| alright no worries|

conv:people_2019081902_154:aug_0:chat_0:chataug_0| michael tyler| [person:michael m 0-0][person:tyler m 1-1]
michael| Do you know we were planning to watch the SuperBowl for long time but still we did not do that| [person:tyler m 1-1][person:we g(michael:tyler) 3-3][person:we g(michael:tyler) 15-15]
tyler| Yes I know it What do you want to me to do now| [person:tyler m 1-1][person:michael m 6-6][person:tyler m 9-9]
michael| Shall we go to watch it now and also what about your opinion to ask our friends to join with us| [person:we g(michael:tyler) 1-1][person:tyler m 11-11][person:our g(michael:tyler) 15-15][person:friends g() 16-16][person:us g(michael:tyler) 20-20]
tyler| Whom do you want to invite May I know them| [person:michael m 2-2][person:tyler m 7-7][person:them g() 9-9]
michael| Steven and Arthur| [person:steven m 0-0][person:arthur m 2-2]
tyler| Hey I am also having the same thought to invite them what a coincidence| [person:tyler m 1-1][person:them g(steven:arthur) 10-10]
michael| That s great So Where do we go to watch it| [person:we g(michael:tyler) 6-6]
michael| Is there any place which is near and convenient to all of us| [location:place s 3-3][person:us g(michael:tyler) 12-12]
tyler| I also don t know We all have to decide it We can ask our friends also| [person:tyler m 0-0][person:we g(michael:tyler) 5-5][person:we g(michael:tyler) 11-11][person:our g(michael:tyler) 14-14][person:friends g() 15-15]
tyler| Do one thing You call our friends and tell about our plan and ask them about the nearest place| [person:michael m 3-3][person:our g(michael:tyler) 5-5][person:friends g() 6-6][person:our g(michael:tyler) 10-10][person:them g(steven:arthur) 14-14][location:place s 18-18]
michael| Okay I will do it so You get ready| [person:michael m 1-1][person:tyler m 6-6]

conv:people_2019081902_155:aug_0:chat_0:chataug_0| elizabeth julia| [person:elizabeth f 0-0][person:julia f 1-1]
elizabeth| Hi it s great to see you again| [person:julia f 6-6]
julia| Wow it s great seeing you How long has it been It most be more than 6 months I m doing good How about you| [person:elizabeth f 5-5][person:julia f 18-18][person:elizabeth f 24-24]
elizabeth| Not too bad|
julia| What movie are you and the family going to see| [person:elizabeth f 3-3][person:family g(elizabeth) 6-6]
elizabeth| came here to see the Simpsons movie How about you| [location:here u 1-1][person:julia f 9-9]
julia| I m going to watch Avenger eng game| [person:julia f 0-0]
elizabeth| What do you do for a living| [person:julia f 2-2]
julia| I work at the local school teaching English what do you for a living| [person:julia f 0-0][location:school s 5-5][person:elizabeth f 10-10]
elizabeth| I m also an English teacher but am currently out of work| [person:elizabeth f 0-0]
julia| Sorry to hear that It has been really nice talking to you| [person:elizabeth f 11-11]
elizabeth| Yes It was a great pleasure meeting you| [person:elizabeth f 7-7]
julia| k bye|
elizabeth| bye bye see u later| [person:julia f 3-3]

conv:people_2019081902_156:aug_0:chat_0:chataug_0| maria megan| [person:maria f 0-0][person:megan f 1-1]
megan| Hey Maria do you remember when the playoff game we re gonna watch is| [person:maria f 1-1][person:maria f 3-3][person:we g(megan:maria) 9-9]
maria| Hi Megan yes it s next Saturday| [person:megan f 1-1]
megan| Okay cool just making sure because I want to ask if Janice and Sarah want to come| [person:megan f 6-6][person:janice f 11-11][person:sarah f 13-13]
maria| Do you think they like that kind of stuff| [person:maria f 1-1][person:they g(janice:sarah) 3-3]
megan| I don t know for sure but it doesn t hurt to ask| [person:megan f 0-0]
maria| Well that s true Maybe it ll be fun for them if all four of us are together anyway| [person:they g(janice:sarah) 10-10][person:us g(megan:maria:janice:sarah) 15-15]
megan| Where do you think we should meet| [person:maria f 2-2][person:us g(megan:maria:janice:sarah) 4-4]
maria| If it s just the two of us we can just meet at the entrance| [person:us g(megan:maria:janice:sarah) 7-7][person:we g(megan:maria) 8-8]
maria| But the other two might not know where it is|
megan| True so if they accept we should meet at the closest bus station| [person:they g(janice:sarah) 3-3][person:us g(megan:maria:janice:sarah) 5-5][location:station s 12-12]
maria| Let me know when you ask them then| [person:maria f 1-1][person:megan f 4-4][person:they g(janice:sarah) 6-6]
megan| Sure Bye for now|

conv:people_2019081902_157:aug_0:chat_0:chataug_0| julia shawn| [person:julia f 0-0][person:shawn m 1-1]
shawn| Let s invite the Campbells and Wilsons for dinner sometime this week| [person:campbells g() 4-4][person:wilsons g() 6-6]
julia| This week works I can do Tuesday or Thursday evening What works on your end| [person:julia f 3-3][person:shawn m 13-13]
shawn| Thursday is perfect Let s do that|
julia| Oh wait I actually forgot I have something going on that day| [person:julia f 2-2][person:julia f 5-5]
shawn| That s okay Should we do Tuesday then or wait until next week| [person:we g(shawn:julia) 4-4]
julia| No let s try for Tuesday|
shawn| Okay I ll message the Campbells right now and see if they can come| [person:shawn m 1-1][person:campbells g() 5-5][person:campbells g() 11-11]
julia| Great I ll ask the Wilsons| [person:julia f 1-1][person:wilsons g() 5-5]
shawn| The Campbells are in and will come on Tuesday at 7| [person:campbells g() 1-1]
julia| Awesome the Wilsons can come too I ll tell them 7 pm| [person:wilsons g() 2-2][person:julia f 6-6][person:wilsons g() 9-9]
shawn| Great Tuesday it is I m looking forward to it| [person:shawn m 4-4]
julia| Me too| [person:julia f 0-0]

conv:people_2019081902_158:aug_0:chat_0:chataug_0| christopher julia| [person:christopher m 0-0][person:julia f 1-1]
christopher| Its been a long week Julia| [person:julia f 5-5]
julia| Yes i miss curry goat| [person:julia f 1-1]
christopher| Are you for real| [person:julia f 1-1]
julia| Yes|
christopher| Can you join us today at the Jamaican Cafe| [person:julia f 1-1][person:us g(christopher) 3-3]
julia| Who is us Do they have curry goat| [person:us g(christopher) 2-2]
christopher| Yes they do|
christopher| Us my friends abd I| [person:us g(christopher) 0-0][person:christopher m 1-1][person:friends g() 2-2][person:christopher m 4-4]
julia| Who are they| [person:friends g() 2-2]
christopher| Karen meredith and bob| [person:karen f 0-0][person:meredith f 1-1][person:bob m 3-3]
julia| But i dont know them| [person:julia f 1-1][person:friends g(karen:meredith:bob) 4-4]
christopher| You will know them today lol| [person:julia f 0-0][person:friends g(karen:meredith:bob) 3-3]
julia| Who are they| [person:friends g(karen:meredith:bob) 2-2]
christopher| My former classmates they are the best company youll ever have| [person:christopher m 0-0][person:friends g(karen:meredith:bob) 2-2][person:friends g(karen:meredith:bob) 3-3]
julia| Haha I let you know| [person:julia f 1-1][person:christopher m 3-3]
christopher| Is that a yes|

conv:people_2019081902_159:aug_0:chat_0:chataug_0| mike noah| [person:mike m 0-0][person:noah m 1-1]
noah| hai mike have you got ready to go to johnson s place| [person:mike m 1-1][person:mike m 3-3][person:johnson u 9-9][location:place s 11-11]
mike| yes noah i am preparing myself to go to johnsons place| [person:noah m 1-1][person:mike m 2-2][person:mike m 5-5][person:johnson u 9-9][location:place s 10-10]
noah| at what time you will start so that i will come and pick you| [person:noah m 3-3][person:noah m 8-8][person:mike m 13-13]
mike| at 700 pm whether we need to buy any items for the pokers night| [person:we g(noah:mike) 4-4]
noah| actually i don t know johnson s mind what he likes most| [person:noah m 1-1][person:johnson u 5-5][person:johnson m 9-9]
mike| ok well shall we ask bill because he knows johnson very much| [person:we g(noah:mike) 3-3][person:bill m 5-5][person:bill m 7-7][person:johnson m 9-9]
noah| ok that s a good idea now itself i ask about the johnson to bill| [person:noah m 8-8][person:johnson m 12-12][person:bill m 14-14]
mike| you try to ask what things we need to buy for the poker s night to johnson| [person:mike m 0-0][person:we g(noah:mike) 6-6][person:johnson m 16-16]
noah| ok mike i also i ask whether he is interested in getting some snacks like items| [person:mike m 1-1][person:noah m 2-2][person:noah m 4-4][person:mike m 7-7]
mike| ok bill knows much better than us about johnson so surely he will solve our issues| [person:bill m 1-1][person:we g(noah:mike) 6-6][person:johnson m 8-8][person:mike m 11-11][person:we g(noah:mike) 14-14]

conv:people_2019081902_160:aug_0:chat_0:chataug_0| bob ralph| [person:bob m 0-0][person:ralph m 1-1]
bob| Its been a while|
ralph| Sure lets hook up at our usual spot| [person:our g(bob:ralph) 5-5]
bob| Yeah 5pm tonight|
ralph| Awesome now can we invite someone| [person:our g(bob:ralph) 3-3][person:someone u 5-5]
bob| Definitly why not|
ralph| Can we invite George| [person:our g(bob:ralph) 1-1][person:george m 3-3]
bob| No he is too full of himself i dont like his company| [person:george m 1-1][person:george m 6-6][person:bob m 7-7][person:george m 10-10]
ralph| Haha Are you forreal| [person:bob m 2-2]
bob| Yes maybe ricky He is so lively| [person:ricky m 2-2][person:ricky m 3-3]
ralph| Ricky is lively but judgemental he is choosy too| [person:ricky m 0-0][person:ricky m 5-5]
bob| So|
bob| you dont like him either| [person:ralph m 0-0][person:ricky m 3-3]
ralph| Yes I know someone else| [person:ralph m 1-1][person:someone u 3-3]
ralph| Walter| [person:walter m 0-0]
bob| Awesome he is the best give him a call| [person:walter m 1-1][person:walter m 6-6]
ralph| Right away|

conv:people_2019081902_161:aug_0:chat_0:chataug_0| bob pam| [person:bob m 0-0][person:pam f 1-1]
bob| Hi Pam how is it going| [person:pam f 1-1]
pam| Great Bob What s going on with you| [person:bob m 1-1][person:bob m 7-7]
bob| I m going to be hanging out with friends and want to see if you d like to join in| [person:bob m 0-0][person:friends g() 8-8][person:pam f 14-14]
pam| Who are your friends that you are going with| [person:bob m 2-2][person:friends g() 3-3][person:bob m 5-5]
bob| Virginia Theresa and Phil are going this weekend| [person:virginia f 0-0][person:theresa f 1-1][person:phil m 3-3]
pam| Oh I don t really know them that well| [person:pam f 1-1][person:friends g(virginia:theresa:phil) 6-6]
bob| They are really cool and fun to be with| [person:friends g(virginia:theresa:phil) 0-0]
pam| What do they like to do for fun| [person:friends g(virginia:theresa:phil) 2-2]
