conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
nathan| What do you parents like to eat I would like to take them to lunch when they arrive| [person:adam m 2-2][person:parents g(barry:martha) 3-3][person:nathan m 7-7][person:parents g(barry:martha) 12-12][person:parents g(barry:martha) 16-16]
adam| That would be great|
adam| They like italian food| [person:parents g(barry:martha) 0-0]
nathan| Ok great what day and what time will they be arriving| [person:parents g(barry:martha) 8-8]
adam| They arrive Friday at 5pm| [person:parents g(barry:martha) 0-0]
nathan| Will they be at Union Station on First Street| [person:parents g(barry:martha) 1-1][location:station s 5-5][location:first_street s 8-8]
adam| Yes That s the place| [location:station s 4-4]
nathan| You got it I will be there at Union Station at 5 p m Please let them know I will be driving the silver Jeep and I will bring them out for dinner since they will be arriving later in the afternoon| [person:adam m 0-0][person:nathan m 3-3][person:parents g(barry:martha) 16-16][person:nathan m 18-18][person:nathan m 26-26][person:parents g(barry:martha) 29-29][person:parents g(barry:martha) 34-34]

conv:people_2019072901_52:aug_0:chat_0:chataug_0| carol joe| [person:carol f 0-0][person:joe m 1-1]
carol| I m excited for our dinner with Henry Kelly Christina and Walter| [person:carol f 0-0][person:our g(carol:joe) 4-4][person:henry m 7-7][person:kelly f 8-8][person:christina f 9-9][person:walter m 11-11]
joe| I m excited for this weekend| [person:joe m 0-0]
joe| It should be fun|
carol| I think I d be more comfortable if you picked up the meat for the main course you are better at it| [person:carol f 0-0][person:carol f 2-2][person:joe m 8-8][person:joe m 17-17]
joe| What were you thinking about main course| [person:carol f 2-2]
joe| I m good with getting the meat| [person:joe m 0-0]
carol| I think we should do some nice steaks| [person:carol f 0-0][person:we g(carol:joe) 2-2]
carol| I ll head to the store tomorrow and pick up a few bottles of good red wine to go with it| [person:carol f 0-0]
joe| That sounds good Should we pick out some sides Maybe someone else can get those| [person:we g(carol:joe) 4-4][person:someone g(henry:kelly:christina:walter) 10-10]
carol| I ll talk to everyone tomorrow and see if they can each bring a side and I ll take care of dessert too| [person:carol f 0-0][person:someone g(henry:kelly:christina:walter) 4-4][person:someone g(henry:kelly:christina:walter) 9-9][person:carol f 16-16]
joe| That sounds good to me Looking forward to it| [person:joe m 4-4]
carol| Me too| [person:carol f 0-0]

conv:people_2019072901_53:aug_0:chat_0:chataug_0| elizabeth stephanie| [person:elizabeth f 0-0][person:stephanie f 1-1]
stephanie| Hi|
stephanie| I am Stephanie| [person:stephanie f 0-0][person:stephanie f 2-2]
elizabeth| hai|
stephanie| How are you| [person:elizabeth f 2-2]
elizabeth| i am good| [person:elizabeth f 0-0]
elizabeth| how are you| [person:stephanie f 2-2]
stephanie| Good I am visitng John and Kim this weekend| [person:stephanie f 1-1][person:john m 4-4][person:kim f 6-6]
elizabeth| sounds good|
stephanie| Can you pick me up a cooler at the market| [person:elizabeth f 1-1][person:stephanie f 3-3]
elizabeth| sure i will do for you| [person:elizabeth f 1-1][person:stephanie f 5-5]
stephanie| are you busy this week| [person:elizabeth f 1-1]
elizabeth| no i am free| [person:elizabeth f 1-1]
stephanie| Okay I thought you d be busy for some reason| [person:stephanie f 1-1][person:elizabeth f 3-3]
stephanie| I am quite busy| [person:stephanie f 0-0]
elizabeth| how do you know| [person:stephanie f 2-2]
stephanie| Just a hunch|
stephanie| Thank you| [person:elizabeth f 1-1]
elizabeth| nice|
elizabeth| thank you| [person:stephanie f 1-1]
stephanie| bye|
elizabeth| bye|

conv:people_2019072901_54:aug_0:chat_0:chataug_0| adam nathan| [person:adam m 0-0][person:nathan m 1-1]
adam| Hey nathan how s it going| [person:nathan m 1-1][location:lunch s 4-4]
nathan| Pretty good man how ya been|
adam| good good I can t complain| [person:adam m 2-2]
nathan| Werent you asking me about picking your parents up or something the other day| [person:adam m 1-1][person:nathan m 3-3][person:adam m 6-6][person:parents g() 7-7]
adam| yeah theyre visiting LA| [location:la s 3-3]
adam| could I ask you a favor and pick them up at the train station| [person:adam m 1-1][person:nathan m 3-3][person:parents g() 8-8][location:train_station s 12-13]
nathan| Yeah for sure Anything to help you out I can even stop somewhere to grab some grub with them Any suggestions on what food they like| [person:adam m 6-6][person:nathan m 8-8][person:parents g() 18-18][person:parents g() 24-24]
adam| Awesome that would be a huge help they just need to go to their hotel but I know they would definitely appreciate lunch they really like sushi and can t really get it back home know any good places| [person:parents g() 7-7][person:parents g() 13-13][location:hotel s 14-14][person:adam m 16-16][person:parents g() 18-18][person:parents g() 23-23][location:home s 34-34][location:places g() 38-38]
nathan| LA definitely has some fresh sushi places| [location:la s 0-0][location:places g() 6-6]
nathan| I think Shiu Lu is probably the best| [person:nathan m 0-0]
adam| Awesome I really appreciate it| [person:adam m 1-1][location:lunch s 4-4]
adam| wherever you recommend i m sure they will like| [person:nathan m 1-1][person:adam m 3-3][person:parents g() 6-6]

conv:people_2019072901_56:aug_0:chat_0:chataug_0| henry julie| [person:henry m 0-0][person:julie f 1-1]
henry| hello|
julie| Hi Henry| [person:henry m 1-1]
henry| Hey Julie do you know what movie everyone wants to watch| [person:julie f 1-1][person:julie f 3-3][person:everyone g(julie) 7-7]
julie| I think Rachel and Carol mentioned wanting to watch the scary movie How about you and Mark| [person:julie f 0-0][person:rachel f 2-2][person:carol f 4-4][person:henry m 14-14][person:mark m 16-16]
henry| We have now preference between the shows| [person:we g(henry:rachel:carol:mark) 0-0]
henry| I think we should go with a scary movie| [person:henry m 0-0][person:we g(henry:rachel:carol:mark) 2-2]
julie| Perfect So I ll grab the girls and can you pick up Mark| [person:julie f 2-2][person:henry m 9-9][person:mark m 12-12]
henry| Yeah since Carol and I are the only one with cars| [person:carol f 2-2][person:henry m 4-4]
henry| I can pick up Mark and then Carol can pick get you and Rachel| [person:henry m 0-0][person:mark m 4-4][person:carol f 7-7][person:julie f 11-11][person:rachel f 13-13]
henry| Sound good|
julie| Right I ll snag a ride with Carol and Rachel Great see you there| [person:julie f 1-1][person:carol f 7-7][person:rachel f 9-9][person:henry m 12-12]

conv:people_2019072901_57:aug_0:chat_0:chataug_0| lauren nicole| [person:lauren f 0-0][person:nicole f 1-1]
nicole| Lauren hey| [person:lauren f 0-0]
lauren| What s going on Nicole| [person:nicole f 4-4]
nicole| Nothing much just hanging out|
lauren| Great I wanted to ask you for help I m planning on buying a new Chevrolet car You bought one recently yes| [person:lauren f 1-1][person:nicole f 5-5][person:lauren f 8-8][person:nicole f 17-17]
nicole| Yes I did let me know what you need I d be happy to help| [person:nicole f 1-1][person:nicole f 4-4][person:lauren f 7-7][person:nicole f 9-9]
lauren| Great What dealership did you go to| [person:nicole f 4-4]
nicole| Just one near me I can give you the address Also my friend Pamela got a Chevy recently as well I can ask her about her experiences as well and get back to you| [person:nicole f 3-3][person:nicole f 4-4][person:lauren f 7-7][person:nicole f 11-11][person:pamela f 12-12][person:pamela f 13-13][person:nicole f 20-20][person:pamela f 23-23]
lauren| That sounds great let me know her thoughts as well Thanks for your help| [person:lauren f 4-4][person:pamela f 6-6][person:nicole f 12-12]
nicole| You re welcome| [person:lauren f 0-0]

conv:people_2019072901_58:aug_0:chat_0:chataug_0| eric lauren| [person:eric m 0-0][person:lauren f 1-1]
eric| Hey Lauren| [person:lauren f 1-1]
eric| So since we are in Seattle for the whole week I think we should meet up with Shirley Ben and Anna at some point what do you think We could do a couple of lunches and a dinner maybe| [person:we g(eric:lauren) 2-2][person:we g(eric:lauren) 12-12][person:shirley f 17-17][person:ben m 18-18][person:anna f 20-20][person:lauren f 26-26][person:we g(eric:lauren) 28-28]
lauren| Yeah that sounds great|
lauren| Do you have a preference of what we do for each| [person:eric m 1-1][person:we g(eric:lauren) 7-7]
eric| Let s meet up with Shirley tonight since she s leaving town in a couple of days I ll reach out to her| [person:shirley f 5-5][person:shirley f 8-8][location:town s 11-11][person:eric m 17-17][person:shirley f 22-22]
eric| You know Ben and Anna better so will you reach out to them| [person:lauren f 0-0][person:ben m 2-2][person:anna f 4-4][person:lauren f 8-8][person:them g(ben:anna) 12-12]
lauren| Okay that sounds great|
lauren| Im going t o reach out to them now| [person:them g(ben:anna) 7-7]
eric| When do you think either of them will be available| [person:lauren f 2-2][person:them g(ben:anna) 6-6]
eric| ok thanks|
lauren| They both said they re available for lunch on whatever day we want| [person:them g(ben:anna) 0-0][person:them g(ben:anna) 1-1][person:them g(ben:anna) 3-3][location:lunch u 7-7][person:we g(eric:lauren) 11-11]
eric| oh awesome|
lauren| We can do Ben tomorrow and Anna the next day| [person:we g(eric:lauren) 0-0][person:ben m 3-3][person:anna f 6-6]
eric| perfect|
eric| shirley agreed for tonight| [person:shirley f 0-0]
eric| looking forward to it| [location:it s 3-3]
lauren| Ok perfect|
eric| see you soon bye| [person:lauren f 1-1]
lauren| see you then| [person:eric m 1-1]

conv:people_2019072901_60:aug_0:chat_0:chataug_0| eric lauren| [person:eric m 0-0][person:lauren f 1-1]
eric| Hi How are you today| [person:eric m 3-3]
lauren| Hey there I m doing great How about you| [person:lauren f 2-2][person:eric m 8-8]
eric| I m doing very well| [person:eric m 0-0]
lauren| Have you talked to Shirley Ben or Anna yet| [person:lauren f 1-1][person:shirley f 4-4][person:ben m 5-5][person:anna f 7-7]
eric| I haven t I was wondering if you were going to call them| [person:eric m 0-0][person:eric m 3-3][person:lauren f 7-7][person:them g(shirley:ben:anna) 12-12]
lauren| Yes I think I will I would love for us to meet up with them while we re here| [person:lauren f 1-1][person:lauren f 3-3][person:lauren f 5-5][person:us g(eric:lauren) 9-9][person:them g(shirley:ben:anna) 14-14]
eric| Great idea Do you want to meet up with them as a group or should we visit them seperatly| [person:lauren f 3-3][person:them g(shirley:ben:anna) 9-9][person:we g(eric:lauren) 15-15][person:them g(shirley:ben:anna) 17-17]
lauren| Maybe separately is better I ll call them now and see if any of them can meet up tonight| [person:lauren f 4-4][person:them g(shirley:ben:anna) 7-7][person:them g(shirley:ben:anna) 14-14]
eric| Awesome This is going to be so much fun|

conv:people_2019072901_62:aug_0:chat_0:chataug_0| adam nathan| [person:adam m 0-0][person:nathan m 1-1]
nathan| Hello|
adam| Hi Nathan It s Adam I have a favor to ask you| [person:nathan m 1-1][person:nathan m 4-4][person:adam m 5-5][person:nathan m 11-11]
nathan| Sure what do you need| [person:adam m 3-3]
adam| My parents are coming into town Do you think you could meet them there| [person:adam m 0-0][person:parents g() 1-1][location:town s 5-5][person:nathan m 7-7][person:nathan m 9-9][person:parents g() 12-12][location:town s 13-13]
nathan| Where would they need to go| [location:where s 0-0][person:parents g() 2-2]
adam| They need to go to the hotel Their reservations are under their name Berry and Martha Do you think you could take them to pick up lunch too| [person:parents g() 0-0][person:parents g() 7-7][person:parents g() 11-11][person:berry f 13-13][person:martha f 15-15][person:nathan m 17-17][person:nathan m 19-19][person:parents g() 22-22]
nathan| Sure do you know their favourite meals so that they will feel more comfortable| [person:adam m 2-2][person:parents g() 4-4][person:parents g() 9-9]
adam| They like hamburgers and fries Thank you so much for your help| [person:parents g() 0-0][person:nathan m 6-6][person:nathan m 10-10]

conv:people_2019072901_63:aug_0:chat_0:chataug_0| stephanie william| [person:stephanie f 0-0][person:william m 1-1]
william| Are you pumped up about the picnic| [person:stephanie f 1-1]
stephanie| Yes it sounds like fun|
william| What are you bringing| [person:stephanie f 2-2]
stephanie| Im bring egg salad sandwiches what about you| [person:william m 7-7]
william| Ill bring some sweet tea and some croissants|
stephanie| Oh that sounds delicious|
william| oh you know it will be what do you think the Winstons will bring| [person:stephanie f 1-1][person:stephanie f 8-8][person:winstons g() 11-11]
stephanie| I think they will bring barbecue chicken twice baked potatoes and apple crisp| [person:stephanie f 0-0][person:winstons g() 2-2]

conv:people_2019072901_64:aug_0:chat_0:chataug_0| lauren nicole| [person:lauren f 0-0][person:nicole f 1-1]
lauren| Hey Nicole you recently bought a chevy right| [person:nicole f 1-1][person:nicole f 2-2]
nicole| Yeah and my friend Pamela also got a chevy| [person:lauren f 2-2][person:pamela f 3-3][person:pamela f 4-4]
lauren| Oh cool What dealers did you each shop at and what dealer did you each end up buying from| [location:dealers g() 3-3][person:nicole f 5-5][location:dealer s 11-11][person:nicole f 13-13]
nicole| I had a good experience at the dealership in town they treated me well and I feld the price was fair| [person:nicole f 0-0][location:dealership_in_town s 7-9][location:town s 9-9][person:dealer g() 10-10][person:nicole f 12-12][person:nicole f 15-15]
