conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
lori| Yeah I saw the picture I thought he is a good teacher but he is doing all nasty things| [person:lori f 1-1][person:lori f 5-5][person:smith m 7-7][person:smith m 13-13]
tony| Yes Even I was surprised to see him like that This is not a good for a teacher| [person:tony m 2-2][person:smith m 7-7]

conv:chats_1126_287:aug_0:chat_0:chataug_0| dory roger| [person:dory f 0-0][person:roger m 1-1]
dory| Hi Roger Are you free now Shall we talk for few minutes| [person:roger m 1-1][person:roger m 3-3][person:we g(dory:roger) 7-7]
roger| Hi Dory Yeah Tell me what is the matter| [person:dory f 1-1][person:roger m 4-4]
dory| I want you to call the plumber to fix running water in the toilet| [person:dory f 0-0][person:roger m 2-2]
roger| Okay I will call plumber William to do this work I will contact him in the phone and let you know| [person:roger m 1-1][person:william m 5-5][person:roger m 10-10][person:william m 13-13][person:dory f 19-19]
dory| Wow That s nice to hear He is a very good plumber I am waiting for your reply| [person:william m 6-6][person:dory f 12-12][person:roger m 16-16]
roger| Just now I called him he is asking 500 to do this job I think that is very costly| [person:roger m 2-2][person:william m 4-4][person:william m 5-5][person:roger m 13-13]
dory| Let it be but we can solve the problem in the house| [person:we g(dory:roger) 4-4]
roger| We can solve the problem with another plumbers s also He is demanding too much| [person:we g(dory:roger) 0-0][person:william m 10-10]
dory| Okay Then we can purchase the materials by our own and we can give only labor cost to him| [person:we g(dory:roger) 2-2][person:our g(dory) 8-8][person:we g(dory:roger) 11-11][person:william m 18-18]
roger| Yes That s a nice idea to reduce the cost|

conv:chats_1126_288:aug_0:chat_0:chataug_0| damien karen| [person:damien m 0-0][person:karen f 1-1]
damien| Hey Karen we gotta go and see our grandpa Roger and grandma Diane| [person:karen f 1-1][person:we g(damien:karen) 2-2][person:we g(damien:karen) 7-7][person:roger m 9-9][person:diane f 12-12]
karen| Hey Damien yeah we got to but I don t want to| [person:damien m 1-1][person:we g(damien:karen) 3-3][person:karen f 7-7]
damien| Me too Karen me too| [person:damien m 0-0][person:karen f 2-2][person:damien m 3-3]
karen| There s nothing great about them| [person:them g(roger:diane) 5-5]
damien| And they smell funny too| [person:them g(roger:diane) 1-1]
karen| Real funny Like some old clothes unclean stuff|
damien| That ain t nice Karen I can t stand that| [person:karen f 4-4][person:damien m 5-5]
karen| The only thing nice is all the sweets grandma will make for us| [person:we g(damien:karen) 12-12]
damien| Sure That s the only thing nice I d say| [person:damien m 7-7]
karen| If we meet them it ll only be for the sweets| [person:we g(damien:karen) 1-1][person:them g(roger:diane) 3-3]

conv:chats_1126_289:aug_0:chat_0:chataug_0| cecil issac| [person:cecil f 0-0][person:issac m 1-1]
issac| Hi Cecil How was your work going on| [person:cecil f 1-1][person:cecil f 4-4]
cecil| Hi Isaac I am good going Where are you right now| [person:cecil f 2-2][person:issac m 8-8]
issac| Yeah Cecil we are at the water park only| [person:cecil f 1-1][person:we g(issac) 2-2][location:park s 7-7]
cecil| Okay How are the kids feeling Are they happy with the trip| [person:kids g() 4-4][person:kids g() 7-7]
issac| No Alan is not happy as he is not allowed in the roller coaster due to his height| [person:alan m 1-1][person:alan m 6-6][person:alan m 16-16]
issac| Can you suggest me with the some other rides which our son likes| [person:cecil f 1-1][person:issac m 3-3][person:we_2 g(issac:cecil) 10-10][person:evan m 11-11]
cecil| Oh I see Take Evan to the Water Slides He will like it for sure| [person:cecil f 1-1][person:evan m 4-4][location:water_slides_ s 7-8][person:evan m 9-9]
issac| Okay That s a good idea I will take him there| [person:issac m 6-6][person:evan m 9-9][location:water_slides_ s 10-10]
cecil| Yes I will be waiting for you people in the home| [person:cecil f 1-1][person:issac m 6-6][location:home s 10-10]
cecil| Enjoy the day See you at home| [person:issac m 4-4][location:home s 6-6]

conv:chats_1126_290:aug_0:chat_0:chataug_0| carol shawn| [person:carol f 0-0][person:shawn m 1-1]
shawn| Hi Carol Guess what I just heard| [person:carol f 1-1][person:shawn m 4-4]
carol| You seem very excited what is it| [person:shawn m 0-0]
shawn| There is a deal at this chicken wings bar that your food would be free if your table could finish 200 wings| [location:bar s 8-8][person:carol f 10-10][person:carol f 16-16]
carol| That sounds like a pretty hard task Are you planning on trying| [person:shawn m 8-8]
shawn| Yes but I need your help Do you know anybody who might want to join us| [person:shawn m 2-2][person:carol f 4-4][person:carol f 7-7][person:us g(shawn:carol) 15-15]
carol| I know exactly who to invite if you are okay with it| [person:carol f 0-0][person:shawn m 7-7]
shawn| Who do you have in mind| [person:carol f 2-2]
carol| I was thinking about inviting Melissa Pablo and Steven| [person:carol f 0-0][person:melissa f 5-5][person:pablo m 6-6][person:steven m 8-8]
shawn| But we only need two people| [person:us g(shawn:carol) 1-1]
carol| Alright we will only invite Melissa and Pablo since we both know them| [person:us g(shawn:carol) 1-1][person:melissa f 5-5][person:pablo m 7-7][person:us g(shawn:carol) 9-9][person:them g(pablo:melissa) 12-12]

conv:chats_1126_292:aug_0:chat_0:chataug_0| alexis marilyn| [person:alexis f 0-0][person:marilyn f 1-1]
marilyn| Hey Alexis Shall we play soccer now| [person:alexis f 1-1][person:we g(marilyn:alexis) 3-3]
alexis| Yes I would like that very much but I should ask for my dad s permission first| [person:alexis f 1-1][person:alexis f 8-8][person:alexis f 12-12][person:dad m 13-13]
marilyn| Okay And also mention that we will be paying at my house| [person:we g(marilyn:alexis) 5-5][person:marilyn f 10-10]
alexis| I ll do that But I cannot be sure he will allow it| [person:alexis f 0-0][person:alexis f 5-5][person:dad m 9-9]
marilyn| Oh Don t forget tell him that we will be careful while playing| [person:dad m 5-5][person:we g(marilyn:alexis) 7-7]
alexis| Okay I ll talk to him now and see what he says| [person:alexis f 1-1][person:dad m 5-5][person:dad m 10-10]
marilyn| Alright ask you father I will be waiting for you here| [person:alexis f 2-2][person:marilyn f 4-4][person:alexis f 9-9]
alexis| Awesome he agreed We can play at your house now| [person:dad m 1-1][person:we g(marilyn:alexis) 3-3][person:marilyn f 7-7]
marilyn| Okay give me a minute to get ready for playing| [person:marilyn f 2-2]
alexis| Alright I ll join at your house in few minutes| [person:alexis f 1-1][person:marilyn f 5-5]

conv:chats_1126_293:aug_0:chat_0:chataug_0| bailey chris| [person:bailey f 0-0][person:chris m 1-1]
chris| Hi Bailey it seems like you are disturbed Are you okay Is there a problem| [person:bailey f 1-1][person:bailey f 5-5][person:bailey f 9-9]
bailey| I was expecting my baby sitter Mark I am getting late already| [person:bailey f 0-0][person:bailey f 3-3][person:mark m 6-6][person:bailey f 7-7]
chris| Don t worry Let me try to call him and speak Give me some time| [person:chris m 4-4][person:mark m 8-8][person:chris m 12-12]
bailey| I don t think he will pick your calls I think we should start thinking of some other alternative| [person:bailey f 0-0][person:mark m 4-4][person:chris m 7-7][person:bailey f 9-9][person:we g(chris:bailey) 11-11]
chris| I ll do one thing Macy might have returned from her office by now Let me speak to her so that she can take care of your child| [person:chris m 0-0][person:macy f 5-5][person:macy f 10-10][location:office s 11-11][person:chris m 15-15][person:macy f 18-18][person:macy f 21-21][person:bailey f 26-26]
bailey| I don t want to trouble Macy for this I know how hard it will be to take care of a child after returning from office| [person:bailey f 0-0][person:macy f 6-6][person:bailey f 9-9][location:office s 25-25]
chris| Alright Should I try to contact a new baby sitter Is that okay with you| [person:chris m 2-2][person:bailey f 14-14]
bailey| I am not happy with that I can t trust someone blindly and leave my child with them Though Mark was irregular he never broke my trust| [person:bailey f 0-0][person:bailey f 6-6][person:bailey f 14-14][person:mark m 19-19][person:mark m 22-22][person:bailey f 25-25]
chris| I do understand that You don t worry about it Macy will come right now to take care of your child If she is finding difficult I ll manage with that| [person:chris m 0-0][person:bailey f 4-4][person:macy f 10-10][person:bailey f 19-19][person:macy f 22-22][person:chris m 26-26]
bailey| That s so kind of you Will try to arrange other alternative within tomorrow Thank you so much| [person:chris m 5-5][person:chris m 15-15]

conv:chats_1126_294:aug_0:chat_0:chataug_0| eduardo keira| [person:eduardo m 0-0][person:keira f 1-1]
keira| Eduardo I am so excited for our trip to Paris| [person:eduardo m 0-0][person:keira f 1-1][person:our g(keira:eduardo) 6-6][location:paris s 9-9]
eduardo| Me too I was thinking about asking Pablo and Martha to watch over our house while we are gone| [person:eduardo m 0-0][person:eduardo m 2-2][person:pablo m 7-7][person:martha f 9-9][person:our g(keira:eduardo) 13-13][person:we g(keira:eduardo) 16-16]
keira| Yes we will ask them after getting home from work| [person:keira f 1-1][person:them g() 4-4][location:home s 7-7]
keira| Also we could ask Martha to water our plants I do not want them to die| [person:we g(keira:eduardo) 1-1][person:martha f 4-4][person:our g(keira:eduardo) 7-7][person:keira f 9-9][person:them g() 13-13]
eduardo| l think it will be rude to ask them to do so much| [person:them g() 8-8]
keira| You are right We could get them a small gift in return for the favor| [person:eduardo m 0-0][person:we g(keira:eduardo) 3-3][person:them g() 6-6]
eduardo| What do you think we should get them| [person:keira f 2-2][person:we g(keira:eduardo) 4-4][person:them g() 7-7]
keira| How about getting them a souvenir from Paris| [person:them g() 3-3][location:paris s 7-7]
eduardo| That sounds like a good idea|
eduardo| We will talk to them once we get home| [person:we g(keira:eduardo) 0-0][person:them g() 4-4][person:we g(keira:eduardo) 6-6][location:home s 8-8]

conv:chats_1126_295:aug_0:chat_0:chataug_0| evelyn pablo| [person:evelyn f 0-0][person:pablo m 1-1]
pablo| Hey Evelyn I was thinking about planning a surprise birthday party for Ryan| [person:evelyn f 1-1][person:pablo m 2-2][person:ryan m 12-12]
evelyn| That s a great idea What do you have in mind| [person:pablo m 7-7]
pablo| First we need to decide who we are going to invite| [person:we g(pablo:evelyn) 1-1][person:we g(pablo:evelyn) 6-6]
evelyn| Ryan would want all of his friends to be there| [person:ryan m 0-0][person:ryan m 5-5][person:friends g(ryan) 6-6][location:there s 9-9]
pablo| What about Randy I think we should avoid inviting him| [person:randy m 2-2][person:pablo m 3-3][person:we g(pablo:evelyn) 5-5][person:randy m 9-9]
evelyn| Yes he got out of hand at the last two parties we had| [person:randy m 1-1][person:we g(pablo:evelyn) 11-11]
pablo| So you agree that we should not invite Randy| [person:evelyn f 1-1][person:we g(pablo:evelyn) 4-4][person:randy m 8-8]
evelyn| But how would Ryan feel about that| [person:ryan m 3-3]
pablo| We will convince Ryan after the party| [person:we g(pablo:evelyn) 0-0][person:ryan m 3-3][location:party s 6-6]
evelyn| Alright I m sure we ll have a great time at the party| [person:evelyn f 1-1][person:we g(pablo:evelyn) 4-4]

conv:chats_1126_297:aug_0:chat_0:chataug_0| paulo rebecca| [person:paulo m 0-0][person:rebecca f 1-1]
rebecca| Hey Paulo How about a holiday to Europe| [person:paulo m 1-1][location:europe s 7-7]
paulo| Hey Rebecca That was a good plan What about our children mainly Kimberly| [person:rebecca f 1-1][person:our g(rebecca:paulo) 9-9][person:kimberly f 12-12]
rebecca| Yes Do you think that our daughter Kimberly is in the right age to travel with us| [person:paulo m 2-2][person:our g(rebecca:paulo) 5-5][person:kimberly f 6-6][person:kimberly f 7-7][person:our g(rebecca:paulo) 16-16]
paulo| Yeah She is in the right age to travel with us What about our son Robert| [person:kimberly f 1-1][person:our g(rebecca:paulo) 10-10][person:our g(rebecca:paulo) 13-13][person:robert m 14-14][person:robert m 15-15]
rebecca| Yeah I will take care of him in flight So he will not disturb Kimberly| [person:rebecca f 1-1][person:robert m 6-6][person:robert m 10-10][person:kimberly f 14-14]
rebecca| What do you say| [person:paulo m 2-2]
paulo| Yes Let us go on with this idea| [person:our g(rebecca:paulo) 2-2]
rebecca| Okay Let us start packing things for the trip| [person:our g(rebecca:paulo) 2-2]
paulo| Okay There are some things to purchase for the trip|
paulo| I will let you know the list by tomorrow| [person:paulo m 0-0][person:paulo m 3-3]

conv:chats_1126_298:aug_0:chat_0:chataug_0| ellie sally| [person:ellie f 0-0][person:sally f 1-1]
ellie| Hi Sally How was the day today| [person:sally f 1-1]
sally| Hi Ellie My day was good How about yours| [person:ellie f 1-1][person:sally f 2-2][person:ellie f 8-8]
ellie| Yeah mine was good I want to ask you something| [person:ellie f 1-1][person:ellie f 4-4][person:sally f 8-8]
sally| Yes Tell me What is the matter all about| [person:sally f 2-2]
ellie| I am planning to come to your home for a night stay today| [person:ellie f 0-0][person:sally f 6-6][location:home s 7-7]
