conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
tommy| So when we are going| [person:we g(edward:tommy) 2-2]
edward| I will do my work yearly Then we will go on sunday| [person:edward m 0-0][person:edward m 3-3][person:we g(edward:tommy) 7-7]
tommy| Nice I will tell them| [person:tommy m 1-1][person:them g(jason:eugene) 4-4]
edward| OK|

conv:people_2019082201_50:aug_0:chat_0:chataug_0| kim theresa| [person:kim f 0-0][person:theresa f 1-1]
theresa| Who should we invite to the party tonight| [person:we g(theresa:kim) 2-2]
theresa| I think we should invite Brenda and Sharon| [person:theresa f 0-0][person:we g(theresa:kim) 2-2][person:brenda f 5-5][person:sharon f 7-7]
kim| Sounds good How about Linda| [person:linda f 4-4]
theresa| Yes we can invite her too| [person:we g(theresa:kim) 1-1][person:linda f 4-4]
kim| Awesome I ll give her a call after| [person:kim f 1-1][person:linda f 4-4]
kim| What should we buy for the party| [person:we g(theresa:kim) 2-2]
theresa| We ll need drinks snacks and games| [person:we g(theresa:kim) 0-0]
kim| I can go to the grocery store if you can get the games| [person:kim f 0-0][person:theresa f 8-8]
theresa| Okay I ll see you tonight at my house| [person:theresa f 1-1][person:kim f 4-4][person:theresa f 7-7]
kim| Great I ll get plenty of food See ya later| [person:kim f 1-1]

conv:people_2019082201_51:aug_0:chat_0:chataug_0| aaron george| [person:aaron m 0-0][person:george m 1-1]
aaron| Hey Geo are you ready to meet up for drinks| [person:george m 3-3]
george| I m famished man I have to stop for fast food on the way| [person:george m 0-0][person:george m 4-4]
aaron| Where would you like to eat| [person:george m 2-2]
george| Do you want food What do you like| [person:aaron m 1-1][person:aaron m 6-6]
aaron| I guess a veggie burger and fries| [person:aaron m 0-0]
george| White Castle has veggie burgers|
aaron| That sounds good I m not sure who is picking you up let me text Vincent and Tony they already left| [person:aaron m 3-3][person:george m 10-10][person:aaron m 13-13][person:vincent m 15-15][person:tony m 17-17][person:they g(vincent:tony) 18-18]
george| OK thanks|
aaron| OK they are already past where you work so I will pick you up and we ll get burgers on the way| [person:they g(vincent:tony) 1-1][person:george m 6-6][person:aaron m 9-9][person:george m 12-12][person:we g(aaron:george) 15-15]
george| Sounds great will see you then Thanks| [person:aaron m 4-4]
aaron| Yeah looking forward to those burgers now|

conv:people_2019082201_52:aug_0:chat_0:chataug_0| melinda rafael| [person:melinda f 0-0][person:rafael m 1-1]
melinda| Now that Stella and Diane are visiting any suggestion on what we should do| [person:stella f 2-2][person:diane f 4-4][person:we g(melinda:rafael) 11-11]
rafael| I am happy to see them so I think we should take them to disneyland| [person:rafael m 0-0][person:them g(stella:diane) 5-5][person:rafael m 7-7][person:we g(melinda:rafael) 9-9][person:them g(stella:diane) 12-12][location:disneyland s 14-14]
melinda| It is great to see them again after such a long interim Disneyland sounds great but how about taking them out to the local pub tonight then Disney land| [person:them g(stella:diane) 5-5][location:disneyland s 12-12][person:them g(stella:diane) 19-19]
rafael| That s a great idea When should be meet up|
melinda| How about 6pm tomorrow night I will pick you up and the girls| [person:melinda f 5-5][person:rafael m 8-8][person:girls g(melinda:stella:diane) 12-12]
rafael| Great and the drinks are on me| [person:rafael m 6-6]
melinda| I won t argue on that how about the disneyland trip| [person:melinda f 0-0][location:disneyland s 9-9]
rafael| I will check out some dates and times and let you know| [person:rafael m 0-0][person:melinda f 10-10]
melinda| sounds good Let me know what the dates are and we will just split the cost for the trip| [person:melinda f 3-3][person:we g(melinda:rafael) 10-10]
rafael| I am ok with that and I will send the date and time to you later today| [person:rafael m 0-0][person:rafael m 6-6][person:melinda f 14-14]
melinda| great I know we will enjoy ourselves immensely on this trip| [person:melinda f 1-1][person:we g(melinda:rafael) 3-3]
rafael| me too| [person:rafael m 0-0]

conv:people_2019082201_53:aug_0:chat_0:chataug_0| ellen janice| [person:ellen f 0-0][person:janice f 1-1]
janice| Gary said something came up and he can t make it| [person:gary m 0-0][person:gary m 6-6]
ellen| Yeah I talked with Marie about it| [person:ellen f 1-1][person:marie f 4-4]
janice| What did she say| [person:marie f 2-2]
ellen| She said her and Gary need to plan for some business trip that came up| [person:marie f 0-0][person:marie f 2-2][person:gary m 4-4]
janice| Gary didn t tell me that| [person:gary m 0-0][person:janice f 4-4]
ellen| Marie has to go on the trip She told Gary that her boss wanted her to start packing for something| [person:marie f 0-0][person:marie f 7-7][person:gary m 9-9][person:marie f 11-11][person:marie f 14-14]
janice| So vague|
ellen| I know| [person:ellen f 0-0]
janice| Gary didn t elaborate| [person:gary m 0-0]
ellen| Well Marie told me the trip is gonna be like three days They can meet us next weekend| [person:marie f 1-1][person:ellen f 3-3][person:they g(gary:marie) 12-12][person:us g(janice:ellen) 15-15]
janice| What do you wanna do now| [person:ellen f 2-2]
ellen| I dunno| [person:ellen f 0-0]
janice| Ooh there s a new musical out in theaters|
ellen| Oh the ballet dance documentary|
janice| Yeah|
ellen| Looks kinda cheesy|
janice| Well then that new scifi thing|
ellen| Thing|
janice| I don t know what it s called Let s just go up and see what s playing and grab a bite to eat| [person:janice f 0-0]
ellen| Sure I ll meet ya there| [person:ellen f 1-1]
janice| See ya there|

conv:people_2019082201_54:aug_0:chat_0:chataug_0| jeremy walter| [person:jeremy m 0-0][person:walter m 1-1]
walter| You want to go on a hiking trip| [person:jeremy m 0-0]
jeremy| Sure why not Just the two of us| [person:us g(walter:jeremy) 7-7]
walter| No I also invited Wayne and Peter| [person:walter m 1-1][person:wayne m 4-4][person:peter m 6-6]
jeremy| Are they your friends from work| [person:they g(wayne:peter) 1-1][person:walter m 2-2][person:they g(wayne:peter) 3-3]
walter| Yes they are You would like them| [person:they g(wayne:peter) 1-1][person:jeremy m 3-3][person:they g(wayne:peter) 6-6]
jeremy| How are you so sure I hardly know them| [person:walter m 2-2][person:jeremy m 5-5][person:they g(wayne:peter) 8-8]
walter| Well they are both into cars like you are| [person:they g(wayne:peter) 1-1][person:jeremy m 7-7]
jeremy| Well at least we do have something in common| [person:we g(jeremy:wayne:peter) 3-3]
walter| And I think they are both in need of a new mechanic You could get some new business| [person:walter m 1-1][person:they g(wayne:peter) 3-3][person:jeremy m 12-12]
jeremy| Well you do not have to convince me any longer| [person:walter m 1-1][person:jeremy m 7-7]
walter| See you on Saturday| [person:jeremy m 1-1]
jeremy| You bet| [person:walter m 0-0]

conv:people_2019082201_55:aug_0:chat_0:chataug_0| maria shawn| [person:maria f 0-0][person:shawn m 1-1]
maria| Hi Shawn I do not know if you know but next week Juan from Seattle is visiting| [person:shawn m 1-1][person:maria f 2-2][person:shawn m 7-7][person:juan m 12-12][location:seattle s 14-14]
shawn| Hi Had no idea Awesome I d like to see him Come to think about it I haven t seen him in ages| [person:shawn m 5-5][person:juan m 10-10][person:shawn m 16-16][person:shawn m 20-20]
maria| Awesome I actually had plans to see him for dinner next week| [person:maria f 1-1][person:juan m 7-7]
maria| Would you like to join us I m sure Juan would be thrilled to see you| [person:shawn m 1-1][person:us g(maria:juan) 5-5][person:maria f 6-6][person:juan m 9-9][person:shawn m 15-15]
shawn| Do you even need to ask Sure I d like to| [person:maria f 1-1][person:shawn m 7-7]
maria| Perfect I ll let him know when I speak to him| [person:maria f 1-1][person:juan m 4-4][person:maria f 7-7][person:juan m 10-10]
shawn| Perfect On the other hand do you know what did I realize| [person:maria f 6-6][person:shawn m 10-10]
shawn| Phil will also be in town| [person:phil m 0-0][location:town s 5-5]
maria| That s a funny coincidence|
shawn| Are you cool with me also inviting him I kind of unsure as he doesn t know anyone else| [person:maria f 1-1][person:shawn m 4-4][person:phil m 7-7][person:shawn m 8-8][person:phil m 13-13][person:anyone u 17-17]
maria| Sure It s no problem we ll make him feel welcome I ll text you the details of the reservation| [person:we g(maria:shawn) 5-5][person:phil m 8-8][person:maria f 11-11][person:shawn m 14-14]
shawn| Perfect Then it s settled Thanks Bye|
maria| Can t wait Bye See you then| [person:shawn m 5-5]

conv:people_2019082201_56:aug_0:chat_0:chataug_0| barbara nate| [person:barbara f 0-0][person:nate m 1-1]
nate| Good morning sunshine|
barbara| Hey bub what s goin on|
nate| I couldn t sleep We haven t gone out to do any thing fun in a while| [person:nate m 0-0][person:we g(nate:barbara) 4-4]
barbara| Summer s coming up and once again I m gonna bug you about visiting Harry and Teresa| [person:barbara f 7-7][person:nate m 11-11][person:harry m 14-14][person:teresa f 16-16]
nate| Yeah you have Should I call em and schedule something or what do you think| [person:barbara f 1-1][person:nate m 4-4][person:barbara f 13-13]
barbara| We should go on a trip Remember when we all went to Cancun| [person:we g(nate:barbara:harry:teresa) 0-0][person:we g(nate:barbara:harry:teresa) 8-8]
nate| Oh yeah that s was awesome except for the bill I had to pay for Harry s antics| [person:nate m 10-10][person:harry m 15-15]
barbara| We ve been over this He s not like that anymore You egged him on by the way Any way we could go to the beach for a couple days couldn t we| [person:we g(nate:barbara) 0-0][person:harry m 5-5][person:nate m 11-11][person:harry m 13-13][person:we g(nate:barbara:harry:teresa) 20-20][person:we g(nate:barbara:harry:teresa) 32-32]
nate| Sounds hot How about we go to the beach at night if we do go| [person:we g(nate:barbara) 4-4][location:beach s 8-8][person:we g(nate:barbara) 12-12]
barbara| How do you think Harry and Teresa would feel about it| [person:nate m 2-2][person:harry m 4-4][person:teresa f 6-6]
nate| Ummm Teresa s gonna ask about insect repellent| [person:teresa f 1-1]
barbara| The bugs only come out at night Maybe we could just go down south to the whinery town and rent hotels near the whine place again| [person:we g(nate:barbara:harry:teresa) 8-8][location:town s 17-17][location:hotels g() 20-20][location:place s 24-24]
nate| That sounds cool and we can talk about this as much as we need to| [person:we g(nate:barbara:harry:teresa) 4-4][person:we g(nate:barbara:harry:teresa) 12-12]
barbara| I ll call Teresa today and see how they feel about| [person:barbara f 0-0][person:teresa f 3-3][person:they g(harry:teresa) 8-8]
nate| Ha Harry s gonna wish he heard about it first He s lively but he can be such a hermit sometimes Yeah we gotta get outta town for awhile Let s do it| [person:harry m 1-1][person:harry m 5-5][person:harry m 10-10][person:harry m 14-14][person:we g(nate:barbara:harry:teresa) 22-22][location:town s 26-26]

conv:people_2019082201_57:aug_0:chat_0:chataug_0| beverly margaret| [person:beverly f 0-0][person:margaret f 1-1]
margaret| Let s plan for an outing for the spring break|
beverly| Yes sure we can include Helen Betty and Ellen too They will definitely wish to come| [person:we g(margaret:beverly) 2-2][person:helen f 5-5][person:betty f 6-6][person:ellen f 8-8][person:they g(helen:betty:ellen) 10-10]
margaret| We have to choose the location which everyone likes| [person:we g(margaret:beverly:helen:betty:ellen) 0-0][person:we g(margaret:beverly:helen:betty:ellen) 7-7]
beverly| Yes exactly also we should consider the ticket rates and other expenses too| [person:we g(margaret:beverly) 3-3]
margaret| What about to the museum| [location:museum s 4-4]
beverly| That sounds great which everyone likes| [person:we g(margaret:beverly:helen:betty:ellen) 4-4]
margaret| Even Helen also told me once she wanted to go there| [person:helen f 1-1][person:margaret f 4-4][person:margaret f 6-6][location:museum s 10-10]
beverly| Is it That s great then|
margaret| Will leave this weekend to the museum Beverly| [location:museum s 6-6][person:beverly f 7-7]
beverly| Cool and im so excited|

conv:people_2019082201_58:aug_0:chat_0:chataug_0| lara olivia| [person:lara f 0-0][person:olivia f 1-1]
olivia| Hey are you playing pool with Karen and Betty on Thursday| [person:lara f 2-2][person:karen f 6-6][person:betty f 8-8]
lara| Yeah we play every week Wanna join us on Thursday| [person:we g(lara:karen:betty) 1-1][person:us g(lara:karen:betty) 7-7]
olivia| Yeah I d really like to play and Joyce said she s like to come along| [person:olivia f 1-1][person:joyce f 8-8][person:joyce f 10-10]
lara| The more the merrier The place isn t crowded on Thursday so we can get a couple of tables easily| [location:place s 5-5][person:we g(olivia:lara:karen:betty:joyce) 12-12]
olivia| Only one problem Joyce hasn t been playing that long She| [person:joyce f 3-3][person:joyce f 10-10]
olivia| She s kind of worried she ll embarrass us| [person:joyce f 0-0][person:joyce f 5-5][person:us g(olivia:lara:karen:betty) 8-8]
lara| Not to worry Tell her it takes a lot to embarrass us We re in it for the fun not competition| [person:joyce f 4-4][person:us g(olivia:lara:karen:betty) 11-11][person:we g(olivia:lara:karen:betty) 12-12]
olivia| That ll make her feel better I d really like her to come She wants the practice and she d like to improve her game| [person:joyce f 3-3][person:olivia f 6-6][person:joyce f 10-10][person:joyce f 13-13][person:joyce f 18-18][person:joyce f 23-23]
