conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
ryan| Its not only we two but craig and jim are also joining us| [person:we g(ryan:dwight) 3-3][person:craig m 6-6][person:jim m 8-8][person:we g(ryan:dwight) 12-12]
dwight| That s great Then please decide a place which is closer to all four of us and food is good| [location:place s 7-7][person:us g(ryan:dwight:craig:jim) 15-15]
dwight| How about New Jersey| [location:new_jersey s 2-3]
ryan| That s fine by me Should I book the tickets| [person:ryan m 4-4][person:ryan m 6-6]
dwight| Yes Ryan Please let me know the billing amount so that we can split it equally among all of us| [person:ryan m 1-1][person:dwight m 4-4][person:us g(ryan:dwight:craig:jim) 11-11][person:us g(ryan:dwight:craig:jim) 19-19]
ryan| Yes No problem I have booked the ticket for 5 pm| [person:ryan m 3-3]
dwight| Great Ryan I will meet you outside the movie hall at 445 pm along with Craig and Jim| [person:ryan m 1-1][person:dwight m 2-2][person:ryan m 5-5][location:movie_hall s 8-9][person:craig m 15-15][person:jim m 17-17]
ryan| That s perfect Thanks for coordinating with everyone Dwight| [person:us g(ryan:dwight:craig:jim) 7-7][person:dwight m 8-8]
dwight| No worries Ryan See you at the movie Goodbye| [person:ryan m 2-2][person:ryan m 4-4]
ryan| Goodbye Dwight| [person:dwight m 1-1]

conv:people_2019081802_29:aug_0:chat_0:chataug_0| arthur shawn| [person:arthur m 0-0][person:shawn m 1-1]
shawn| Hey Arthur I m planning to catch a movie in your area bro I m going with Ivan and Wayne Can you recommend some good theaters| [person:arthur m 1-1][person:shawn m 2-2][person:arthur m 10-10][person:shawn m 13-13][person:ivan m 17-17][person:wayne m 19-19][person:arthur m 21-21][location:theaters g() 25-25]
arthur| Sure bro They re your colleagues right| [person:they g(ivan:wayne) 2-2][person:shawn m 4-4][person:they g(ivan:wayne) 5-5]
shawn| Yeah We ve been planning for a couple of days to catch a good movie| [person:we g(shawn:ivan:wayne) 1-1]
shawn| So how about the theaters Any recommendations| [location:theaters g() 4-4]
arthur| There s IMAX Wrigley Cinemax Park and Samsung 3D Plaza all of them are awesome| [location:imax s 2-2][location:park s 4-4][location:park s 5-5][location:plaza s 9-9]
arthur| However Samsung 3D plaza has the best snacks| [location:plaza s 3-3]
arthur| What kind of movie do you plan on seeing| [person:shawn m 5-5]
shawn| We d like to catch a good comedy| [person:we g(shawn:ivan:wayne) 0-0]
arthur| Awesome I m really into comedies too you know| [person:arthur m 1-1][person:shawn m 7-7]
shawn| Man I simply forgot to ask Do you wanna come along| [person:shawn m 1-1][person:arthur m 7-7]
arthur| That would be awesome|
shawn| OK then it s set We ll go to Samsung 3D Plaza to see a comedy tomorrow afternoon I ll text you the hour Bye man| [person:we g(shawn:arthur:ivan:wayne) 5-5][location:plaza s 11-11][person:shawn m 18-18][person:arthur m 21-21]
arthur| Bye See you then| [person:shawn m 2-2]

conv:people_2019081802_30:aug_0:chat_0:chataug_0| eric janet| [person:eric m 0-0][person:janet f 1-1]
janet| We still on for lunch next week| [person:we g(janet:eric) 0-0]
eric| You bet we are| [person:janet f 0-0][person:we g(janet:eric) 2-2]
janet| I m actually having lunch with Steve would you like to join us| [person:janet f 0-0][person:steve m 6-6][person:eric m 8-8][person:us g(janet:steve) 12-12]
eric| That would be great I haven t seen Steve in forever| [person:eric m 4-4][person:steve m 8-8]
janet| Great it will be fun|
eric| Hey I just realized that Nathan is also in town that day Could he join us| [person:eric m 1-1][person:nathan m 5-5][location:town s 9-9][person:nathan m 13-13][person:ejs g(janet:eric:steve) 15-15]
janet| Will he feel comfortable He doesn t know anyone else in the group| [person:nathan m 1-1][person:nathan m 4-4][person:ejs g(janet:eric:steve) 8-8]
eric| Oh yeah he s very social he ll have a great time| [person:nathan m 2-2][person:nathan m 6-6]
janet| That is fine with me then| [person:janet f 4-4]
eric| Great I ll invite him thanks| [person:eric m 1-1][person:nathan m 4-4]

conv:people_2019081802_31:aug_0:chat_0:chataug_0| charlotte jessica| [person:charlotte f 0-0][person:jessica f 1-1]
charlotte| Hey Jessica Are you enjoying the cooking class so far| [person:jessica f 1-1][person:jessica f 3-3]
jessica| I m having so much fun Stella and I were just talking about the recipe we made last week It turned out so good| [person:jessica f 0-0][person:stella f 6-6][person:jessica f 8-8][person:we g(jessica:stella) 15-15]
charlotte| Eve and Tiffany said the same thing It was their favorite thing we ve made so far I m having fun but I think I need more practice| [person:tiffany f 2-2][person:their g(tiffany) 9-9][person:we g(charlotte:tiffany) 12-12][person:charlotte f 17-17][person:charlotte f 22-22][person:charlotte f 24-24]
jessica| I d be happy to help if you need me to| [person:jessica f 0-0][person:charlotte f 7-7][person:jessica f 9-9]
charlotte| I d really appreciate it Do you want to see if Stella Eve and Tiffany want to join us| [person:charlotte f 0-0][person:jessica f 6-6][person:stella f 11-11][person:tiffany f 14-14][person:us g(charlotte:jessica) 18-18]
jessica| That would be lots of fun I think we should ask all three so no one feels left out| [person:jessica f 6-6][person:us g(charlotte:jessica) 8-8]
charlotte| Good idea I wouldn t want to make anyone feel bad| [person:charlotte f 2-2][person:anyone g(stella:tiffany) 8-8]
jessica| Can we meet at your place My kitchen is way to small for five people to work in| [person:we g(jessica:stella:tiffany) 1-1][person:charlotte f 4-4][location:place s 5-5][person:jessica f 6-6][location:kitchen s 7-7]
charlotte| That s fine with me if it works for everyone else| [person:charlotte f 4-4][person:we g(jessica:stella:tiffany) 9-9]
jessica| Perfect I ll talk to Eve and Tiffany today Can you message Stella| [person:jessica f 1-1][person:tiffany f 7-7][person:charlotte f 10-10][person:stella f 12-12]
charlotte| I will Ask them if Tuesday night at 615 would work| [person:charlotte f 0-0][person:anyone g(stella:tiffany) 3-3]
jessica| Okay I ll let you know what they say| [person:jessica f 1-1][person:charlotte f 4-4][person:anyone g(stella:tiffany) 7-7]

conv:people_2019081802_32:aug_0:chat_0:chataug_0| bryan john| [person:bryan m 0-0][person:john m 1-1]
bryan| Hey there John I am planning to have a welcome party for Nicholas James and Susie James though I am not sure where to have it| [person:john m 2-2][person:bryan m 3-3][person:nicholas m 12-12][person:james m 13-13][person:susie f 15-15][person:james m 16-16][person:bryan m 18-18]
john| Hey Bryan Nice idea of you to throw a welcome party for the James Do you know what they like usually| [person:bryan m 1-1][person:bryan m 5-5][person:james m 13-13][person:bryan m 15-15][person:they g(nicholas:james:susie:james) 18-18]
bryan| I do not know anything specific but they enjoy physical games they are quite the active people| [person:bryan m 0-0][person:they g(nicholas:james:susie:james) 7-7][person:they g(nicholas:james:susie:james) 11-11]
john| Well I do not know much about them either but maybe a laser tag venue can be fun and dynamic| [person:john m 1-1][person:they g(nicholas:james:susie:james) 7-7]
bryan| Doesn t seem that bad lasers seem nice I wonder what our common friend Justin thinks| [person:bryan m 8-8][person:our g(bryan:john) 11-11][person:justin m 13-13][person:justin m 14-14]
john| If our friend Justin is in this too then you should definitely ask him since he knows Nicholas I think| [person:our g(bryan:john) 1-1][person:justin m 2-2][person:justin m 3-3][person:bryan m 9-9][person:justin m 13-13][person:justin m 15-15][person:nicholas m 17-17][person:john m 18-18]
bryan| Yes I will be also asking Justin but will be keeping in mind the laser tag venue too| [person:bryan m 1-1][person:justin m 6-6]
john| I bet Justin will come up with a good idea too| [person:john m 0-0][person:justin m 2-2]
bryan| Alright I am going to talk to Justin then catch to you later| [person:bryan m 1-1][person:justin m 7-7][person:john m 11-11]
john| You do that Talk to you soon Bryan| [person:bryan m 0-0][person:bryan m 5-5][person:bryan m 7-7]

conv:people_2019081802_33:aug_0:chat_0:chataug_0| keith pedro| [person:keith m 0-0][person:pedro m 1-1]
keith| Hey Pedro you all set for going to Martin s today| [person:pedro m 1-1][person:pedro m 2-2][person:martin m 8-8]
pedro| Yeah man Just wondering what we should bring any ideas| [person:we g(keith:pedro) 5-5]
keith| I was thinking some expensive wine would do the trick| [person:keith m 0-0]
pedro| I had heard they quit drinking a few years back| [person:pedro m 0-0][person:they g(martin) 3-3]
keith| What a pity How about some icecream it will do well with whatever they serve for desert| [person:they g(martin) 13-13]
pedro| You are forgetting that Mr Martin in diabetic| [person:keith m 0-0][person:martin m 5-5]
keith| This is so hard it sucks that we don t know them well enough Perhaps we should ask Gregory he knows them well| [person:we g(keith:pedro) 7-7][person:they g(martin) 11-11][person:we g(keith:pedro) 15-15][person:gregory m 18-18][person:gregory m 19-19][person:they g(martin) 21-21]
pedro| Yeah he was the best man at their wedding he would know better for sure| [person:gregory m 1-1][person:they g(martin) 7-7][person:gregory m 9-9]
keith| Sounds good tell me what he comes up with| [person:keith m 3-3][person:gregory m 5-5]
pedro| Yeah man I will just get whatever he says I will see you at Martin s place then| [person:pedro m 2-2][person:gregory m 7-7][person:pedro m 9-9][person:keith m 12-12][person:martin m 14-14][location:place s 16-16]

conv:people_2019081802_34:aug_0:chat_0:chataug_0| bruce leslie| [person:bruce m 0-0][person:leslie f 1-1]
leslie| Hi Bruce Are you free now| [person:bruce m 1-1][person:bruce m 3-3]
bruce| Yes dear I am free now Anything important| [person:bruce m 2-2]
leslie| Our school friends Natalie and Grace are going to be here on coming Sunday| [person:our g(leslie:bruce) 0-0][location:school s 1-1][person:friends g() 2-2][person:natalie f 3-3][person:grace f 5-5][location:here u 10-10]
bruce| Yes I know dear I am waiting to meet them| [person:bruce m 1-1][person:bruce m 4-4][person:friends g(natalie:grace) 9-9]
leslie| What shall we do to spend time with them It must be a memorable day| [person:our g(leslie:bruce) 2-2][person:friends g(natalie:grace) 8-8]
bruce| Shall we go to any event on that day| [person:we g(leslie:bruce:natalie:grace) 1-1]
leslie| Event No dear It will be a time consuming one We can not speak more Let us have some other idea| [person:our g(leslie:bruce) 10-10][person:our g(leslie:bruce) 16-16]
bruce| That is correct Shall we go to any park| [person:we g(leslie:bruce:natalie:grace) 4-4][location:park s 8-8]
leslie| Yes It is a good idea We have spend more time with them if we go to park| [person:our g(leslie:bruce) 6-6][person:friends g(natalie:grace) 12-12][person:we g(leslie:bruce:natalie:grace) 14-14][location:park s 17-17]
bruce| Yes What snacks items shall we purchase| [person:our g(leslie:bruce) 5-5]
leslie| Let us purchase Pizza chips and cool drinks Is it okay for you| [person:our g(leslie:bruce) 1-1][person:bruce m 12-12]
bruce| Good idea Okay dear bye|
leslie| Bye|

conv:people_2019081802_37:aug_0:chat_0:chataug_0| brian juan| [person:brian m 0-0][person:juan m 1-1]
juan| Hi|
juan| are you free on tomorrwo| [person:brian m 1-1]
juan| if you are free on tomorrow we can go for a dinner at any good restaurant| [person:brian m 1-1][person:we g(juan:brian) 6-6][location:restaurant s 15-15]
brian| oh yes i am free on tomorrow| [person:brian m 2-2]
brian| sure we can go to any good restaurant can i invite my friends to join| [person:we g(juan:brian) 1-1][location:restaurant s 7-7][person:brian m 9-9][person:brian m 11-11][person:friends g() 12-12]
juan| oh sure who are they| [person:friends g() 4-4]
brian| can i invite Victoria and Pedro| [person:brian m 1-1][person:victoria f 3-3][person:pedro m 5-5]
juan| sure you can invite them we can go to any good restaurant do you know which is the best restaurant| [person:brian m 1-1][person:friends g(victoria:pedro) 4-4][person:we g(juan:brian:victoria:pedro) 5-5][location:restaurant s 11-11][person:brian m 13-13][location:restaurant s 19-19]
brian| can we go to Blue Hill restaurant at 5 Washington Pl New York NY 10011 USA| [person:we g(juan:brian:victoria:pedro) 1-1][location:restaurant s 4-5][location:restaurant s 6-6][location:washington s 9-9][location:new_york s 11-12][location:new_york s 13-13][location:usa s 15-15]
juan| no find any other good restaurant| [location:restaurant s 5-5]
brian| what about Le Bernardin restaurant at 155 W 51st St New York NY 10019 USA| [location:le_bernardin s 2-3][location:le_bernardin s 4-4][location:155_w_51st_st_ s 6-9][location:155_w_51st_st_ s 10-11][location:155_w_51st_st_ s 12-12][location:usa s 14-14]
