conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
billiam| If your wit was as sharp as your weapon them it might not be needed but my cousin Herald is trying to take over the local convenience store under the impression that he can somehow conquer it like territory and would then receive a percentage of incoming stock and profit| [person:karina f 1-1][person:karina f 7-7][person:billiam m 16-16][person:herald m 17-17][person:herald m 18-18][person:herald m 32-32]
karina| Myself showing up with a battle axe to challenge him might not feed into your cousin s paranoia and make things worse| [person:karina f 0-0][person:herald m 9-9][person:herald m 14-14][person:herald m 15-15]
billiam| Do you want your paycheck or not| [person:karina f 1-1][person:karina f 3-3]
karina| Yes I will and which convenience store needs saving| [person:karina f 1-1][location:store s 6-6]
billiam| It s the store closest to my grandmother Belle s home| [location:store s 3-3][person:billiam m 6-6][person:belle f 8-8][location:home s 10-10]
karina| Sorry I doesn t know her nor where she lives and what is the street address| [person:karina f 1-1][person:belle f 5-5][person:belle f 8-8]
billiam| Do you mean the address of the grandmother or the shop| [person:karina f 1-1][location:shop s 10-10]
karina| I don t know either could you share the address| [person:karina f 0-0][person:billiam m 6-6]
billiam| Yes I will share it| [person:billiam m 1-1]
karina| Okay then let s catch up later Bye take care|
billiam| Yes Bye Take care|

conv:people_chats_0629_100:aug_0:chat_0:chataug_0| chase zenni| [person:chase m 0-0][person:zenni f 1-1]
zenni| Lil Uzi Vert is going to playing| [person:lil_uzi_vert m 0-2]
chase| Wow you are so luck I love Lil Uzi Vert| [person:zenni f 1-1][person:chase m 5-5]
zenni| Oh really what s your favorite song| [person:chase m 4-4]
chase| That s a good question probably Myron| [person:myron m 6-6]
zenni| I really wish that you could come| [person:zenni f 0-0][person:chase m 4-4]
chase| I know I wish I could come too| [person:chase m 0-0][person:chase m 2-2][person:chase m 4-4]
zenni| Are you on call next weekend| [person:chase m 1-1]
chase| No I am not on call next weekend| [person:chase m 1-1]
zenni| That s perfect there is another concert next week we can go to| [person:we g(zenni:chase) 9-9]
chase| Oh really who is going to be playing|
zenni| Roddy Rich is going to be playing at the concert| [person:roddy_rich m 0-1][person:roddy_rich m 1-1]
chase| I love Roddy Rich Will Holly and Jay be coming| [person:chase m 0-0][person:roddy_rich m 3-3][person:holly f 5-5][person:jay m 7-7]
zenni| Yeah they ll be there| [person:they g(holly:jay) 1-1]
chase| Great I ll see you then| [person:chase m 1-1][person:zenni f 4-4]

conv:people_chats_0629_101:aug_0:chat_0:chataug_0| cam sakura| [person:cam m 0-0][person:sakura f 1-1]
sakura| Hey Cam What are you up to| [person:cam m 1-1][person:cam m 4-4]
cam| No plans yet What about you| [person:sakura f 5-5]
sakura| Well that s what I was texting you about I wanted to see if you were free tonight| [person:sakura f 4-4][person:cam m 7-7][person:sakura f 9-9][person:cam m 14-14]
cam| Yeah sure what did you want to do| [person:sakura f 4-4]
sakura| I m not sure if I told you but my sisterroomate is out of town| [person:sakura f 0-0][person:sakura f 5-5][person:cam m 7-7][person:sakura f 9-9]
cam| Wait so that means|
sakura| YEP I have the WHOLE HOUSE to muself| [person:sakura f 1-1]
cam| Kari isn t going to get back early or anything| [person:kari f 0-0]
sakura| Nope she s out of town for work I don t even think she s in this time zone| [person:kari f 1-1][person:sakura f 8-8][person:kari f 13-13]
cam| Sounds great what time were you thinking you want me to come over| [person:sakura f 5-5][person:sakura f 7-7][person:cam m 9-9]
sakura| Obvously as soon as you can| [person:cam m 4-4]
cam| Well I have to get Baxter from football pratrice in a bit His other ride fell through but I m free after that| [person:cam m 1-1][person:baxter m 5-5][person:baxter m 12-12][person:cam m 18-18]
sakura| No problem do what you have to and come over when you re able I m not going anywhere I m just going to be here enjoying the QUIET and PEACE| [person:cam m 4-4][person:cam m 11-11][person:sakura f 14-14][person:sakura f 19-19]
cam| Haha You deserve a break See you in a while| [person:sakura f 1-1][person:sakura f 6-6]

conv:people_chats_0629_104:aug_0:chat_0:chataug_0| david merida| [person:david m 0-0][person:merida f 1-1]
merida| Hey|
david| Whats up|
merida| Have you talked to Trevor lately| [person:david m 1-1][person:trevor m 4-4]
merida| I haven t seen him around| [person:merida f 0-0][person:trevor m 4-4]
david| Yeah I have| [person:david m 1-1]
david| He s been spending his time with Amanda| [person:trevor m 0-0][person:trevor m 4-4][person:amanda f 7-7]
david| We barely even hang out anymore since he s always with her| [person:we g(david:trevor) 0-0][person:trevor m 7-7][person:amanda f 11-11]
merida| I didn t even know they were dating| [person:merida f 0-0][person:they g(trevor:amanda) 5-5]
david| I didn t either until every time I ask him to hang out he was always with her| [person:david m 0-0][person:david m 7-7][person:trevor m 9-9][person:trevor m 13-13][person:amanda f 17-17]
david| I ll tell him you asked about him| [person:david m 0-0][person:trevor m 3-3][person:merida f 4-4][person:trevor m 7-7]
merida| Ok thanks|
merida| Talk to you later| [person:david m 2-2]

conv:people_chats_0629_108:aug_0:chat_0:chataug_0| celo rene| [person:celo m 0-0][person:rene f 1-1]
rene| Hey baby Is your fave movie still Ferris Bueller s Day Off| [person:celo m 3-3]
celo| Hey hun Gonna be a strong no to that one|
celo| Turns out that the creepy leering principal was played by an actual predator|
rene| Wait really Is that true|
rene| I thought that Predator was killed by that guy with the chopper or whatever Tom or something| [person:rene f 0-0][person:tom m 14-14]
celo| Uh do you not know what actual means| [person:rene f 2-2]
celo| And more importantly do you really think the guy that killed Predator was named Tom| [person:rene f 4-4][person:tom m 14-14]
rene| Uhhh yes to both obviously|
rene| He was super brave and like really smart and stuff So I remember his name I m super sure of that babe| [person:tom m 0-0][person:rene f 11-11][person:tom m 13-13][person:rene f 15-15]
celo| Alright alright whatever|
celo| You should see more movies with my sister Nina ll set you straight maybe you ll remember more about the classics then| [person:rene f 0-0][person:celo m 6-6][person:nina f 7-7][person:nina f 8-8][person:rene f 11-11][person:rene f 14-14]
rene| No way Nina always interrupts everything to tell me random stuff it makes everything so boring| [person:nina f 2-2][person:rene f 8-8]
celo| That random stuff is trivia about the movies|
celo| Maybe if you stopped texting and listened you d pick up on that| [person:rene f 2-2][person:rene f 7-7]
rene| Lol right Did she tell you to say that just because she s making a movie majorly boring right now| [person:nina f 3-3][person:celo m 5-5][person:nina f 11-11]

conv:people_chats_0629_111:aug_0:chat_0:chataug_0| nolan winfred| [person:nolan m 0-0][person:winfred m 1-1]
nolan| I m about to send you our grocery list hold on| [person:nolan m 0-0][person:winfred m 5-5][person:our g(nolan:winfred) 6-6]
winfred| Ok|
nolan| Can you get eggs cheese and bread| [person:winfred m 1-1]
winfred| Yes for sure|
nolan| Oh I forgot to add cereal for the kids Maxine and Lawrence have been asking for it| [person:nolan m 1-1][person:kids g() 8-8][person:maxine f 9-9][person:lawrence m 11-11]
winfred| Oh boy|
nolan| They would be furious if they didn t get their daily dose of Sugar Yummies| [person:kids g() 0-0][person:kids g() 5-5][person:kids g() 9-9]
winfred| I ll add it to the list no worries| [person:winfred m 0-0]
nolan| Thank you| [person:winfred m 1-1]
winfred| I don t see milk on the list either should I add that| [person:winfred m 0-0][person:winfred m 10-10]
nolan| Oh yes we need that too Thank you| [person:our g(nolan:winfred) 2-2][person:winfred m 7-7]
winfred| Of course I m heading out to the grocery now| [person:winfred m 2-2]

conv:people_chats_0629_114:aug_0:chat_0:chataug_0| cathy morgan| [person:cathy f 0-0][person:morgan u 1-1]
cathy| Hello Morgan| [person:morgan m 1-1]
morgan| Hey Cathy| [person:cathy f 1-1]
cathy| How s the day|
morgan| Yes good how about you| [person:cathy f 4-4]
cathy| Having trouble with kids Amira and Jason| [person:kids g() 3-3][person:amira f 4-4][person:jason m 6-6]
morgan| What happened|
cathy| They aren t following rules and having a poor attitude recently| [person:kids g(amira:jason) 0-0]
morgan| Should I have a talk with them| [person:morgan m 1-1][person:kids g(amira:jason) 6-6]
cathy| Okay that s a good idea|
morgan| Then let s plan for that|
cathy| Yeah will decide and let you know| [person:morgan m 5-5]
morgan| Okay|
cathy| Take care bye|
morgan| You too take care bye| [person:cathy f 0-0]

conv:people_chats_0629_115:aug_0:chat_0:chataug_0| cleo stephen| [person:cleo m 0-0][person:stephen m 1-1]
stephen| Hey Cleo I m ready to execute the plan| [person:cleo m 1-1][person:stephen m 2-2]
stephen| Are you ready| [person:cleo m 1-1]
cleo| Heck yeah Ellis is asleep and his dad won t be back for an hour at least| [person:ellis m 2-2][person:ellis m 6-6][person:dad m 7-7]
stephen| Great I m gonna bring the van over now then| [person:stephen m 1-1]
cleo| Just in case Jacob is still driving around make sure to take the back roads| [person:jacob m 3-3]
stephen| Way ahead of you I m going around downtown so I can come from a different direction| [person:cleo m 3-3][person:stephen m 4-4][location:downtown s 8-8][person:stephen m 10-10]
cleo| Cool Got everything we need We re going to have to be quiet and quick| [person:cleo_and_stephen g(stephen:cleo) 3-3][person:cleo_and_stephen g(stephen:cleo) 5-5]
stephen| Everything s here And don t worry we ll be done before Ellis knows what s happening| [person:cleo_and_stephen g(stephen:cleo) 7-7][person:ellis m 12-12]
cleo| Good I m super excited for this It ll be nice to see the smile on Jacob s face once he sees the surprise party| [person:cleo m 1-1][person:jacob m 16-16][person:jacob m 20-20]
stephen| I hear you It s been too long since I ve seen Jacob happy What kind of gift did you get him| [person:stephen m 0-0][person:cleo m 2-2][person:stephen m 9-9][person:jacob m 12-12][person:cleo m 19-19][person:jacob m 21-21]
cleo| I got him a new coffee machine since Ellis busted the last one How about you| [person:cleo m 0-0][person:jacob m 2-2][person:ellis m 8-8][person:stephen m 15-15]
stephen| I got him a new backpack for hiking I sure hope he likes it I don t know too much about that kind of stuff| [person:stephen m 0-0][person:jacob m 2-2][person:stephen m 8-8][person:jacob m 11-11][person:stephen m 14-14]

conv:people_chats_0629_116:aug_0:chat_0:chataug_0| billiam sharon| [person:billiam m 0-0][person:sharon f 1-1]
sharon| Hey check out my workfromhome setup| [person:sharon f 3-3]
billiam| Your desk looks great Sharon| [person:sharon f 0-0][person:sharon f 4-4]
billiam| You re lucky to have a room with a door haha| [person:sharon f 0-0]
sharon| The door is definitely a bonus|
sharon| Katrina and Reid have to work in their living room| [person:katrina f 0-0][person:reid m 2-2][person:their g() 7-7]
sharon| They ve been having a hard time sharing their workspace with the kids| [person:they g(katrina:reid) 0-0][person:their g(katrina:reid) 8-8][person:kids g() 12-12]
billiam| I ll bet they are that s never easy to do| [person:billiam m 0-0][person:they g(katrina:reid) 3-3]
billiam| Speaking of kids how have yours been adjusting to being at home| [person:kids g() 2-2][person:sharon f 5-5]
sharon| They ve been doing great It was tough for them at first to get used to it but they ve adjusted| [person:kids g() 0-0][person:kids g() 9-9][person:kids g() 18-18]
billiam| Good for them And are you enjoying the quality time together| [person:kids g() 2-2][person:sharon f 5-5]
sharon| To an extent I hope they don t adjust too well they might not want to go back in the fall| [person:sharon f 3-3][person:kids g() 5-5][person:kids g() 11-11]
billiam| Well that s what your office door is for Keep it closed| [person:sharon f 4-4]

conv:people_chats_0629_118:aug_0:chat_0:chataug_0| ayonika samuel| [person:ayonika f 0-0][person:samuel m 1-1]
ayonika| Hey Samuel you need to get the presentation ready for our meeting tomorrow| [person:samuel m 1-1][person:samuel m 2-2][person:our g(ayonika:samuel) 10-10]
samuel| I ll get it ready today and email a copy to our bosses| [person:samuel m 0-0][person:our g() 11-11]
ayonika| Are you sure that it s a good idea to email them| [person:samuel m 1-1][person:they g() 11-11]
samuel| Yeah Alexis and Walter will understand more about our project then| [person:alexis f 1-1][person:walter m 3-3][person:our g(ayonika:samuel) 8-8]
ayonika| You mean they ll be ready to fully understand the topic during the meeting| [person:samuel m 0-0][person:they g(alexis:walter) 2-2]
samuel| Yeah that s what I m talking about| [person:samuel m 4-4]
ayonika| Okay thanks for your consideration Could you pleases book a conference room for the meeting| [person:samuel m 3-3][person:samuel m 6-6]
samuel| What type of room do you think we need| [person:ayonika f 5-5][person:our g(ayonika:samuel) 7-7]
ayonika| Anything that would be good for a business meeting of course|
samuel| Remind me what the conference is about again| [person:samuel m 1-1]
ayonika| Just look at the notes I gave you it s not that hard| [person:ayonika f 5-5][person:samuel m 7-7]
samuel| Oh yeah I remember now Thanks| [person:samuel m 2-2]
ayonika| Good luck and see you later| [person:samuel m 4-4]

conv:people_chats_0629_120:aug_0:chat_0:chataug_0| mercy solenn| [person:mercy f 0-0][person:solenn m 1-1]
