conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
walt| I sold it to Derek hes good friends with matt maybe we could ask him he might know more about what they like too| [person:walt m 0-0][person:derek m 4-4][person:matt m 9-9][person:walt_and_james g(james:walt) 11-11][person:derek m 14-14][person:derek m 15-15][person:matt___julie g(matt:julie) 21-21]
james| I ll have to ask him maybe he wouldn t mind hosting the party| [person:james m 0-0][person:derek m 5-5][person:derek m 7-7]
walt| Tell him I said hello when you do and ask what I should bring| [person:derek m 1-1][person:walt m 2-2][person:james m 6-6][person:walt m 11-11]
james| I will definitely ask him later today let me know if you think of anything else| [person:james m 0-0][person:derek m 4-4][person:james m 8-8][person:walt m 11-11]
walt| Will do James see you later| [person:james m 2-2][person:james m 4-4]

conv:people_2019082201_240:aug_0:chat_0:chataug_0| bill timothy| [person:bill m 0-0][person:timothy m 1-1]
timothy| Hi Bill I was thinking about the brunch at the Smith s| [person:bill m 1-1][person:timothy m 2-2][person:smith m 10-10]
bill| Nice Can t wait for it However I am a bit unclear on what we should bring| [person:bill m 7-7][person:we g(timothy:bill) 14-14]
timothy| My thoughts exactly I like them a lot but I have no idea what are there preferences so I m kind of stumped| [person:timothy m 0-0][person:timothy m 3-3][person:them g(smith) 5-5][person:timothy m 9-9][person:timothy m 18-18]
bill| You know what I was thinking to bring some finger food and maybe even some salads| [person:timothy m 0-0][person:bill m 3-3]
timothy| Not bad but what exactly On the other hand I was more inclined on bringing some sweets cupcakes maybe| [person:timothy m 9-9]
bill| Everybody loves cupcakes right I still don t know| [person:everybody g(timothy:bill:smith) 0-0][person:bill m 4-4]
bill| Maybe we should as someone who know them better than us| [person:we g(timothy:bill) 1-1][person:someone u 4-4][person:them g(smith) 7-7][person:us g(timothy:bill) 10-10]
timothy| You re absolutelly right But who| [person:bill m 0-0]
bill| I got it Let s call Scott He s known them for ages| [person:bill m 0-0][person:scott m 6-6][person:scott m 7-7][person:them g(scott) 10-10]
timothy| Oh my God How haven t I thought of that It s the perfect solution| [person:timothy m 1-1][person:timothy m 6-6]
bill| Great I ll call and ask and I ll let you know what I find out| [person:bill m 1-1][person:bill m 7-7][person:timothy m 10-10][person:bill m 13-13]

conv:people_2019082201_241:aug_0:chat_0:chataug_0| amanda samantha| [person:amanda f 0-0][person:samantha f 1-1]
amanda| Hey Jennifer my aunt and uncle are visiting Chicago Do you have a favorite place they should check out| [person:jennifer f 1-1][person:amanda f 2-2][person:aunt f 3-3][location:chicago s 8-8][person:samantha f 10-10][location:place s 14-14][person:they g(amanda:samantha:jennifer) 15-15]
samantha| My favorite place is probably the Willis Tower where you can go up to the very top almost You can see five states from there| [person:samantha f 0-0][location:place s 2-2][location:willis_tower s 6-7][person:amanda f 9-9][person:amanda f 18-18][location:states g() 22-22][location:willis_tower s 24-24]
amanda| That sounds good they d like that What about restaurants| [person:they g(amanda:samantha:jennifer) 3-3][location:restaurants g() 9-9]
samantha| Navy Pier is a really cool place and I believe there s quite a few restaurants over there too| [location:navy_pier s 0-1][location:navy_pier s 6-6][person:samantha f 8-8][location:restaurants g() 15-15][location:navy_pier s 17-17]
amanda| Cool maybe they can check that out| [person:they g(amanda:samantha:jennifer) 2-2]
samantha| I could possibly meet up with them too and suggest more things over lunch if they d like| [person:samantha f 0-0][person:them g(amanda:samantha:jennifer) 6-6][person:they g(amanda:samantha:jennifer) 15-15]
amanda| They would love that| [person:they g(amanda:samantha:jennifer) 0-0]
samantha| Good I ll do that then I can tell them about a few museums too boat trips maybe some festivals going on Chicago always has things happening| [person:samantha f 1-1][person:samantha f 6-6][person:them g(amanda:samantha:jennifer) 9-9][location:museums g() 13-13][location:chicago s 22-22]
amanda| I told them and they re looking forward to it I ll have them reach out to you when they get there| [person:amanda f 0-0][person:them g(amanda:samantha:jennifer) 2-2][person:they g(amanda:samantha:jennifer) 4-4][person:them g(amanda:samantha:jennifer) 13-13][person:amanda f 17-17][person:they g(samantha:jennifer) 19-19]
samantha| Okay sounds wonderful|

conv:people_2019082201_242:aug_0:chat_0:chataug_0| debra randy| [person:debra f 0-0][person:randy m 1-1]
debra| Do you think I should ask them about diet restrictions| [person:randy m 1-1][person:debra f 3-3][person:them g() 6-6]
randy| Sure it wouldn t hurt Did they say what time they re coming over| [person:them g() 6-6][person:them g() 10-10]
debra| Hannah will be over at around 5 and Meredith will join a bit later| [person:hannah f 0-0][person:meredith f 8-8]
randy| Sounds good I can setup the air hockey table we can play 4 ways| [person:randy m 2-2][person:we g(debra:randy:hannah:meredith) 9-9]
debra| I m definitely up for that I ll make a vegetarian side dish just in case they aren t answering their texts| [person:debra f 0-0][person:debra f 6-6][person:them g(hannah:meredith) 16-16][person:them g(hannah:meredith) 20-20]
randy| Yeah good idea Do you think they like board games| [person:debra f 4-4][person:them g(hannah:meredith) 6-6]
debra| They do look a bit nerdy haha| [person:them g(hannah:meredith) 0-0]
randy| Definitely telling them you said that I ordered some hot chocolate and cupcakes from the bakery down the road they ll delivery around 6| [person:them g(hannah:meredith) 2-2][person:debra f 3-3][person:randy m 6-6][location:bakery s 15-15][location:road s 18-18][person:them g(hannah:meredith) 19-19]
debra| Sounds good do I tip| [person:debra f 3-3]
randy| No I tipped online Maybe we can make use of the projector and rent a movie online what do you think| [person:randy m 1-1][person:we g(debra:randy:hannah:meredith) 5-5][person:debra f 19-19]
debra| That sounds nice I haven t watched a movie in a while| [person:debra f 3-3]

conv:people_2019082201_244:aug_0:chat_0:chataug_0| albert justin| [person:albert m 0-0][person:justin m 1-1]
albert| Do you think we should bring something to the Smith s house for movie night| [person:justin m 1-1][person:we g(albert:justin) 3-3][person:smith g() 9-9]
justin| Definitely I wonder what they like Typical movie foods| [person:justin m 1-1][person:smith g() 4-4]
albert| I think everyone likes popcorn and candy during a movie but you never know| [person:albert m 0-0][person:smith g() 2-2][person:justin m 11-11]
justin| Well I don t think you can go wrong with popcorn so I ll bring that I ll get some without butter and with extra butter| [person:justin m 1-1][person:albert m 5-5][person:justin m 12-12][person:justin m 16-16]
albert| Okay and I ll grab some candy like MMs and Skittles| [person:albert m 2-2]
justin| Any other ideas for what to bring Drinks Or maybe there are some treats they really like| [person:smith g() 14-14]
albert| Why don t you ask Samuel He hangs out with them a lot| [person:justin m 3-3][person:samuel m 5-5][person:samuel m 6-6][person:smith g() 10-10]
justin| That s a good idea he probably would know Why don t you bring the popcorn and the candy and I ll bring whatever he suggests| [person:samuel m 5-5][person:albert m 12-12][person:justin m 20-20][person:samuel m 24-24]
albert| That s a great idea Sounds good to me| [person:albert m 8-8]
justin| Perfect See you later on then| [person:albert m 2-2]

conv:people_2019082201_245:aug_0:chat_0:chataug_0| gloria johnny| [person:gloria f 0-0][person:johnny m 1-1]
gloria| Hey Johnny how have you been| [person:johnny m 1-1][person:johnny m 4-4]
johnny| Hey Gloria I ve been good You| [person:gloria f 1-1][person:johnny m 2-2][person:gloria f 6-6]
gloria| Great I m having a game night with Jon next week and wanted to know if you could make it| [person:gloria f 1-1][person:jon m 8-8][person:johnny m 16-16]
johnny| Wow I haven t seen Jon in forever| [person:johnny m 1-1][person:jon m 5-5]
johnny| Yes I d love to come but my friend Pedro will be in town that day| [person:johnny m 1-1][person:johnny m 7-7][person:friend m 8-8][person:friend m 9-9][location:town s 13-13]
johnny| Is it okay if Pedro comes too| [person:friend m 4-4]
gloria| Yeah that d be awesome sure he can come| [person:friend m 6-6]
johnny| I m a little worried because he doesn t really know anyone| [person:johnny m 0-0][person:friend m 6-6][person:anyone g() 11-11]
gloria| That s okay me and Jon will help keep him company| [person:gloria f 3-3][person:jon m 5-5][person:friend m 9-9]
johnny| Great Can t wait|
gloria| Me too See you next week with Pedro| [person:gloria f 0-0][person:johnny m 3-3][person:friend m 7-7]

conv:people_2019082201_246:aug_0:chat_0:chataug_0| lawrence walter| [person:lawrence m 0-0][person:walter m 1-1]
lawrence| Hey Walter| [person:walter m 1-1]
walter| Hi Lawrence| [person:lawrence m 1-1]
lawrence| What are you bringing to Greg s breakfast| [person:walter m 2-2][person:greg m 5-5]
walter| I am not sure| [person:walter m 0-0]
lawrence| Maybe you can ask Sean what Greg likes| [person:walter m 1-1][person:sean m 4-4][person:greg m 6-6]
walter| I will text him now| [person:walter m 0-0][person:lawrence m 3-3]
lawrence| Ask him what he likes to drink too| [person:walter m 1-1][person:walter m 3-3]
walter| Sean said he likes pancakes from IHOP| [person:sean m 0-0][person:sean m 2-2][location:ihop s 6-6]
lawrence| Oh I can get that since I live a block away from IHOP| [person:lawrence m 1-1][person:lawrence m 6-6][location:ihop s 12-12]
walter| He also likes fresh orange juice| [person:sean m 0-0]
lawrence| Oh go to BlackBear they squeeze daily| [location:blackbear s 3-3]
walter| Oh good I can get that then| [person:walter m 2-2]
lawrence| Sweet all set then|

conv:people_2019082201_247:aug_0:chat_0:chataug_0| caroline lori| [person:caroline f 0-0][person:lori f 1-1]
caroline| Hi Lori can you help me out a bit| [person:lori f 1-1][person:lori f 3-3][person:caroline f 5-5]
lori| Sure what is the issue|
caroline| My frineds Jacob and Richard are visiting me today and i am stuck with work can you take them out| [person:caroline f 0-0][person:jacob m 2-2][person:richard m 4-4][person:caroline f 7-7][person:caroline f 10-10][person:lori f 16-16][person:jacob__richard g(jacob:richard) 18-18]
lori| yeah sure i can do that| [person:lori f 2-2]
lori| what do they want to do here| [person:jacob__richard g(jacob:richard) 2-2][location:here u 6-6]
caroline| just take them around the city the museum the state building and other highlights| [person:jacob__richard g(jacob:richard) 2-2][location:city s 5-5][location:museum s 7-7][location:state s 9-9][location:state s 10-10]
lori| will they bring their car| [person:jacob__richard g(jacob:richard) 1-1][person:jacob__richard g(jacob:richard) 3-3]
caroline| yes they will| [person:jacob__richard g(jacob:richard) 1-1]
lori| alright what time should we start| [person:lori__jacob__richard g(lori:jacob:richard) 4-4]
caroline| around 10 in the morning and finish off by the evening|
lori| ok i will do that| [person:lori f 1-1]
caroline| thanks a lot you really saved me today| [person:lori f 3-3][person:caroline f 6-6]
lori| welcome|

conv:people_2019082201_250:aug_0:chat_0:chataug_0| april linda| [person:april f 0-0][person:linda f 1-1]
april| Hi Linda I m struggling to choose a film for the movie night What do you think| [person:linda f 1-1][person:april f 2-2][person:linda f 15-15]
linda| I ve been thinking and we nee something with some thrills and scares for Cheryl and Dorothy so I say let s just go with making them happy| [person:linda f 0-0][person:we g(april:linda) 5-5][person:cheryl f 14-14][person:dorothy f 16-16][person:linda f 18-18][person:them g(cheryl:dorothy) 26-26]
april| But what about Grace she doesnt really like scary films and she might feel left out| [person:grace f 3-3][person:grace f 4-4][person:grace f 11-11]
linda| Oh right I see Yeah she might feel left out if she doesn t like the movie choice I see your point| [person:linda f 2-2][person:grace f 5-5][person:grace f 11-11][person:linda f 18-18][person:april f 20-20]
april| How about we choose something scary but with a serious plot like a thriller with a good story| [person:we g(april:linda) 2-2]
linda| That s a great idea but how will we find something that s suitable| [person:we g(april:linda) 8-8]
april| I ll check out Netflix and search for thrillers I m sure we will find something| [person:april f 0-0][person:april f 9-9][person:we g(april:linda) 12-12]
linda| Ok well I ll leave that to you because thrillers aren t really my thing but I m sure I ll enjoy it| [person:linda f 2-2][person:april f 7-7][person:linda f 13-13][person:linda f 16-16][person:linda f 19-19]
april| Right that s settled then See you later| [person:linda f 6-6]
linda| Well just don t choose something boring Movie night should be fun after all lol|

conv:people_2019082201_251:aug_0:chat_0:chataug_0| kathryn teresa| [person:kathryn f 0-0][person:teresa f 1-1]
kathryn| Should we play poker this weekend| [person:we g(kathryn:teresa) 1-1]
