conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
fred| Okay well Todd wants to go to the Knicks game and I think it s a good idea he s never been to one live| [person:todd m 2-2][person:fred m 11-11][person:todd m 18-18]
michelle| Karen doesn t even like sports It would just be fun for the two of you and that s it| [person:karen f 0-0][person:fred m 15-15]
fred| Well what if we go and get some drinks afterwards| [person:we g(fred:michelle) 3-3]
michelle| No that s a dumb idea Let s just get a relaxing dinner and drinks I would be so bored at a basketball game| [person:michelle f 15-15]
fred| But you decided on where to go last time Plus this is a big game they re playing the Lakers tonight| [person:michelle f 1-1][person:they g() 15-15]
michelle| Well if you agree to not go to the basketball game tonight you can pick for the next 3 date nights| [person:michelle f 2-2][person:michelle f 12-12]
michelle| How does that sound|
fred| But this is a really rare opportunity Todd s never been to a basketball game live and it s a good matchup| [person:todd m 7-7]
michelle| If you agree to go to a restaurant I promise you won t regret it it ll be so much fun| [person:fred m 1-1][location:restaurant s 7-7][person:michelle f 8-8][person:fred m 10-10]
fred| Todd s going to be disappointed I just feel like we d be missing out big time| [person:todd m 0-0][person:fred m 6-6][person:we g(fred:michelle) 10-10]

conv:people_chats_0520_234:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
adam| OMG Rita Did you hear about the recent robbery| [person:rita f 1-1][person:rita f 3-3]
rita| Which one|
adam| The one by the notorious duo John and Jane of course| [person:john m 6-6][person:jane f 8-8]
rita| Yes I heard there was shooting involved too I totally admire the balls those two have| [person:rita f 1-1][person:rita f 8-8][person:two g(john:jane) 14-14]
adam| Yeah they are a pair of bad asses I wonder if we would be able to pull off some shit like that on a smaller scale of course LOL| [person:two g(john:jane) 1-1][person:adam m 8-8][person:we g(adam:rita) 11-11]
rita| Of course we would We are pretty awesome ourselves| [person:we g(adam:rita) 2-2][person:we g(adam:rita) 4-4]
rita| Why don t we meet up later my house We can devise a plan| [person:we g(adam:rita) 3-3][person:rita f 7-7][person:we g(adam:rita) 9-9]
adam| That sounds good What time are you gonna be home| [person:rita f 6-6][location:home s 9-9]
rita| I get off at 6 so anytime after that ll work| [person:rita f 0-0]
adam| Do you think I should post some anonymous queries online For ideas and stuff| [person:rita f 1-1][person:adam m 3-3]
rita| No dumbass We can t be leaving trails We ll discuss this later in person| [person:adam m 1-1][person:we g(adam:rita) 2-2][person:we g(adam:rita) 8-8]
adam| Right That s why you are the brains in this operation I ll be the brawn LOL| [person:rita f 4-4][person:adam m 11-11]
rita| Sure beefcake whatever you say We want to be notorious like Bonnie and Clyde or John and Jane not dumb and dumber| [person:adam m 1-1][person:adam m 3-3][person:we g(adam:rita) 5-5][person:bonnie f 11-11][person:clyde m 13-13][person:john m 15-15][person:jane f 17-17]
adam| I ll see you later then| [person:adam m 0-0][person:rita f 3-3]
rita| Bye|

conv:people_chats_0520_235:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
rita| Hey Jane you talk to John yet| [person:jane f 1-1][person:jane f 2-2][person:john m 5-5]
jane| I ve been preparing but I can t get my apology right| [person:jane f 0-0][person:jane f 5-5][person:jane f 9-9]
rita| Just say what feels natural you need to do this soon| [person:jane f 5-5]
jane| I know but I am worried to panic in front of him and blurt things out I don t mean to say| [person:jane f 0-0][person:jane f 3-3][person:john m 11-11][person:jane f 16-16]
rita| Look John loves you it won t be the end of the world I am sure he would want to hear anything from you| [person:john m 1-1][person:jane f 3-3][person:rita f 13-13][person:john m 16-16][person:jane f 23-23]
jane| Yeah you are right but I am still nervous| [person:rita f 1-1][person:jane f 5-5]
rita| Is there anything I can do to help| [person:rita f 3-3]
jane| Could you ask Adam about how John is feeling about the situation| [person:rita f 1-1][person:adam m 3-3][person:john m 6-6]
rita| I could do that| [person:rita f 0-0]
jane| Thank you so much You are a great friend| [person:rita f 1-1][person:rita f 4-4][person:friend u 8-8]
rita| I ll let you know what he thinks| [person:rita f 0-0][person:jane f 3-3][person:john m 6-6]
jane| Thank you so much and I ll practice what to say| [person:rita f 1-1][person:jane f 5-5]

conv:people_chats_0520_236:aug_0:chat_0:chataug_0| duncan willie| [person:duncan m 0-0][person:willie m 1-1]
willie| Hey buddy Are you ready to do some serious golfing| [person:duncan m 1-1][person:duncan m 3-3]
duncan| I wish I am afraid we could be in trouble here| [person:duncan m 0-0][person:duncan m 2-2][person:duncan_and_willie g(willie:duncan) 5-5]
willie| What s the problem The tee time is set and the clubs are in the car|
duncan| Aren t you forgettting something| [person:willie m 2-2]
willie| Balls|
duncan| No our wives you idiot| [person:duncan_and_willie g(willie:duncan) 1-1][person:willie m 3-3]
willie| No problem I have the answer| [person:willie m 2-2]
duncan| The answer Neither Jen or Nina want to go and they both said they would only go if we could get both of them We are sunk| [person:jen f 3-3][person:nina f 5-5][person:jen_and_nina g(jen:nina) 10-10][person:jen_and_nina g(jen:nina) 13-13][person:duncan_and_willie g(willie:duncan) 18-18][person:jen_and_nina g(jen:nina) 23-23]
willie| You are not thinking straight here All we need to do to get these gals to bite is to dangle the right carrot| [person:duncan m 0-0][person:duncan_and_willie g(willie:duncan) 7-7]
duncan| What do mean I m not gonna lie to them You want me to tell Nina that Jen wants to come don t you Well I m not gonna do it| [person:duncan m 3-3][person:jen_and_nina g(jen:nina) 9-9][person:willie m 10-10][person:duncan m 12-12][person:nina f 15-15][person:jen f 17-17][person:willie m 23-23][person:duncan m 25-25]
willie| No no no|
duncan| And then you are gonna tell Jen that Nina said she wants to come too| [person:willie m 2-2][person:jen f 6-6][person:nina f 8-8][person:nina f 10-10]
willie| Duncan you are thinking like a bad sitcom writer| [person:duncan m 0-0][person:duncan m 1-1]
duncan| Well then how are we gonna get them to come golfing with us| [person:duncan_and_willie g(willie:duncan) 4-4][person:jen_and_nina g(jen:nina) 7-7][person:duncan_and_willie g(willie:duncan) 12-12]
willie| You know with them it is not gonna be about the golfing It s gonna be all about the accessories| [person:duncan m 0-0][person:jen_and_nina g(jen:nina) 3-3]
duncan| Accessories Accessories to what Kidnapping You want me to be an accessory to a crime| [person:willie m 5-5][person:duncan m 7-7]
willie| No nothing that devious|
duncan| Then what|
willie| We offer to take them to the store together to buy them new golfing outfits Once they see themselves in their dazzling new apparel they will be begging for an opportunity to show their new outfits off| [person:duncan_and_willie g(willie:duncan) 0-0][person:jen_and_nina g(jen:nina) 4-4][person:jen_and_nina g(jen:nina) 11-11][person:jen_and_nina g(jen:nina) 16-16][person:jen_and_nina g(jen:nina) 18-18]
duncan| You are brlliant This could work Where do we take them WalMart| [person:willie m 0-0][person:duncan_and_willie g(willie:duncan) 8-8][person:jen_and_nina g(jen:nina) 10-10]
willie| I mention dazzling accessories and you think of WalMart DUncan you have a lot to learn buddy| [person:willie m 0-0][person:duncan m 5-5][person:duncan m 9-9][person:duncan m 10-10][person:duncan m 16-16]

conv:people_chats_0628_1:aug_0:chat_0:chataug_0| brandon dolly| [person:brandon m 0-0][person:dolly f 1-1]
dolly| Did you pick up the cake| [person:brandon m 1-1]
dolly| Picked it had wrong name|
brandon| picked it but had wrong name|
dolly| What about mine| [person:dolly f 2-2]
dolly| want hello kitty on it|
brandon| They have it| [person:they g() 0-0]
brandon| have to wait|
brandon| to decorate real quick|
brandon| Manager steve appologized| [person:manager_steve m 0-0][person:manager_steve m 1-1]
brandon| Gave huge discount|
brandon| will be ready in 15 minutes what u want| [person:dolly f 7-7]
brandon| Will be quick once picked up|
dolly| Ok fine|

conv:people_chats_0628_5:aug_0:chat_0:chataug_0| craig melissa| [person:craig m 0-0][person:melissa f 1-1]
craig| HAI|
craig| HOW ARE YOU| [person:melissa f 2-2]
melissa| YA|
melissa| I AM FINE| [person:melissa f 0-0]
craig| NICE TO MEET YOU| [person:melissa f 3-3]
melissa| WHAT ABOUT YOU| [person:craig m 2-2]
craig| VERY FINE|
melissa| DO YOU LIKE MOVIE| [person:craig m 1-1]
craig| YES|
melissa| WHICH TYPE OF MOVIE DO YOU LIKE| [person:craig m 5-5]
craig| I LIKE ADVENTURE MOVIE| [person:craig m 0-0]
craig| WHICH TYPE OF MOVIE DO YOU LIKE| [person:melissa f 5-5]
melissa| I LIKE COMEDY MOVIE ONLY| [person:melissa f 0-0]
craig| VERY NICE|
melissa| DO YOU LIKE MUSIC| [person:craig m 1-1]
craig| YES|
melissa| WHICH TYPE OF MUSIC DO YOU LIKE| [person:craig m 5-5]

conv:people_chats_0628_6:aug_0:chat_0:chataug_0| nala petruchio| [person:nala f 0-0][person:petruchio m 1-1]
nala| hi|
petruchio| hello|
nala| how are you| [person:petruchio m 2-2]
petruchio| i am good| [person:petruchio m 0-0]
nala| i am miss my phone yesterday in your home| [person:nala f 0-0][person:nala f 3-3][person:petruchio m 7-7][location:home s 8-8]
petruchio| is it|
nala| yes do you see that| [person:petruchio m 2-2]
petruchio| i was bring your phone tomorrow| [person:petruchio m 0-0][person:nala f 3-3]
nala| thank you pet| [person:petruchio m 1-1]
petruchio| what model is your phone| [person:nala f 3-3]
nala| that was big android model|
nala| ok dude we will meet them| [person:we g(nala:petruchio) 2-2][person:them g() 5-5]

conv:people_chats_0628_7:aug_0:chat_0:chataug_0| gary lena| [person:gary m 0-0][person:lena f 1-1]
lena| Hello|
gary| Hey|
lena| When will you be coming home| [person:gary m 2-2][location:home s 5-5]
gary| I wouldn t be coming home until Ulysses is defeated| [person:gary m 0-0][location:home s 5-5][person:ulysses m 7-7]
gary| He is my great foe and must be vanquished| [person:ulysses m 0-0][person:gary m 2-2]
gary| I must beat him out in the battlefield of competitive eating| [person:gary m 0-0][person:ulysses m 3-3]
lena| Please Gary Don t do this You don t have to| [person:gary m 1-1][person:gary m 6-6]
gary| But I must| [person:gary m 1-1]
lena| The man had a second stomach surgically combined with his own for Pete s sake| [person:ulysses m 9-9]
lena| I don t think he is beatable| [person:lena f 0-0][person:ulysses m 4-4]
gary| That doesn t matter by dear for my spirit is unconquerable| [person:gary m 7-7]
lena| Your a damn fool Gary Yet I still love you| [person:gary m 0-0][person:gary m 4-4][person:lena f 6-6][person:gary m 9-9]
lena| However if you can t come home shortly I will have no choice but to leave and move into with my sister Penelope| [person:gary m 2-2][location:home s 6-6][person:lena f 8-8][person:lena f 20-20][person:penelope f 21-21][person:penelope f 22-22]
gary| What Penelope Isn t her house disgusting and Berliner unlivable| [person:penelope f 1-1][person:penelope f 4-4][location:house s 5-5]
gary| I thought it was filled with roaches| [person:gary m 0-0][location:house s 2-2]
lena| Yes it is But at least the roaches would provide me with companionship in these times| [location:house s 1-1][person:lena f 10-10]
lena| I am miserable without you In sorrow even The roaches would be better then sitting in loneliness and silence each day waiting for you to return| [person:lena f 0-0][person:gary m 4-4][person:gary m 23-23]
gary| I I don t know what to say| [person:gary m 0-0][person:gary m 1-1]
gary| Please Lena just give me one more month One more That s all I am asking for| [person:lena f 1-1][person:gary m 4-4][person:gary m 13-13]

conv:people_chats_0628_8:aug_0:chat_0:chataug_0| norman retsuko| [person:norman m 0-0][person:retsuko f 1-1]
retsuko| Hey Norman guess what I won two tickets to a heavy metal concert Want to go with me| [person:norman m 1-1][person:retsuko f 4-4][person:retsuko f 17-17]
norman| Are you going to sing along and get us kicked out like last time| [person:retsuko f 1-1][person:us g(retsuko:norman) 8-8]
retsuko| I won t I promise That was a one time deal| [person:retsuko f 0-0][person:retsuko f 3-3]
norman| Oh yeah We ll see about that So who is the band and where are they playing| [person:we g(retsuko:norman) 2-2][person:they g() 15-15]
retsuko| The band is Blink 182 and they re playing at the 930 Club| [person:they g() 6-6][location:930_club s 11-12]
norman| Oh cool Can I invite my friend Fumina too They can get their own ticket of course| [person:norman m 3-3][person:norman m 5-5][person:fumina f 6-6][person:fumina f 7-7][person:they g(fumina) 9-9][person:they g(fumina) 12-12]
retsuko| Well I was hoping this would be more of a date and an apology so no friends would be preferred| [person:retsuko f 1-1][person:they g() 16-16]
