conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
conv:people_1011_1528_26:aug_0:chat_0:chataug_0| thomas victoria| [person:thomas m 0-0][person:victoria f 1-1]
victoria| Hi how are you doing| [person:thomas m 3-3]
thomas| I m good How about you| [person:thomas m 0-0][person:victoria f 5-5]
victoria| We need DJ for anniversary Some I m thinking about it| [person:we g(victoria:thomas) 0-0][person:victoria f 6-6]
thomas| Yes right I know two of them who is good in DJ music| [person:thomas m 2-2][person:them g() 6-6]
victoria| Do we need only one person who is good in DJ| [person:we g(victoria:thomas) 1-1]
thomas| I know but need to select what kind of music required| [person:thomas m 0-0]
victoria| Both of the DJ style music is same|
thomas| So will select both of the for our party DJ music| [person:our g(victoria:thomas) 7-7]
victoria| Yes That s good idea We can select both the guys| [person:we g(victoria:thomas) 5-5]
thomas| Sure Cheers have a nice day|
victoria| Bye now Cheers|

conv:people_1011_1528_27:aug_0:chat_0:chataug_0| carlos edgar| [person:carlos m 0-0][person:edgar m 1-1]
carlos| Hey Edgar are you still up for seeing the new Terminator movie| [person:edgar m 1-1][person:edgar m 3-3]
edgar| Absolutely George and Craig wanted to go too| [person:george m 1-1][person:craig m 3-3]
carlos| That would be great We could do dinner after the movie| [person:we g(carlos:edgar:george:craig) 4-4]
edgar| Yep sounds good|
carlos| Well change of plans I just got a call from George Craig is not doing too well| [person:carlos m 4-4][person:george m 10-10][person:craig m 11-11]
edgar| Oh that s not good He was doing so well after chemo Is everything okay| [person:craig m 5-5]
carlos| George said that Craig is just really tired He s been working long hours| [person:george m 0-0][person:craig m 3-3][person:craig m 8-8]
edgar| Well good I m glad it s not too serious| [person:edgar m 2-2]
carlos| Instead of going to the movie why don t we just take some food over to Craig s place if he s up to it| [location:movie s 5-5][person:we g(carlos:edgar) 9-9][person:craig m 16-16][location:place s 18-18][person:craig m 20-20]
edgar| That sounds good We could just stay long enough to eat and visit for a bit| [person:we g(carlos:edgar) 3-3]
carlos| So do you want me to pick you up| [person:edgar m 2-2][person:carlos m 4-4][person:edgar m 7-7]
edgar| Why don t I drive I can pick George up on my way to your house and then drive on to Craig s| [person:edgar m 3-3][person:edgar m 5-5][person:george m 8-8][person:edgar m 11-11][person:carlos m 14-14][person:craig m 21-21]
carlos| Okay Sounds good I ll see you in a few minutes| [person:carlos m 3-3][person:edgar m 6-6]
edgar| Great I ll check with Craig and let you know if it isn t a good time for him| [person:edgar m 1-1][person:craig m 5-5][person:carlos m 8-8][person:craig m 18-18]
carlos| Perfect See you soon Bye| [person:edgar m 2-2]
edgar| Bye|

conv:people_1011_1528_30:aug_0:chat_0:chataug_0| aaron edward| [person:aaron m 0-0][person:edward m 1-1]
edward| Wow That was a great game|
aaron| Yes it was We all did great| [person:we g(edward:aaron) 3-3]
edward| I think Doug was one of the most outstanding players today| [person:edward m 0-0][person:doug m 2-2]
aaron| He was definitley good But he did have a few extra fumbles| [person:doug m 0-0][person:doug m 5-5]
edward| I m sure he ll be able to improve with practice Not everyone starts out perfect like us| [person:edward m 0-0][person:doug m 3-3][person:everyone g() 12-12][person:us g(edward:aaron) 17-17]
aaron| Well most wouldn t make so many fumbles like that|
aaron| What about Dan I think he had a perefect game| [person:dan m 2-2][person:aaron m 3-3][person:dan m 5-5]
edward| Perfect Did you not see that pass directly at him that he missed| [person:aaron m 2-2][person:dan m 9-9][person:dan m 11-11]
aaron| So he had a lapse of judgment Why get on him about that| [person:dan m 1-1][person:dan m 10-10]
edward| You jump down everyone else s throat| [person:aaron m 0-0][person:everyone g() 3-3]
aaron| Only those who suck|
edward| You think everyone who is not you sucks| [person:aaron m 0-0][person:everyone g() 2-2][person:aaron m 6-6]
aaron| Only because they do| [person:they g(edward:doug:dan) 2-2]

conv:people_1011_1528_32:aug_0:chat_0:chataug_0| derek harold| [person:derek m 0-0][person:harold m 1-1]
derek| Hey Harold sorry about earlier i was busy What were you saying about Cindy| [person:harold m 1-1][person:derek m 5-5][person:harold m 10-10][person:cindy f 13-13]
harold| Hey no worries I was just saying how I ve been friends with Cindy for a long time and I know most of her likes and dislikes| [person:harold m 3-3][person:harold m 8-8][person:friends g(harold:cindy) 11-11][person:cindy f 13-13][person:harold m 19-19][person:cindy f 23-23]
derek| Like what|
harold| Well she loves Autumn and hates Summer She loves orange clothing She can t stand scary movies but she can t help wthcing if one is on Things like that i could go on all day| [person:cindy f 1-1][person:cindy f 7-7][person:cindy f 11-11][person:cindy f 18-18][person:harold m 30-30]
derek| Hmm well I ve been friends with Donald for a long time and he dated Cindy for awhile You probably remember that though| [person:derek m 2-2][person:friends g(derek) 5-5][person:donald m 7-7][person:donald m 13-13][person:cindy f 15-15][person:harold m 18-18]
harold| Yeah I do i was surprised when it ended actually| [person:harold m 1-1][person:harold m 3-3]
derek| Me too he said that Cindy didn t like doing the same things he liked You know her well what does she like Does she like going to the movies| [person:derek m 0-0][person:donald m 2-2][person:cindy f 5-5][person:donald m 13-13][person:harold m 15-15][person:cindy f 17-17][person:cindy f 21-21][person:cindy f 24-24]
harold| Yeah we go to the movies all the time its one of our favorite things to do She also likes walks in the park reading romance sightseeing etc| [person:we g(harold:cindy) 1-1][person:our g(harold:cindy) 12-12][person:cindy f 17-17]
derek| sound like you two should be dating lol| [person:harold m 2-2]
harold| We actually talked about it awhile ago but we didn t want to ruin our friendship| [person:we g(harold:cindy) 0-0][person:we g(harold:cindy) 8-8][person:our g(harold:cindy) 14-14]
derek| Oh really Well I can understand that what you guys have is cool| [person:derek m 3-3][person:harold m 8-8]
harold| Yeah exactly gotta go talk to you later| [person:derek m 6-6]
derek| Alright see ya|

conv:people_1011_1528_33:aug_0:chat_0:chataug_0| britney emily| [person:britney f 0-0][person:emily f 1-1]
emily| Hi Britney It s Emily from work I was wondering if you would want to help me put together a little retirement celebration for Maya and Ron| [person:britney f 1-1][person:emily f 4-4][person:emily f 7-7][person:britney f 11-11][person:emily f 16-16][person:maya f 24-24][person:ron m 26-26]
britney| Hi Emily I would love to do that Thanks for asking| [person:emily f 1-1][person:britney f 2-2]
emily| Cool I think they are both done at the end of the month so I was thinking we could do something during the lunch hour that Friday| [person:emily f 1-1][person:they g(maya:ron) 3-3][person:emily f 14-14][person:we g(emily:britney) 17-17]
britney| That makes sense Everyone is in the office at that time Are you thinking of a meal or what| [person:everyone g(emily:britney:maya:ron) 3-3][location:office s 7-7][person:emily f 12-12]
emily| Yea Maybe a potluck style meal and then some sort of fun little trivia game or funny speech about each of them| [person:them g(maya:ron) 21-21]
britney| I think potluck works well because it keeps the costs down I can make a sign up sheet and get that sent out| [person:britney f 0-0][person:britney f 11-11]
emily| Perfect I can work on getting an activity planned I also thought I would ask Jean the HR director to see if she could give us a little money to help cover costs| [person:emily f 1-1][person:emily f 9-9][person:emily f 12-12][person:jean f 15-15][person:jean f 22-22][person:us g(emily:britney) 25-25]
britney| She loves Ron and Maya I guarantee she would agree to that| [person:jean f 0-0][person:ron m 2-2][person:maya f 4-4][person:britney f 5-5][person:jean f 7-7]
emily| Awesome I ll reserve the conference room on the third floor tomorrow| [person:emily f 1-1]
britney| Good idea Do you want to eat lunch together tomorrow and plan this a but further Maybe talk about some decorations and a card| [person:emily f 3-3]
emily| That works|

conv:people_1011_1528_34:aug_0:chat_0:chataug_0| helen phillip| [person:helen f 0-0][person:phillip m 1-1]
phillip| hello helen it s our birthday coming up soon| [person:helen f 1-1][person:our g(phillip:helen) 4-4]
helen| yes it is our aunt tiffany wrote me today| [person:our g(phillip:helen) 3-3][person:tiffany f 4-4][person:tiffany f 5-5][person:helen f 7-7]
phillip| what did she say| [person:tiffany f 2-2]
helen| well she mentioned it was our birthday coming up and wants to buy us something| [person:tiffany f 1-1][person:our g(phillip:helen) 5-5][person:us g(phillip:helen) 13-13]
phillip| what do you think she will buy us| [person:helen f 2-2][person:tiffany f 4-4][person:us g(phillip:helen) 7-7]
helen| well since she lives in france i was hoping something unique| [person:tiffany f 2-2][location:france s 5-5][person:helen f 6-6]
phillip| yes in france there is a lot of unique stores| [location:france s 2-2][location:france s 3-3]
helen| I ll ask her to get us something from a unique shop| [person:helen f 0-0][person:tiffany f 3-3][person:us g(phillip:helen) 6-6]
phillip| okay that sounds good let me know what she says| [person:phillip m 5-5][person:tiffany f 8-8]
helen| i will i ll text you back as soon as i hear| [person:helen f 0-0][person:helen f 2-2][person:phillip m 5-5][person:helen f 10-10]

conv:people_1011_1528_35:aug_0:chat_0:chataug_0| madison mindy| [person:madison f 0-0][person:mindy f 1-1]
mindy| I have to go for groceries| [person:mindy f 0-0]
madison| What should we get| [person:we g(mindy:madison) 2-2]
madison| The twins have such different preferences so I have to think about it| [person:twins g() 1-1][person:madison f 7-7]
mindy| How about lettuce and salad I ll pick up| [person:mindy f 5-5]
madison| Great I ll get the entree of chicken| [person:madison f 1-1]
mindy| Okay I ll get the drink| [person:mindy f 1-1]
madison| That sounds good I ll get a dessert| [person:madison f 3-3]
mindy| Can you get chocolate cake| [person:madison f 1-1]
madison| What about vanilla They like that| [person:they g() 3-3]
mindy| Sure that sounds good James and Donna will be here soon| [person:james m 4-4][person:donna f 6-6][location:here s 9-9]

conv:people_1011_1528_37:aug_0:chat_0:chataug_0| joan meredith| [person:joan f 0-0][person:meredith f 1-1]
meredith| So Joan you going to goout with that dude from speed dating| [person:joan f 1-1][person:joan f 2-2]
joan| Troy Yeah Totally What about you and your dude| [person:troy m 0-0][person:meredith f 5-5][person:meredith f 7-7]
meredith| Yeah Luis asked me out I m a little nervous about him though| [person:luis m 1-1][person:meredith f 3-3][person:meredith f 5-5][person:luis m 11-11]
joan| Then we should doubledate It ll be fun They may like it too| [person:we g(meredith:joan) 1-1][person:they g(troy:luis) 8-8]
meredith| That s a great idea If Luis is a creep I have you guys to hang with| [person:luis m 6-6][person:meredith f 10-10][person:joan f 12-12]
joan| Yeah we will have your back Where should we go| [person:we g(meredith:joan) 1-1][person:meredith f 4-4][person:we g(meredith:joan) 8-8]
meredith| Someplace crowded I don t want him to get the wrong idea| [person:meredith f 2-2][person:luis m 6-6]
joan| Well being guys they probably like pubs So we should hit one of those| [person:they g(troy:luis) 3-3][person:we g(meredith:joan) 8-8]
meredith| You always have good date ideas I can never think of anythign to do| [person:joan f 0-0][person:meredith f 6-6]
joan| I got a lot of experience you know| [person:joan f 0-0][person:meredith f 6-6]
meredith| I m sure Troy will be glad to hear that| [person:meredith f 0-0][person:troy m 3-3]

conv:people_1011_1528_38:aug_0:chat_0:chataug_0| bob christina| [person:bob m 0-0][person:christina f 1-1]
christina| Oh Bob I just noticed that I m not going to have enough vegetables to feed all of us| [person:bob m 1-1][person:christina f 2-2][person:christina f 6-6][person:us g(christina:bob) 18-18]
bob| Well we can t have that What do you need me to do honey| [person:we g(christina:bob) 1-1][person:christina f 8-8][person:bob m 10-10]
christina| Could you run to the store and grab some more please| [person:bob m 1-1]
bob| Of course Jeremy and Carrie love grilled asparagus What do you think about adding it| [person:jeremy m 2-2][person:carrie f 4-4][person:christina f 10-10]
