conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
ira| i am wondering if i should take the employee discount| [person:ira f 0-0][person:ira f 4-4]
sima| Nouman always asks for a favour in return| [person:nouman m 0-0]
sima| i think that would not be a good idea| [person:sima f 0-0]
ira| oh|
ira| thats true|
sima| remember niz from the other store| [person:niz f 1-1]
sima| you can get similar discount| [person:ira f 0-0]
ira| okay|
ira| nouman just texted if i still need the dress| [person:nouman m 0-0][person:ira f 4-4]
sima| okay|
sima| what was your response| [person:ira f 2-2]
ira| i am more confused for whom i should ask for a favor| [person:ira f 0-0][person:ira f 6-6]

conv:people_chats_0520_34:aug_0:chat_0:chataug_0| nancy trish| [person:nancy f 0-0][person:trish f 1-1]
trish| Hey Looking forward to the party|
nancy| Me too There s just a lot to get done beforehand| [person:nancy f 0-0]
trish| Can I help Maybe I could set the table| [person:trish f 1-1][person:trish f 4-4]
nancy| No I ve got that taken care of What I could use some help with is the electric fireplace| [person:nancy f 1-1][person:nancy f 9-9]
trish| Oh yeah I remember Mason loves that thing| [person:trish f 2-2][person:mason m 4-4]
nancy| Yeah The trouble is that I don t know how to set it up| [person:nancy f 5-5]
trish| You know David s pretty handy with that sort of thing| [person:nancy f 0-0][person:david m 2-2]
nancy| Oh but he s meant to be a guest I d hate to ask him to work while he s here| [person:david m 2-2][person:nancy f 9-9][person:david m 14-14][person:david m 18-18]
trish| No really I think he d like to do it| [person:trish f 2-2][person:david m 4-4]
nancy| You sure Do you think he could maybe come by tomorrow while you and I are prepping other things| [person:trish f 0-0][person:trish f 3-3][person:david m 5-5][person:trish f 12-12][person:nancy f 14-14]
trish| I m sure he d love to I ll text him about it now| [person:trish f 0-0][person:david m 3-3][person:trish f 7-7][person:david m 10-10]
nancy| That s great What a relief|

conv:people_chats_0520_35:aug_0:chat_0:chataug_0| andrea melinda| [person:andrea f 0-0][person:melinda f 1-1]
melinda| Andrea| [person:andrea f 0-0]
andrea| Yes|
melinda| I locked my keys in my car at this gas station| [person:melinda f 0-0][person:melinda f 2-2][person:melinda f 5-5][location:station s 10-10]
melinda| What do I do| [person:melinda f 2-2]
andrea| Do you have a spare set at your house| [person:melinda f 1-1][person:melinda f 7-7][location:house s 8-8]
melinda| Yes Is there anyway you can get them from my house and bring them to me| [person:andrea f 4-4][person:melinda f 9-9][location:house s 10-10][person:melinda f 15-15]
melinda| Lol I just saw Simon and Erica| [person:melinda f 1-1][person:simon m 4-4][person:erica f 6-6]
andrea| Yes I ll be right there| [person:andrea f 1-1][location:station s 5-5]
melinda| It just came to me I think we should host a game night at my house soon| [person:melinda f 4-4][person:melinda f 5-5][person:we g(melinda:andrea) 7-7][person:melinda f 14-14][location:house s 15-15]
andrea| Yes that would be so much fun I would love to help| [person:andrea f 7-7]
melinda| We should invite Erica and Simon right They always bring the best food| [person:we g(melinda:andrea) 0-0][person:erica f 3-3][person:simon m 5-5][person:they g(simon:erica) 7-7]
andrea| Yes Definitely How about next Saturday|
melinda| Sounds good to me| [person:melinda f 3-3]
andrea| Do you have any new board games| [person:melinda f 1-1]
melinda| Yes I have a bunch I ll talk to you when you get here| [person:melinda f 1-1][person:melinda f 5-5][person:andrea f 9-9][person:andrea f 11-11][location:station s 13-13]

conv:people_chats_0520_36:aug_0:chat_0:chataug_0| jonah sean| [person:jonah m 0-0][person:sean m 1-1]
sean| Hey Jonah did you pick up the snacks for the meeting| [person:jonah m 1-1][person:jonah m 3-3]
jonah| I m on my way to get them after I finish this errand| [person:jonah m 0-0][person:jonah m 3-3][person:jonah m 9-9]
sean| Thank you for picking them up I appreciate it| [person:jonah m 1-1][person:sean m 6-6]
sean| Do you know who else is attending| [person:jonah m 1-1]
jonah| I think it will be Hillary Jonahie and Lucas| [person:jonah m 0-0][person:hillary f 5-5][person:lucas m 8-8]
sean| Oh great looking forward to the group working together|
jonah| Me too You can count on Hillary and Jonahie being there| [person:jonah m 0-0][person:sean m 2-2][person:hillary f 6-6]
jonah| But Lucas can be kind of a flake sometimes| [person:lucas m 1-1]
sean| That sounds typical of Lucas| [person:lucas m 4-4]
sean| But I m glad the girls will be there it will still be a solid group| [person:sean m 1-1][person:girls g(hillary) 5-5]
jonah| That s true we ll still get a lot done| [person:we g(sean:jonah:hillary:lucas) 3-3]
jonah| And not to be too hard on Lucas but he s been having car problems as well| [person:lucas m 7-7][person:lucas m 9-9]

conv:people_chats_0520_37:aug_0:chat_0:chataug_0| lisa micheal| [person:lisa f 0-0][person:micheal m 1-1]
micheal| About the renovation project on our old cottage| [person:we g(micheal:lisa) 5-5]
lisa| What about it|
micheal| We should get some new ceramic tiles| [person:we g(micheal:lisa) 0-0]
lisa| Really|
micheal| Yeah The old hardwood flooring is very worn out|
lisa| That sounds like a good idea I think we should update the countertop backsplash to match the new floor tiles| [person:lisa f 6-6][person:we g(micheal:lisa) 8-8]
micheal| That would work|
lisa| Our new kitchen will look so nice This is so exciting| [person:we g(micheal:lisa) 0-0]
micheal| Yes it is Maybe we should invite Bobby and Christina up to visit once we finish renovating| [person:we g(micheal:lisa) 4-4][person:bobby m 7-7][person:christina f 9-9][person:we g(micheal:lisa) 14-14]
lisa| Yes we should do that They will love it| [person:we g(micheal:lisa) 1-1][person:they g(bobby:christina) 5-5]
micheal| I will go to the hardware store on Saturday to look for the kitchen tiles| [person:micheal u 0-0]
lisa| I have to work in the morning but we can go in the afternoon| [person:lisa f 0-0][person:we g(micheal:lisa) 8-8]
micheal| That would be great|

conv:people_chats_0520_38:aug_0:chat_0:chataug_0| king rahim| [person:king m 0-0][person:rahim m 1-1]
king| So have you thought about what movie you want to see tonight| [person:rahim m 2-2][person:rahim m 7-7]
rahim| Yeah but there s so many good ones in theaters right now I don t know which one I want to see Do you have any idea what you want to see| [person:rahim m 12-12][person:rahim m 18-18][person:king m 23-23][person:king m 28-28]
king| No I feel the same way there are so many good movies and a of them have such great reviews I want to see them all| [person:king m 1-1][person:king m 20-20]
rahim| Why don t we consult Vincent and Johnny They are both really big movie buffs and actors so they can probably give us some good insight and help us decide which one to see| [person:we g(king:rahim) 3-3][person:vincent m 5-5][person:johnny m 7-7][person:they g(vincent:johnny) 8-8][person:they g(vincent:johnny) 18-18][person:we g(king:rahim) 22-22]
king| That s a great idea you call Johnny and I will call Vincent then we can decide between their recommendations| [person:rahim m 5-5][person:johnny m 7-7][person:king m 9-9][person:vincent m 12-12][person:we g(king:rahim) 14-14][person:they g(vincent:johnny) 18-18]
rahim| So after texting Johnny he said there is a movie out right now based on a comic book that is really good It apparently has something for all audience types| [person:johnny m 3-3][person:johnny m 4-4]
king| Vincent recommended to me a pirate movie that is out right now He said that s something that we both would really like| [person:vincent m 0-0][person:king m 3-3][person:vincent m 12-12][person:we g(king:rahim) 18-18]
rahim| Well at least we have it narrowed down to two movies So which one should we see Do you want to flip a coin| [person:we g(king:rahim) 3-3][person:we g(king:rahim) 15-15][person:king m 18-18]
king| Who says we can t watch both We could watch one of them first and then get tickets for the other one right after the first movie| [person:we g(king:rahim) 2-2][person:we g(king:rahim) 7-7]
rahim| I have to be up early for work tomorrow so I don t think it would be wise for me to stay out that late Let s watch the comic book movie tonight and then we can see the pirate movie tomorrow after I get out of work| [person:rahim m 0-0][person:rahim m 10-10][person:rahim m 19-19][person:we g(king:rahim) 35-35][person:rahim m 43-43]
king| That sounds like a good plan So do you just want to meet at the theater| [person:rahim m 8-8]
rahim| Yes the next showing is at eight o clock so I will order the tickets online and give you yours when you get there| [person:rahim m 10-10][person:king m 18-18][person:king m 19-19][person:king m 21-21]
king| Okay great see you in about an hour I ll get the snack since you re getting the movie tickets| [person:rahim m 3-3][person:king m 8-8][person:rahim m 14-14]

conv:people_chats_0520_40:aug_0:chat_0:chataug_0| jamie joe| [person:jamie m 0-0][person:joe m 1-1]
jamie| Joe what should we do during the long weekend Any ideas| [person:joe m 0-0][person:we g(jamie:joe) 3-3]
joe| How about we arrange a family gettogether| [person:we g(jamie:joe) 2-2][person:we g(jamie:joe) 5-5]
jamie| I was also thinking about it| [person:jamie m 0-0]
joe| I was wondering whether Dom and Amelia could join us| [person:joe m 0-0][person:dom m 4-4][person:amelia f 6-6][person:we g(jamie:joe) 9-9]
jamie| I could invite Amelia but she told me that she has other plans| [person:jamie m 0-0][person:amelia f 3-3][person:amelia f 5-5][person:jamie m 7-7][person:amelia f 9-9]
joe| Yea I know that Dom also travining for business that weekend| [person:joe m 1-1][person:dom m 4-4]
jamie| It will not be a fun party unless we get them| [person:we g(jamie:joe) 8-8][person:them g(dom:amelia) 10-10]
joe| I completely agree with you| [person:joe m 0-0][person:jamie m 4-4]
jamie| What should we do then I hate to do nothing in a long weekend| [person:we g(jamie:joe) 2-2][person:jamie m 5-5]
joe| Can we think of some alternative activities which could be arranged quickly| [person:we g(jamie:joe) 1-1]
jamie| Yes let us keep thinkin of the alternative options| [person:we g(jamie:joe) 2-2]
joe| Good idea let s do that|

conv:people_chats_0520_44:aug_0:chat_0:chataug_0| oliver rick| [person:oliver m 0-0][person:rick m 1-1]
rick| Hi Oliver did you find an apartment for us yet| [person:oliver m 1-1][person:oliver m 3-3][location:apartment s 6-6][person:us g(rick:oliver) 8-8]
oliver| Yes that place we looked at together is still the best one| [location:place s 2-2][person:us g(rick:oliver) 3-3]
oliver| The only problem is that it s way too expensive for just the two of us| [location:apartment s 5-5][person:us g(rick:oliver) 15-15]
rick| I ve been thinking about that Since it has three extra bedrooms I think we should try to find roomates| [person:rick m 0-0][location:apartment s 7-7][person:rick m 12-12][person:us g(rick:oliver) 14-14]
rick| The apartment is so close to the college we shouldn t give it up and I think finding roommates will be easy| [location:apartment s 1-1][person:us g(rick:oliver) 8-8][location:apartment s 12-12][person:rick m 15-15]
oliver| I agree I will upload some advertisements and then see who responds| [person:oliver m 0-0][person:oliver m 2-2]
oliver| Rick We had a lot of people respond did you get my email| [person:rick m 0-0][person:us g(rick:oliver) 1-1][person:rick m 9-9][person:oliver m 11-11]
rick| Yes Oliver I looked over the candidates and I agree with you that King and Kimberly seem like the best fit| [person:oliver m 1-1][person:rick m 2-2][person:rick m 8-8][person:oliver m 11-11][person:king m 13-13][person:kimberly f 15-15]
rick| They are willing to pay a fair share of the rent and they don t mind if we end up getting a dog later on| [person:they g(king:kimberly) 0-0][person:they g(king:kimberly) 12-12][person:us g(rick:oliver) 17-17]
oliver| They seem very nice and they also have good references too| [person:they g(king:kimberly) 0-0][person:they g(king:kimberly) 5-5]
oliver| I like that they get good grades and want to keep the apartment quiet for studying That s important to me| [person:oliver m 0-0][person:they g(king:kimberly) 3-3][location:apartment s 12-12][person:oliver m 20-20]
rick| Ok let s call them and accept their application today| [person:they g(king:kimberly) 4-4][person:they g(king:kimberly) 7-7]
oliver| I will call them now| [person:oliver m 0-0][person:they g(king:kimberly) 3-3]

conv:people_chats_0520_45:aug_0:chat_0:chataug_0| bryan kathryn| [person:bryan m 0-0][person:kathryn f 1-1]
kathryn| My bus is coming at 3pm can you still pick me up| [person:kathryn f 0-0][person:bryan m 7-7][person:kathryn f 10-10]
bryan| I am so sorry I forgot Can you find someone else to pick you up| [person:bryan m 0-0][person:bryan m 4-4][person:kathryn f 7-7][person:bryan m 13-13]
kathryn| I can try| [person:kathryn f 0-0]
bryan| Again I am so sorry will you let me know when you find a ride| [person:bryan m 1-1][person:kathryn f 6-6][person:bryan m 8-8][person:kathryn f 11-11]
kathryn| I can ask Maryam but I am pretty sure she is busy| [person:kathryn f 0-0][person:maryam f 3-3][person:kathryn f 5-5][person:maryam f 9-9]
kathryn| I will try Shannon also| [person:kathryn f 0-0][person:shannon m 3-3]
kathryn| I just heard from Shannon he can pick me up| [person:kathryn f 0-0][person:shannon m 4-4][person:shannon m 5-5][person:kathryn f 8-8]
