conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
phillip| Yes actually Our colleagues Virginia and Bobby have the skills to do that kind of thing| [person:our g(caitlyn:phillip) 2-2][person:colleagues g() 3-3][location:virginia s 4-4][person:bobby m 6-6]
caitlyn| Really I had no idea they were good with tech setup| [person:caitlyn f 1-1][person:colleagues g(virginia:bobby) 5-5]
phillip| Remember the last virtual meeting we had Virginia and Bobby were the ones responsible for setting that up successfully| [person:our g(caitlyn:phillip) 5-5][location:virginia s 7-7][person:bobby m 9-9]
caitlyn| That s pretty convenient actually I wonder how busy they are| [person:caitlyn f 5-5][person:colleagues g(virginia:bobby) 9-9]
phillip| They re really nice people so I bet you could just send them a message You should definitely ask them for help| [person:colleagues g(virginia:bobby) 0-0][person:phillip m 6-6][person:caitlyn f 8-8][person:colleagues g(virginia:bobby) 12-12][person:caitlyn f 15-15][person:colleagues g(virginia:bobby) 19-19]
caitlyn| Any idea if they re in the office today Maybe I could just give them a call at their desk instead of sending an email I bet that would be faster| [person:colleagues g(virginia:bobby) 3-3][location:office s 7-7][person:caitlyn f 10-10][person:colleagues g(virginia:bobby) 14-14][person:colleagues g(virginia:bobby) 18-18][person:caitlyn f 25-25]
phillip| Yeah check the office schedule Looks like they re in the office today| [location:office s 3-3][person:colleagues g(virginia:bobby) 7-7][location:office s 11-11]
caitlyn| Great Thanks for all your help Phillip| [person:phillip m 4-4][person:phillip m 6-6]
phillip| Sure thing No problem Caitlyn Good luck setting that up| [person:caitlyn f 4-4]

conv:people_chats_0629_339:aug_0:chat_0:chataug_0| rylie serge| [person:rylie f 0-0][person:serge m 1-1]
serge| Hello Rylie have you heard about what happened to Delilah| [person:rylie f 1-1][person:rylie f 3-3][person:delilah f 9-9]
rylie| No I have not| [person:rylie f 1-1]
serge| Really|
rylie| Yeah tell me what happened to her| [person:rylie f 2-2][person:delilah f 6-6]
serge| she held onto a firecracker a second too long| [person:delilah f 0-0]
rylie| Please Stop I do not want to hear the detail| [person:rylie f 2-2]
serge| Well myself and his cousin fred are putting together a get well soon card and we would like your signature to be on it| [person:serge m 1-1][person:his m 3-3][person:fred m 4-4][person:fred m 5-5][person:we g(serge:fred) 15-15][person:rylie f 18-18]
rylie| If not for my artistic skills why is Fred not making the card himself| [person:rylie f 3-3][person:fred m 8-8][person:fred m 13-13]
serge| Well he is just a comic artist except you want our friend to have a superhero themed card Its better for him not to do it| [person:fred m 1-1][person:rylie f 8-8][person:our g(serge:rylie:fred) 10-10][person:delilah f 11-11][person:fred m 21-21]
rylie| Okay fine so when do we meet up to get this over with| [person:our g(serge:rylie:fred) 5-5]
serge| I am glad you agreed| [person:serge m 0-0][person:rylie f 3-3]

conv:people_chats_0629_342:aug_0:chat_0:chataug_0| gigi vina| [person:gigi f 0-0][person:vina f 1-1]
gigi| Hello Vina| [person:vina f 1-1]
vina| Hello Gigi| [person:gigi f 1-1]
gigi| What is your tomorrow plan| [person:vina f 2-2]
vina| Nothing much Do you have any party tomorrow| [person:gigi f 3-3]
gigi| No I don t have any parties| [person:gigi f 1-1]
vina| Fine|
gigi| Are you going to take your boys Parker and Logan to the circus tomorrow| [person:vina f 1-1][person:vina f 5-5][person:boys g() 6-6][person:parker m 7-7][person:logan m 9-9]
vina| No They don t go anymore They are cruel to the animals and it is not a good life for them| [person:boys g(parker:logan) 1-1][person:boys g(parker:logan) 6-6][person:boys g(parker:logan) 20-20]
vina| Money doesn t matter but I cannot let them anymore I am tried explain all these to my boys but they didn t really understand| [person:vina f 5-5][person:boys g(parker:logan) 8-8][person:vina f 10-10][person:vina f 17-17][person:boys g(parker:logan) 18-18][person:boys g(parker:logan) 20-20]
gigi| Yes I heard that too| [person:gigi f 1-1]
vina| Do you know if anybody else is going there with their kids| [person:gigi f 1-1][person:anybody g() 4-4][person:anybody g() 10-10][person:kids g() 11-11]
gigi| Yes so many take their kids anyways| [person:anybody g() 4-4][person:anybody g() 5-5]
vina| That is not good at all|
gigi| Yeah you are right| [person:vina f 1-1]

conv:people_chats_0629_344:aug_0:chat_0:chataug_0| finnbar jane| [person:finnbar m 0-0][person:jane f 1-1]
finnbar| Hey Jane| [person:jane f 1-1]
finnbar| I came up with a great idea| [person:finnbar u 0-0]
jane| What did you come up with| [person:finnbar u 2-2]
finnbar| After we ban Jack and Mitalda| [person:we g(finnbar:jane) 1-1][person:jack m 3-3]
finnbar| Why dont we sneak into their servers and grief them as well| [person:we g(finnbar:jane) 2-2][person:their g(jack) 5-5][person:their g(jack) 9-9]
jane| We would have to create alternate accounts for that| [person:we g(finnbar:jane) 0-0]
jane| But its worth a try|
finnbar| We gotta be careful not to give ourselves away though| [person:we g(finnbar:jane) 0-0]
finnbar| Especially around Jack| [person:jack m 2-2]
finnbar| He has a good sense about calling people out about this kind of stuff| [person:jack m 0-0]
jane| Dont worry about it to much we will be in and out before he knows it| [person:we g(finnbar:jane) 6-6][person:jack m 13-13]
finnbar| Man i cannot wait to see the reaction of both of them when we get them back| [person:finnbar u 1-1][person:their g(jack) 11-11][person:we g(finnbar:jane) 13-13][person:their g(jack) 15-15]
finnbar| They will instantly know who did it without us ever having to say anything| [person:their g(jack) 0-0][person:we g(finnbar:jane) 8-8]
jane| Alright we can set this up after I finish taking a shower| [person:we g(finnbar:jane) 1-1][person:jane f 7-7]
jane| This is going to be almost too perfect|
finnbar| Alright text me back when you are ready to put this plan into action| [person:finnbar u 2-2][person:jane f 5-5]

conv:people_chats_0629_345:aug_0:chat_0:chataug_0| lauren natalie| [person:lauren f 0-0][person:natalie f 1-1]
lauren| hey|
natalie| hi|
lauren| hows it going|
natalie| good and you| [person:lauren f 2-2]
lauren| its all good|
lauren| I hope you dont mind my being late to pick up danny| [person:lauren f 0-0][person:natalie f 2-2][person:lauren f 5-5][person:danny m 11-11]
natalie| not a problem|
natalie| i ll probably be 20 mins late| [person:natalie f 0-0]
lauren| take your time| [person:natalie f 1-1]
natalie| no hurries|
lauren| thank you| [person:natalie f 1-1]
natalie| my pleasure| [person:natalie f 0-0]
lauren| you can count on me| [person:natalie f 0-0][person:lauren f 4-4]
lauren| yes I can| [person:lauren f 1-1]
lauren| how is danny| [person:danny m 2-2]
natalie| hes doing good| [person:danny m 1-1]

conv:people_chats_0629_346:aug_0:chat_0:chataug_0| salem suzy| [person:salem m 0-0][person:suzy f 1-1]
suzy| I like the new job| [person:suzy f 0-0]
salem| yeah its cool we work at the same place| [person:we g(suzy:salem) 3-3][location:place s 8-8]
suzy| I like the job so far| [person:suzy f 0-0]
salem| did you meet peter and kathleen| [person:suzy f 1-1][person:peter m 3-3][person:kathleen f 5-5]
suzy| yes I liked them| [person:suzy f 1-1][person:them g(peter:kathleen) 3-3]
salem| that is good to hear|
suzy| I will be working with them| [person:suzy f 0-0][person:them g(peter:kathleen) 5-5]
salem| That is great|
suzy| I look forward to it| [person:suzy f 0-0]
salem| have you met the boss yet| [person:suzy f 1-1][person:boss u 4-4]

conv:people_chats_0629_347:aug_0:chat_0:chataug_0| desi franky| [person:desi f 0-0][person:franky m 1-1]
desi| I had a bad dream| [person:desi f 0-0]
franky| what was the dream you had| [person:desi f 4-4]
desi| flora and easton were in it| [person:flora f 0-0][person:easton m 2-2]
franky| what happened in it|
desi| I had to feed laundry toi the couch| [person:desi f 0-0]
franky| so a nonsense dream then|
desi| yes pretty much|
franky| I wonder where these come from| [person:franky m 0-0]
desi| I know they are so weird| [person:desi f 0-0]
franky| you need to stop having them| [person:desi f 0-0]

conv:people_chats_0629_349:aug_0:chat_0:chataug_0| diana mike| [person:diana f 0-0][person:mike m 1-1]
diana| hello|
mike| hiu|
diana| Do you want to check on the neighbors and see if they need anything from the store| [person:mike m 1-1][person:neighbors g() 7-7][person:neighbors g() 11-11]
mike| You talking about bruce and megan since they dont drive| [person:diana f 0-0][person:bruce m 3-3][person:megan f 5-5][person:neighbors g(bruce:megan) 7-7]
diana| Yes I am at the store now and don t want to come back here if they need anything| [person:diana f 1-1][person:neighbors g(bruce:megan) 16-16]
mike| Ok i am going there right away I will let you know asap| [person:mike m 1-1][person:mike m 7-7][person:diana f 10-10]
diana| Thanks I am almost done here so be quick| [person:diana f 1-1]
mike| Yes they need some items but they told me to hold on while they make a list| [person:neighbors g(bruce:megan) 1-1][person:neighbors g(bruce:megan) 6-6][person:mike m 8-8][person:neighbors g(bruce:megan) 13-13]
diana| Ok I will be waiting| [person:diana f 1-1]
mike| Bruce said he wants chicken eggs pickles and milk for now| [person:bruce m 0-0][person:bruce m 2-2]
diana| OK|
mike| Megan wants apples bananas kiwi cheese beef and pasta| [person:megan f 0-0]
diana| Ok i will pick it up now and be home soon| [person:diana f 1-1][location:home s 9-9]
mike| thanks|

conv:people_chats_0629_351:aug_0:chat_0:chataug_0| jade miguel| [person:jade f 0-0][person:miguel m 1-1]
miguel| Hi Mom how are you doing| [person:jade f 1-1][person:jade f 4-4]
jade| Oh I am doing okay Pretty bored now| [person:jade f 1-1]
miguel| I m sorry to hear that What about your neighbors you hang out with| [person:miguel m 0-0][person:jade f 8-8][person:neighbors g() 9-9][person:jade f 10-10]
jade| Oscar and Betty moved away Now I have no one to hang out with| [person:oscar m 0-0][person:betty f 2-2][person:jade f 6-6]
miguel| Mom you should come up and visit me| [person:jade f 0-0][person:jade f 1-1][person:miguel m 7-7]
jade| Yes maybe I m really bummed Oscar and Betty were nice people and were very good to me They always invited me to dinner| [person:jade f 2-2][person:oscar m 6-6][person:betty f 8-8][person:jade f 17-17][person:neighbors g(oscar:betty) 18-18][person:jade f 21-21]
jade| Well come up and spend the weekend with me| [person:jade f 8-8]
miguel| I can t come there mom but I would love to have you come spend the weekend here with me I could use some help with my garden| [person:miguel m 0-0][person:jade f 5-5][person:miguel m 7-7][person:jade f 12-12][person:miguel m 19-19][person:miguel m 20-20][person:miguel m 26-26]
jade| I do love to garden| [person:jade f 0-0]
miguel| Yes I remember you are an old pro| [person:miguel m 1-1][person:jade f 3-3]
jade| Okay deal I will come Look forward to it| [person:jade f 2-2]
miguel| Great I will see you soon| [person:miguel m 1-1][person:jade f 4-4]

conv:people_chats_0629_352:aug_0:chat_0:chataug_0| cameron hans| [person:cameron f 0-0][person:hans m 1-1]
cameron| I cannot wait for our first child| [person:cameron f 0-0][person:our g(cameron:hans) 4-4]
hans| I know me too| [person:hans m 0-0][person:hans m 2-2]
hans| There is so much preparation to do|
cameron| There really is|
cameron| I was looking today at paint colors| [person:cameron f 0-0]
cameron| I found the perfect one for the baby s room| [person:cameron f 0-0]
cameron| I will text it to you| [person:cameron f 0-0][person:hans m 5-5]
cameron| That is the color I want the nursery to be| [person:cameron f 4-4]
cameron| Here is the photo|
hans| I like it| [person:hans m 0-0]
hans| Would you like to paint the room this weekend| [person:cameron f 1-1]
cameron| I would| [person:cameron f 0-0]
cameron| Should I ask my mom and dad Lauren and Jesus to come| [person:cameron f 1-1][person:cameron f 3-3][person:mom f 4-4][person:dad m 6-6][person:lauren f 7-7][person:jesus m 9-9]
cameron| They would be so excited to help| [person:they g(mom:dad:lauren:jesus) 0-0]
hans| Yes they would enjoy participating| [person:they g(mom:dad:lauren:jesus) 1-1]

conv:people_chats_0629_353:aug_0:chat_0:chataug_0| adina hosner| [person:adina f 0-0][person:hosner m 1-1]
hosner| Hi honey are we taking Kelly and Kyle to the zoo this weekend like we discussed| [person:we g(hosner:adina) 3-3][person:kelly f 5-5][person:kyle m 7-7][location:zoo s 10-10][person:we g(hosner:adina) 14-14]
hosner| They ve been asking and asking They loved seeing the animals a few months ago| [person:they g(kelly:kyle) 0-0][person:they g(kelly:kyle) 6-6]
adina| We can try to plan for Saturday I have some offices to clean Sunday| [person:we g(hosner:adina) 0-0][person:adina f 7-7][location:offices g() 10-10]
adina| When I get home I will tell the kids we can go Saturday| [person:adina f 1-1][location:home s 3-3][person:adina f 4-4][person:they g(kelly:kyle) 8-8][person:we g(hosner:adina:kelly:kyle) 9-9]
hosner| Awesome They re gonna be so happy I can t wait to see their faces| [person:they g(kelly:kyle) 1-1][person:hosner m 7-7][person:they g(kelly:kyle) 13-13]
adina| Neither can I But I think you re just as excited as they are| [person:adina f 2-2][person:adina f 4-4][person:hosner m 6-6][person:they g(kelly:kyle) 12-12]
hosner| Of course I am I love the animals and I always look forward to the weekend It s winwin| [person:hosner m 2-2][person:hosner m 4-4][person:hosner m 9-9]
