conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
laura| Thanks for all your help and suggestions I m going to visit Arnold s shelter later I ll let you know which dog I choose| [person:milos m 3-3][person:laura f 7-7][person:arnold m 12-12][person:laura f 16-16][person:milos m 19-19][person:laura f 23-23]

conv:people_long_0313_332:aug_0:chat_0:chataug_0| janna lucian| [person:janna f 0-0][person:lucian m 1-1]
lucian| Hey Janna how is it going I have some news for you| [person:janna f 1-1][person:lucian m 6-6][person:janna f 11-11]
janna| What s going on Is it about the meeting|
lucian| Yes how did you know Did you know that it had been moved| [person:janna f 3-3][person:janna f 6-6]
janna| Yes I just found out today that it had been tomorrow I talked to James and Fiora and they were unable to meet today| [person:janna f 1-1][person:janna f 11-11][person:james m 14-14][person:fiora f 16-16][person:they g(james:fiora) 18-18]
lucian| Yeah they got ahold of me as well I wasn t too happy about it So do you know where they want to meet| [person:they g(james:fiora) 1-1][person:lucian m 5-5][person:lucian m 8-8][person:janna f 17-17][person:they g(james:fiora) 20-20]
janna| I was thinking we go to Cuppa Coffee and keep it nice and simple I don t know what Fiora and James like to eat but they seem to both enjoy coffee| [person:janna f 0-0][person:janna f 14-14][person:fiora f 19-19][person:james m 21-21][person:they g(james:fiora) 26-26]
lucian| Yeah I can see that but they are our investors We really need to please them with something other than coffee| [person:lucian m 1-1][person:they g(james:fiora) 6-6][person:we g(lucian:janna) 8-8][person:we g(lucian:janna) 10-10][person:they g(james:fiora) 15-15]
janna| Well do you have something in mind they would like| [person:lucian m 2-2][person:they g(james:fiora) 7-7]
lucian| You know of the fancy italian place on Main street I was thinking we could go there or the new bistro that just opened up Expensive but impressive| [person:janna f 0-0][person:lucian m 10-10][person:we g(lucian:janna) 13-13]
janna| Come to think of it since we re trying to make a good first impression you are probably right| [person:we g(lucian:janna) 6-6][person:lucian m 15-15]
lucian| Probably You know I m right But I m torn as to where to go| [person:janna f 1-1][person:lucian m 3-3][person:lucian m 7-7]
janna| I m thinking about it I really think Italian would be a good choice the fancier of the two places| [person:janna f 0-0][person:janna f 5-5]
lucian| So the Italian restaurant is a win for you then| [person:janna f 8-8]
janna| I believe so let s go for that one| [person:janna f 0-0]
lucian| Sounds good let me call them both back and let them know where to meet us tomorrow Thanks for the help Janna| [person:lucian m 3-3][person:they g(james:fiora) 5-5][person:they g(james:fiora) 10-10][person:we g(lucian:janna) 15-15][person:janna f 21-21]

conv:people_long_0313_333:aug_0:chat_0:chataug_0| issa linda| [person:issa f 0-0][person:linda f 1-1]
linda| Hi|
issa| Hi what are you up to today| [person:linda f 3-3]
linda| Why don t we go out for dinner| [person:issa f 3-3]
issa| great Idea I know of a place that serves great Italian food X| [person:issa f 2-2]
linda| Today I am craving spicy Mexican food| [person:linda f 1-1]
issa| My friend Jessica and Tom were there the other day and they told me they serve both Italian and Mexican foods| [person:issa f 0-0][person:friend f 1-1][person:jessica f 2-2][person:tom m 4-4][person:they g(jessica:tom) 11-11][person:issa f 13-13][person:they g(jessica:tom) 14-14]
linda| wow That will be great|
issa| SO we go at six| [person:we g(linda:issa) 1-1]
linda| I am not sure Of the time I will be free since I am meeting a friend at 5| [person:linda f 0-0][person:linda f 7-7][person:linda f 12-12][person:friend u 16-16]
issa| Then I will let you call me when you will be ready| [person:issa f 1-1][person:linda f 4-4][person:issa f 6-6][person:linda f 8-8]
linda| Sure I will call you when I am done| [person:linda f 1-1][person:issa f 4-4][person:linda f 6-6]
issa| Greet your friend for me| [person:linda f 1-1][person:friend u 2-2][person:issa f 4-4]
linda| I will Remember to reserve a table please| [person:linda f 0-0]
issa| I have already reserved one| [person:issa f 0-0]
linda| Then I guess I will see you later| [person:linda f 1-1][person:linda f 3-3][person:issa f 6-6]
issa| Sure see you later today| [person:linda f 2-2]

conv:people_long_0313_334:aug_0:chat_0:chataug_0| adi marcus| [person:adi m 0-0][person:marcus m 1-1]
marcus| Hey Adi Are you ready I am coming to pick you up| [person:adi m 1-1][person:adi m 3-3][person:marcus m 5-5][person:adi m 10-10]
adi| Yeah I m ready and also eager to watch our best friend getting married| [person:adi m 1-1][person:our g(marcus:adi) 9-9][person:friend u 11-11]
adi| But there s a problem I don t know what to gift the couple| [person:adi m 5-5]
marcus| Yeah even I don t know what to gift the couple| [person:marcus m 2-2]
adi| What about your friend Anthony What is he getting for the couple| [person:marcus m 2-2][person:anthony m 3-3][person:anthony m 4-4][person:anthony m 7-7]
marcus| He knows a really good store He will buy all gift s from there| [person:anthony m 0-0][person:anthony m 6-6]
adi| I think tagging along with him will be a good idea| [person:adi m 0-0][person:anthony m 5-5]
marcus| Yes I agree Groom will love the gift if all of us choose it together| [person:marcus m 1-1][person:us g(marcus:adi:anthony) 11-11]
adi| I know right Text your friend and ask him if we can join him| [person:adi m 0-0][person:marcus m 4-4][person:anthony m 5-5][person:anthony m 8-8][person:we g(marcus:adi) 10-10][person:anthony m 13-13]
marcus| I am unable to decide when to message him| [person:marcus m 0-0][person:anthony m 8-8]
adi| Message him now only so that we buy the gift soon and attend the wedding on time| [person:anthony m 1-1][person:we g(marcus:adi) 6-6]
marcus| Okay I will message him and ask if we can join him for gift shopping| [person:marcus m 1-1][person:anthony m 4-4][person:we g(marcus:adi) 8-8][person:anthony m 11-11]
adi| Yeah do it fast and tell me what he replied| [person:adi m 6-6][person:anthony m 8-8]
marcus| Yeah I will tell you about his response very soon| [person:marcus m 1-1][person:adi m 4-4][person:anthony m 6-6]

conv:people_long_0313_337:aug_0:chat_0:chataug_0| caroline evan| [person:caroline f 0-0][person:evan m 1-1]
caroline| Hey Evan how is your health now Did you go to the doctor| [person:evan m 1-1][person:evan m 4-4][person:evan m 8-8][person:doctor u 12-12]
evan| Yes Caroline Doctor prescribed some medications and tests| [person:caroline f 1-1][person:doctor u 2-2]
caroline| So when are you going to do the tests I think you should not delay that because accordingly the doctor may advise you on the medicines| [person:evan m 3-3][person:caroline f 9-9][person:evan m 11-11][person:doctor u 19-19][person:evan m 22-22]
evan| No I don t want to take any tests as needles are my worst fear| [person:evan m 1-1]
caroline| Are you serious You are so scared of needles that you don t want to do the tests| [person:evan m 1-1][person:evan m 3-3][person:evan m 10-10]
caroline| Well it s not at all scary like spiders|
evan| I think needles are worst fear than spiders| [person:evan m 0-0]
evan| Really is there anyone who fear of spiders| [person:anyone g(caroline) 3-3]
caroline| Of course not only me even my siblings Joanna and Matt are also scared of it| [person:caroline f 4-4][person:caroline f 6-6][person:joanna f 8-8][person:matt m 10-10]
evan| Seriously I didn t know that you are so scared of spiders It s such a small creature which can t eat you up| [person:evan m 1-1][person:caroline f 6-6][person:caroline f 22-22]
caroline| It s really horrifying when it starts walking and even its saliva is dangerous for our skin| [person:our g(caroline:evan) 15-15]
evan| I have even heard that some are scared of lizards as welll| [person:evan m 0-0]
evan| This don t harm us as it is a timid creature| [person:our g(caroline:evan) 4-4]
caroline| Well different people have different fear we can t end up this discussion anyway| [person:our g(caroline:evan) 6-6]

conv:people_long_0313_338:aug_0:chat_0:chataug_0| chantal stephanie| [person:chantal f 0-0][person:stephanie f 1-1]
chantal| By and large I don t think it matters who we invite so long as the tickets don t go to waste| [person:chantal f 3-3][person:stephanie f 10-10]
stephanie| Yes but it seems like more of a waste to give them to people who don t appreciate them| [person:chantal f 11-11][person:stephanie f 18-18]
chantal| I see your point so perhaps we should just sell the tickets so we will have extra cash| [person:chantal f 0-0][person:stephanie f 2-2][person:stephanie f 6-6][person:chantal f 13-13]
stephanie| Yes maybe but go ahead and ask the boys and get back to me| [person:chantal f 8-8][person:stephanie f 13-13]
chantal| Will do|
stephanie| Great|
stephanie| Thanks so much|
chantal| So I talked to Jordan and he says he would enjoy going with us| [person:chantal f 1-1][person:jordan m 4-4][person:stephanie f 6-6][person:jordan m 8-8][person:stephanie f 13-13]
chantal| But robert has a prior obligation| [person:stephanie f 1-1]
stephanie| I see| [person:stephanie f 0-0]
stephanie| So maybe we should just sell one of the tickets then| [person:chantal f 2-2]
chantal| My thoughts exactly| [person:jordan m 0-0]
stephanie| Great so its settled|
stephanie| I ll post the ticket online| [person:stephanie f 0-0]
chantal| I am soooo excited| [person:chantal f 0-0]
stephanie| Me too| [person:stephanie f 0-0]
chantal| What do you think we should wear I m thinking about the blue dress| [person:stephanie f 2-2][person:chantal f 4-4][person:chantal f 7-7]
stephanie| That sounds great maybe i will wear a burnt sienna one then| [person:stephanie f 4-4]
chantal| How lovely We should go to the salon and get our hair done beforehand| [person:chantal f 2-2][person:stephanie f 10-10]
stephanie| I agree And we should go shopping for new bags| [person:stephanie f 0-0][person:stephanie f 3-3]

conv:people_long_0313_340:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
john| Hey Adam how are you| [person:adam m 1-1][person:adam m 4-4]
adam| I m good how are you| [person:adam m 0-0][person:john m 5-5]
john| I m okay but I could really use your help| [person:john m 0-0][person:john m 4-4][person:adam m 8-8]
adam| Anything buddy what can I help you with| [person:john m 1-1][person:adam m 4-4][person:john m 6-6]
john| It s about my daughter Rita I m worried about her| [person:john m 3-3][person:rita f 4-4][person:rita f 5-5][person:john m 6-6][person:rita f 10-10]
adam| Oh no what has happened|
john| Rita has joined a revolutionary group and I m concerned about how it might look in terms of my status as a politician| [person:rita f 0-0][person:john m 7-7][person:john m 18-18]
john| But more importantly I m concerned for her safety you know how these groups are| [person:john m 3-3][person:rita f 7-7][person:adam m 9-9]
adam| Oh no that s not good How can I help| [person:adam m 8-8]
john| Could you please talk to your daughter Jane Maybe she knows more information since she and Rita are close friends| [person:adam m 1-1][person:adam m 5-5][person:jane f 6-6][person:jane f 7-7][person:jane f 9-9][person:jane f 14-14][person:rita f 16-16][person:friends g(rita:jane) 19-19]
adam| Ok no worries I will do what I can and I will get back to you| [person:adam m 3-3][person:adam m 7-7][person:adam m 10-10][person:john m 15-15]
john| Ok thank you so much for that| [person:adam m 2-2]
adam| Is there anything else I can help you with| [person:adam m 4-4][person:john m 7-7]
john| No it s ok Let me know what you find Talk to you later| [person:john m 5-5][person:adam m 8-8][person:adam m 12-12]
adam| Ok John goodbye| [person:john m 1-1]
john| Goodbye Adam| [person:adam m 1-1]

conv:people_long_0313_341:aug_0:chat_0:chataug_0| logan wyatt| [person:logan m 0-0][person:wyatt m 1-1]
logan| Hey Wyatt How ya doing Did you and Yara make a New Year s resolution| [person:wyatt m 1-1][person:wyatt m 6-6][person:yara f 8-8]
