conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
samantha| Yeah I got it Not subtle at all and horrific Isn t he like 75| [person:samantha f 1-1][person:him__boss_ m 12-12]
debra| And married Gonna blackmail the shit out of him| [person:him__boss_ m 8-8]
samantha| Jesus christ why am I friends with people like you| [person:samantha f 4-4][person:friends g(samantha:debra) 5-5][person:debra f 9-9]
samantha| So that s a no on the hiking then|
debra| Sorry sweetie|
debra| actually I have a friend who is very into hiking who might be interested| [person:debra f 1-1][person:friend__tiffany_ f 4-4]
debra| Tifanny Her number is 239845712934872 Hit her up whenever She s cool| [person:friend__tiffany_ f 1-1][person:friend__tiffany_ f 6-6][person:friend__tiffany_ f 9-9]
samantha| Where do you know her from| [person:debra f 2-2][person:friend__tiffany_ f 4-4]
debra| I met her when I was doing that bid up in Sing Sing for boosting cars She s cool though I think she was only there for murder but in self defense| [person:debra f 0-0][person:friend__tiffany_ f 2-2][person:debra f 4-4][person:friend__tiffany_ f 16-16][person:debra f 20-20][person:friend__tiffany_ f 22-22]
samantha| So you want me to go on a hike with a convicted murderer A hike in the secluded woods with no one around| [person:debra f 1-1][person:samantha f 3-3]
debra| Like I said she loves hiking| [person:debra f 1-1][person:friend__tiffany_ f 3-3]
samantha| I need new friends| [person:samantha f 0-0][person:friends g(samantha:debra) 3-3]

conv:people_2019081201_143:aug_0:chat_0:chataug_0| andrea kelly| [person:andrea f 0-0][person:kelly f 1-1]
andrea| Hey Kelly I miss you so much whats up| [person:kelly f 1-1][person:andrea f 2-2][person:kelly f 4-4]
kelly| I miss you too wow been too long| [person:kelly f 0-0][person:andrea f 2-2]
kelly| Have you talked to Dwight lately| [person:andrea f 1-1][person:dwight m 4-4]
andrea| Actually he is visiting me really soon| [person:dwight m 1-1][person:andrea f 4-4]
andrea| I will be taking him out for the day but I might be too busy with work| [person:andrea f 0-0][person:dwight m 4-4][person:andrea f 10-10]
andrea| can you and your friends take him out| [person:kelly f 1-1][person:kelly f 3-3][person:friends g() 4-4][person:dwight m 6-6]
kelly| That sounds like a fun time to be honest|
kelly| I can make that happen| [person:kelly f 0-0]
kelly| we can go to the movies and pizza| [person:we g(kelly:dwight) 0-0]
andrea| That sounds so good|
andrea| thanks|

conv:people_2019081201_144:aug_0:chat_0:chataug_0| debra tara| [person:debra f 0-0][person:tara f 1-1]
debra| How many people should we invite to this party| [person:we g(debra:tara) 4-4]
tara| Let s keep it small Maybe five or six|
debra| OK Well I definitely think Jaqueline Dorothy and Angela have to be there| [person:debra f 2-2][person:dorothy f 6-6][person:angela f 8-8][location:there u 12-12]
tara| Agree Maybe they ll have some suggestions for other people Want to go to the grocery store tonight| [person:they g(dorothy:angela) 2-2][location:store s 16-16]
debra| Sure Let s ask Jaqueline to bring her famous dip and chips| [person:jacqueline f 7-7]
tara| And don t forget Angela s margaritas lol| [person:angela f 4-4]
debra| Her margaritas are the whole reason we re having this party It s like they are the guest of honor lol| [person:angela f 0-0][person:we g(debra:tara) 6-6]
tara| Yes lol let s just make this like a taco bar party then I ve got meat and cheese lettuce and tomatoes on the list| [location:bar s 10-10][person:tara f 13-13]
debra| Let s see if Dorothy can make guacamole Don t forget to ask Angela to bring extra margarita glasses She has those huge ones| [person:dorothy f 4-4][person:angela f 13-13][person:angela f 19-19]
debra| OK This all sounds great I ll try to come up with some more food ideas today and then we can go to the store tonight after work Can t wait| [person:debra f 5-5][person:we g(debra:tara) 19-19]
tara| This is going to be super fun See you later| [person:debra f 8-8]

conv:people_2019081201_145:aug_0:chat_0:chataug_0| dave phillip| [person:dave m 0-0][person:phillip m 1-1]
dave| Hi Phillip Are we still going out to eat dinner with some friends| [person:phillip m 1-1][person:phillip___dave g(dave:phillip) 3-3][person:they g() 12-12]
phillip| Yes of course Who should we invite| [person:phillip___dave g(dave:phillip) 5-5]
dave| We could invite Josh Wayne Austin and Jon but that is a lot of people| [person:phillip___dave g(dave:phillip) 0-0][person:josh m 3-3][person:wayne m 4-4][person:austin m 5-5][person:jon m 7-7]
phillip| Yes maybe we could narrow down the list to Jon an Josh I picked them because Wayne is allergic to eggs and Austin is picky| [person:phillip___dave g(dave:phillip) 2-2][person:jon m 9-9][person:josh m 11-11][person:phillip m 12-12][person:they g(austin:wayne:josh:jon) 14-14][person:wayne m 16-16][person:austin m 22-22]
dave| I agree with your picks Austin is indeed a picky eater| [person:dave m 0-0][person:phillip m 3-3][person:austin m 5-5]
phillip| Where should we go I like Chinese and Italian what about you| [person:phillip___dave g(dave:phillip) 2-2][person:phillip m 4-4][person:dave m 11-11]
dave| Italian sounds good to me but I m not sure if Josh likes it| [person:dave m 4-4][person:dave m 6-6][person:josh m 11-11]
phillip| How about the All Star buffet They have all kinds of food that everyone will like| [person:they g(austin:wayne:josh:jon) 6-6][person:everyone g(dave:phillip:austin:wayne:josh:jon) 13-13]
dave| Sounds great I will call Jon and Josh and tell them 6pm| [person:dave m 2-2][person:jon m 5-5][person:josh m 7-7][person:they g(austin:wayne:josh:jon) 10-10]
phillip| Ok See you there| [person:dave m 2-2][location:there u 3-3]

conv:people_2019081201_146:aug_0:chat_0:chataug_0| ivan meredith| [person:ivan m 0-0][person:meredith f 1-1]
ivan| Hi|
meredith| You are looking so happy What is the reason| [person:ivan m 0-0]
ivan| We have a party with our friends| [person:we g(ivan:meredith) 0-0][person:we g(ivan:meredith) 5-5][person:friends g() 6-6]
meredith| Oh that s the reason you are so happy| [person:ivan m 5-5]
ivan| We are going to met our school friends after long time| [person:we g(ivan:meredith) 0-0][person:we g(ivan:meredith) 5-5][location:school s 6-6][person:friends g() 7-7]
meredith| Nice So what is your plan| [person:ivan m 4-4]
ivan| We have party in an hotel Inn| [person:we g(ivan:meredith) 0-0][location:hotel s 5-5][location:hotel s 6-6]
meredith| that s really a nice hotel| [location:hotel s 5-5]
ivan| If you are free that day come with me to the party It will be nice| [person:meredith f 1-1][person:ivan m 8-8]
meredith| Sure I will come definitely| [person:meredith f 1-1]
ivan| Are there any girls coming for the party| [person:girls g() 3-3]
meredith| Yes Girls also coming for the party| [person:girls g() 1-1]

conv:people_2019081201_147:aug_0:chat_0:chataug_0| dennis ruth| [person:dennis m 0-0][person:ruth f 1-1]
dennis| Hey what are you doing this weekend| [person:ruth f 3-3]
ruth| Nothing why|
dennis| Want to go visit Douglas and Tara haven t seen them in a while| [person:douglas m 4-4][person:tara f 6-6][person:them g(douglas:tara) 10-10]
ruth| That is a great idea It has been a while|
dennis| I figured we could leave Thursday night and get there late Thursday| [person:dennis m 0-0][person:we g(dennis:ruth:douglas:tara) 2-2][location:there u 9-9]
ruth| Sounds good when would you want to come back| [person:dennis m 4-4]
dennis| Probably noon or so on Sunday Would that work|
ruth| Yea should we bring them something I thought they both really liked wine| [person:we g(dennis:ruth:douglas:tara) 2-2][person:them g(douglas:tara) 4-4][person:ruth f 6-6][person:they g(douglas:tara) 8-8]
dennis| Douglas has a huge collections lets stop at the store on the way out of town and pick up a gift for them| [person:douglas m 0-0][location:store s 9-9][location:town s 15-15][person:them g(douglas:tara) 22-22]
ruth| Sounds like a good idea I will ask them if they are free this weekend| [person:ruth f 5-5][person:them g(douglas:tara) 8-8][person:they g(douglas:tara) 10-10]
dennis| Let me know what they say| [person:dennis m 1-1][person:they g(douglas:tara) 4-4]
ruth| Will do Talk to you later| [person:dennis m 4-4]

conv:people_2019081201_148:aug_0:chat_0:chataug_0| kate sophia| [person:kate f 0-0][person:sophia f 1-1]
kate| I am so looking forward to this trip I can t wait to hit the road We need to determine what to bring| [person:kate f 0-0][person:kate f 8-8][person:we g(kate:sophia) 16-16]
kate| I m thinking about bringing several cases of water so we do not dry out| [person:kate f 0-0][person:we g(kate:sophia) 10-10]
sophia| I was thinking about bringing all the fixings for sandwiches that would be easy to make on the road| [person:sophia f 0-0]
sophia| Let s go ahead and ask Chris to bring enough fruit to share with everyone that makes a great snack| [person:chris m 6-6][person:everyone g(kate:sophia:chris) 14-14]
sophia| I agree and I think we should ask Hannah to bring the chips and the dips those would go great with sandwiches| [person:sophia f 0-0][person:sophia f 3-3][person:we g(kate:sophia) 5-5][person:hannah f 8-8]
sophia| That leaves Virginia what do you think she should bring| [person:virginia f 2-2][person:kate f 5-5][person:virginia f 7-7]
kate| I think we should ask her to bring desserts there should be a little sweet snack after every meal| [person:kate f 0-0][person:we g(kate:sophia) 2-2][person:virginia f 5-5]
kate| Since I m only brining water I might also bring paper plates and cutlery that should make clean up easier| [person:kate f 1-1][person:kate f 6-6]
kate| Everything seems to be going well I think we can hit the road tomorrow| [person:kate f 6-6][person:we g(kate:sophia) 8-8]
sophia| This will be a trip of a lifetime|

conv:people_2019081201_151:aug_0:chat_0:chataug_0| alex michael| [person:alex m 0-0][person:michael m 1-1]
alex| Where should we watch the finals| [person:we g(alex:michael) 2-2]
michael| How about James s house| [person:james m 2-2]
alex| Yeah his is really nice| [person:james m 1-1]
michael| He has that big screen tv| [person:james m 0-0]
alex| Watching Stephen Curry on the big screen sounds good| [person:stephen m 1-1]
michael| I can t wait to watch the NBA finals| [person:michael m 0-0]
alex| Me neither Let s ask James if we can watch it as his house| [person:alex m 0-0][person:james m 5-5][person:we g(alex:michael) 7-7][person:james m 12-12]
michael| Text Ivan and let him know this is what we want| [person:ivan m 1-1][person:ivan m 4-4][person:we g(alex:michael) 9-9]
alex| Yeah he can convince him easier| [person:ivan m 1-1][person:james m 4-4]
michael| I will tell James that we will bring the snacks| [person:michael m 0-0][person:james m 3-3][person:we g(alex:michael) 5-5]

conv:people_2019081201_153:aug_0:chat_0:chataug_0| eva julia| [person:eva f 0-0][person:julia f 1-1]
julia| hello|
eva| hey what s up|
julia| remember the party we re having this weekend| [person:we g(julia) 3-3]
julia| I thought about inviting some of our friends to help with the planning| [person:julia f 0-0][person:our g(julia:eva) 6-6][person:friends g(julia:eva) 7-7]
eva| oh cool who are you asking| [person:julia f 4-4]
julia| I thought about asking Janet Janice and Natalie since they re all free friday and live nearby| [person:julia f 0-0][person:janet f 4-4][person:janice f 5-5][person:natalie f 7-7][person:they g(janet:janice:natalie) 9-9]
julia| but I can t seem to get a hold of Janet| [person:julia f 1-1][person:janet f 10-10]
eva| oh yeah sometimes she doesn t read her texts| [person:janet f 3-3][person:janet f 7-7]
eva| have you tried calling her| [person:julia f 1-1][person:janet f 4-4]
julia| no but I don t think it s important enough to warrant a call| [person:julia f 2-2]
julia| I can just wait for now| [person:julia f 0-0]
eva| oh I see well if I run into her I ll tell her about it| [person:eva f 1-1][person:eva f 5-5][person:janet f 8-8][person:eva f 9-9][person:janet f 12-12]
julia| thanks so you ll be coming to help still right| [person:eva f 2-2]
eva| yeah of course I ll swing by just tell me when| [person:eva f 3-3][person:eva f 9-9]
julia| I ll discuss with the other girls first but I was thinking late afternoon| [person:julia f 0-0][person:girls g(janet:janice:natalie) 6-6][person:julia f 9-9]
eva| okay works for me message me when we re ready to meet| [person:eva f 3-3][person:eva f 5-5][person:we g(julia) 7-7]
julia| sure will talk to you later| [person:eva f 4-4]

conv:people_2019081201_154:aug_0:chat_0:chataug_0| christopher rusell| [person:christopher m 0-0][person:rusell m 1-1]
christopher| Hello Russell are we still on for lunch| [person:rusell m 1-1][person:we g(christopher:rusell) 3-3]
rusell| Yeah I m quite excited about it| [person:rusell m 1-1]
rusell| Can I invite Dylan and Vincent to our lunch it d be fun to catch up| [person:rusell m 1-1][person:dylan m 3-3][person:vincent m 5-5][person:we g(christopher:rusell) 7-7]
christopher| Yeah that does sound like fun|
christopher| Although I don t know about Vincent| [person:christopher m 1-1][person:vincent m 6-6]
rusell| What seems to be the problem|
christopher| He always wants to eat pizza I don t want to eat in a Pizza Hut| [person:vincent m 0-0][person:christopher m 6-6][location:pizza_hut s 14-15]
rusell| I understand it will just be us two and Dylan then| [person:rusell m 0-0][person:we g(christopher:rusell) 6-6][person:dylan m 9-9]
christopher| Thank you for understanding brother See you at The Blue Crab at 1| [person:rusell m 1-1][person:rusell m 4-4][person:rusell m 6-6][location:blue_crab s 9-10]
rusell| The Blue Crab oh how i ve missed that place I am so excited See you soon| [location:blue_crab s 1-2][person:rusell m 5-5][location:blue_crab s 9-9][person:rusell m 10-10][person:christopher m 15-15]
