conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
brandon| So my friends Tim and Rafael will be visiting Chicago which is where you live and I was wondering if you can show them around| [person:logan m 1-1][person:friends g() 2-2][person:tim m 3-3][person:rafael m 5-5][person:logan m 13-13][person:brandon m 16-16][person:logan m 20-20]
logan| Well I can do that since I was planning to have some good time myself and having people with me would be great| [person:logan m 1-1][person:logan m 6-6][person:logan m 14-14][person:logan m 19-19]
brandon| I feel better for asking this from you then| [person:brandon m 0-0][person:logan m 7-7]
logan| Though can you tell me what they enjoy doing or what they like so they can have a good time| [person:brandon m 2-2][person:logan m 4-4][person:they g(tim:rafael) 6-6][person:they g(tim:rafael) 11-11][person:they g(tim:rafael) 14-14]
brandon| As far as I know them they really like football regarding sports and then they seem to really enjoy sightseeing paired with drinks if you know what I mean| [person:brandon m 3-3][person:them g(tim:rafael) 5-5][person:they g(tim:rafael) 6-6][person:they g(tim:rafael) 14-14][person:logan m 24-24][person:brandon m 27-27]
logan| That is great since there is actually a football match coming up so I will go with them there| [person:logan m 13-13][person:them g(tim:rafael) 17-17][location:there s 18-18]
brandon| Fantastic|
logan| Then during the day and night I will send them in bar and club tours so their time will be unforgettable| [person:logan m 6-6][person:them g(tim:rafael) 9-9][location:bar s 11-11][location:club s 13-13][person:their g(tim:rafael) 16-16]
brandon| You have always shown me a good time so I think what you are saying will be fun for them too| [person:logan m 0-0][person:brandon m 4-4][person:brandon m 9-9][person:logan m 12-12][person:them g(tim:rafael) 19-19]
logan| Alright consider it settled and done|
brandon| Thank you so much Logan| [person:logan m 1-1][person:logan m 4-4]
logan| No worries You are welcome| [person:brandon m 2-2]

conv:people_2019090101_253:aug_0:chat_0:chataug_0| pam teresa| [person:pam f 0-0][person:teresa f 1-1]
teresa| Pam how s it going| [person:pam f 0-0]
pam| Doing good Theresa what s up| [person:teresa f 2-2]
teresa| Oh nothing just getting ready to go play basketball with Deborah and Doris| [person:deborah f 10-10][person:doris f 12-12]
pam| Oh Cool I want to play Can I join| [person:pam f 2-2][person:pam f 7-7]
teresa| Sure thing just come through the girls would be happy to see you| [person:girls g(deborah:doris) 6-6][person:pam f 12-12]
pam| I want to bring a friend her name is Jessica but she s kind of a newbie at basketball| [person:pam f 0-0][person:jessica f 5-5][person:jessica f 6-6][person:jessica f 9-9][person:jessica f 11-11]
teresa| No problem at all Deborah and Doris are novices as well so it ll be fun learning together| [person:deborah f 4-4][person:doris f 6-6]
pam| Oh great I ll let Jessica know When shall we play| [person:pam f 2-2][person:jessica f 5-5][person:we g(teresa:pam:deborah:doris:jessica) 9-9]
teresa| Well let s meet in 2 hours at the park| [location:the_park s 8-9][location:park s 9-9]
pam| OK sounds good see you in 2 hours| [person:teresa f 4-4]

conv:people_2019090101_254:aug_0:chat_0:chataug_0| jesse josh| [person:jesse m 0-0][person:josh m 1-1]
josh| Hey Jesse I wanted to ask you if you would like to go watch a movie with me| [person:jesse m 1-1][person:josh m 2-2][person:jesse m 6-6][person:jesse m 8-8][person:josh m 17-17]
jesse| Sure You know I love going to theaters| [person:josh m 1-1][person:jesse m 3-3][location:theaters g() 7-7]
josh| Yes indeed|
jesse| Though I am wondering if it is okay with you if I invite also our friends Pam and Kyle| [person:jesse m 1-1][person:josh m 9-9][person:jesse m 11-11][person:we g(josh:jesse) 14-14][person:friends g() 15-15][person:pam f 16-16][person:kyle m 18-18]
josh| Of course you can| [person:jesse m 2-2]
jesse| Which theater are we going to watch the movie| [location:theater s 1-1][person:we g(josh:jesse) 3-3]
josh| Well I am not sure maybe at the 3D one| [person:josh m 1-1][location:theater s 8-9]
jesse| The 3D shows really give me a headache| [person:jesse m 5-5]
josh| That is bad|
jesse| Maybe we can watch it at the IMAX theater| [person:we g(josh:jesse) 1-1][location:imax_theater s 7-8]
josh| Oh yes IMAX is cool too for me| [location:imax_theater s 2-2][person:josh m 7-7]
jesse| Alright then IMAX it is| [location:imax_theater s 2-2]
josh| Okay see you there then Jesse| [person:jesse m 2-2][location:imax_theater s 3-3][person:jesse m 5-5]
jesse| See you Josh| [person:josh m 1-1][person:josh m 2-2]

conv:people_2019090101_255:aug_0:chat_0:chataug_0| jean nicole| [person:jean f 0-0][person:nicole f 1-1]
jean| Hey Nicole I need your guidance| [person:nicole f 1-1][person:jean f 2-2][person:nicole f 4-4]
nicole| Sure what s up It s been a while I ve heard from you| [location:it u 4-4][person:nicole f 9-9][person:jean f 13-13]
jean| I do miss you a lot How is Los Angeles| [person:jean f 0-0][person:nicole f 3-3][location:los_angeles s 8-9]
nicole| It s fine So tell me on what subject do you need guidance| [location:los_angeles s 0-0][person:nicole f 5-5][person:jean f 10-10]
jean| Dennis Heather and I are visiting Dallas You know this place better I was wondering if you could suggest something| [person:dennis m 0-0][person:heather f 1-1][person:jean f 3-3][location:dallas s 6-6][person:nicole f 7-7][location:dallas s 10-10][person:jean f 12-12][person:nicole f 16-16]
nicole| How about the amusement park over there| [location:dallas s 6-6]
jean| I don t think Heather would like that Me and Denise want some place relaxing while Heather seems to want a massage| [person:jean f 0-0][person:heather f 4-4][person:jean f 8-8][person:denise f 10-10][location:place s 13-13][person:heather f 16-16]
nicole| You should definitely hit the spa then Dallas has a great Spa in the middle of the city It s called Sumo Massage| [person:jean f 0-0][location:dallas s 7-7][location:city s 17-17][location:city s 18-18]
jean| The name is funny It s been a while I ve been to a Spa I m sure the girls would love it too| [location:city s 4-4][person:jean f 9-9][person:jean f 15-15][person:girls g(heather:denise) 19-19][location:city s 22-22]
nicole| Yeah it s a great place Great thing about it is there s an Ice cream shop that gives the best chocolate sundae You should check it out| [location:city s 1-1][location:place s 5-5][location:place s 9-9][location:there s 11-11][person:jean f 23-23][location:place s 26-26]
jean| Thank you so much Nicole You ve been a great help I spoke to my friends they all love the plan| [person:nicole f 1-1][person:nicole f 4-4][person:nicole f 5-5][person:jean f 11-11][person:jean f 14-14][person:friends g(dennis:heather:denise) 15-15][person:friends g(dennis:heather:denise) 16-16]
nicole| Don t sweat it Just keep in touch more often It was nice hearing from you| [location:it u 3-3][location:it u 10-10][person:jean f 15-15]

conv:people_2019090101_256:aug_0:chat_0:chataug_0| john william| [person:john m 0-0][person:william m 1-1]
john| So Derrick and Andy are coming to watch soccer| [person:derrick m 1-1][person:andy m 3-3]
william| Yes they will be here in two days| [person:they g(derrick:andy) 1-1][location:here s 4-4]
john| So which house should we watch at| [person:we g(john:william:derrick:andy) 4-4]
william| I am not sure| [person:william m 0-0]
john| How about your house| [person:william m 2-2]
william| why my house| [person:william m 1-1]
john| well for one Derrick and Andy know how to get there| [person:derrick m 3-3][person:andy m 5-5][location:here s 10-10]
william| That is very true|
john| you also have more room there| [person:william m 0-0][location:here s 5-5]
william| That is also true|
john| so your house it is| [person:william m 1-1][location:here s 3-3]
william| I think so John| [person:william m 0-0][person:john m 3-3]
john| I will let them know| [person:john m 0-0][person:them g(derrick:andy) 3-3]

conv:people_2019090101_257:aug_0:chat_0:chataug_0| christina craig| [person:christina f 0-0][person:craig m 1-1]
craig| Can you pick up Jill I m stuck at work for at least another hour| [person:christina f 1-1][person:jill f 4-4][person:craig m 5-5][location:work s 9-9]
christina| I was just headed out to the supermarket to get snacks for our party| [person:christina f 0-0][location:supermarket s 4-4][location:supermarket s 7-7][person:our g(christina) 12-12][location:party s 13-13]
craig| What party|
christina| We re watching the playoff game with Phil Mary and Heather Remember| [person:we g(christina) 0-0][person:phil m 7-7][person:mary f 8-8][person:heather f 10-10]
craig| Oh yeah I forgot about that| [person:craig m 2-2]
christina| Tell you what I ll pick up Jill if you will shop for the snacks| [person:craig m 1-1][person:christina f 3-3][person:jill f 7-7][person:craig m 9-9]
craig| Okay that will do What do we need| [person:we g(christina:mary:phil:heather) 6-6]
christina| We need food drinks and desserts Get some gluten free items for Mary Also Heather is vegan| [person:we g(christina:mary:phil:heather) 0-0][person:mary f 12-12][person:heather f 14-14]
craig| Beer and pizza is all me and Phil need| [person:craig m 5-5][person:phil m 7-7]
christina| So we re set| [person:we g(christina:mary:phil:heather) 1-1]
craig| Gluten free and vegan snacks beer pizza Yep all set|
christina| See you later tonight Goodbye| [person:craig m 1-1]

conv:people_2019090101_260:aug_0:chat_0:chataug_0| eugene gloria| [person:eugene m 0-0][person:gloria f 1-1]
eugene| Hey Gloria Do you want to join me and my friends for brunch tomorrow| [person:gloria f 1-1][person:gloria f 3-3][person:eugene m 7-7][person:eugene m 9-9][person:friends g() 10-10]
gloria| Hmm who is going|
eugene| My friends from work Kim Stephanie and Edward| [person:eugene m 0-0][person:friends g() 1-1][person:kim f 4-4][person:stephanie f 5-5][person:edward m 7-7]
gloria| That might be weird I don t know any of them| [person:gloria f 4-4][person:them g(kim:stephanie:edward) 10-10]
eugene| Oh they re super nice You ll like all of them| [person:they g(kim:stephanie:edward) 1-1][person:gloria f 5-5][person:them g(kim:stephanie:edward) 10-10]
gloria| But you guys will just be talking about work the whole time I don t want to just sit there| [person:eugene m 1-1][person:gloria f 12-12][location:there s 19-19]
eugene| No we won t We hardly ever talk about work Edward and Stephanie will probably talk about their recent trip to Italy| [person:we g(eugene:gloria) 1-1][person:we g(eugene:gloria) 4-4][person:edward m 10-10][person:stephanie f 12-12][person:their g(kim:stephanie:edward) 17-17]
gloria| Oh that would be interesting Where did they go| [location:where s 5-5][person:they g(kim:stephanie:edward) 7-7]
eugene| Well you ll have to come to brunch to find out| [person:gloria f 1-1]
gloria| Haha that s not fair|
eugene| And you and Kim have a lot in common too She s a runner just like you| [person:gloria f 1-1][person:kim f 3-3][person:kim f 10-10][person:gloria f 16-16]
gloria| Oh that s cool Has she done any races recently| [person:kim f 5-5]
eugene| It sounds like you better come to brunch so you can ask her yourself| [person:gloria f 3-3][person:gloria f 9-9][person:kim f 12-12][person:eugene m 13-13]
gloria| Well they do sound like nice and interesting people Maybe I ll come Where and what time| [person:they g(kim:stephanie:edward) 1-1][person:gloria f 10-10][location:there s 13-13]
eugene| We re meeting at Rocks on Broadway at 1030 on Saturday| [person:we g(eugene:gloria) 0-0]
gloria| Alright I ll come along| [person:gloria f 1-1]
eugene| If you don t like the conversation just drink more mimosas| [person:gloria f 1-1]
gloria| That s what I was thining Okay| [person:gloria f 3-3]

conv:people_2019090101_262:aug_0:chat_0:chataug_0| kevin terry| [person:kevin m 0-0][person:terry m 1-1]
kevin| Were you invited to the Winstons brunch| [location:were s 0-0][person:terry m 1-1][location:winstons s 5-5]
terry| Yes Looking forward to it| [location:winstons s 4-4]
kevin| Who else is going|
terry| I know Michael is going| [person:terry m 0-0][person:michael m 2-2]
kevin| What are you bringing| [person:terry m 2-2]
terry| Haven t put too much thought into it yet| [location:winstons s 7-7]
kevin| What do the Winstons like| [person:winstons g() 3-3]
terry| I m not sure I wonder if sub sandwiches would be appropriate| [person:terry m 0-0][person:terry m 4-4]
kevin| I was thinking about bringing shrimp and cocktail sauce| [person:kevin m 0-0]
terry| Mchael is very close to the Winstons I ll ask him what they like| [person:winstons g() 6-6][person:terry m 7-7][person:michael m 10-10][person:winstons g() 12-12]
kevin| Great idea|
kevin| Alright I ll call you when I know| [person:kevin m 1-1][person:terry m 4-4][person:kevin m 6-6]
terry| I ll call you when I know| [person:terry m 0-0][person:kevin m 3-3][person:terry m 5-5]
kevin| Text if I don t answer| [person:kevin m 2-2]
terry| Talk to you later| [person:kevin m 2-2]
kevin| Cheerio|

conv:people_2019090101_263:aug_0:chat_0:chataug_0| barbara jen| [person:barbara f 0-0][person:jen f 1-1]
jen| Hi Barbara HOw are you today Anything planned this afternoon| [person:barbara f 1-1][person:barbara f 4-4]
barbara| Good morning Jen I m doing well I don t have much going on except a meeting with Nate this afternoon| [person:jen f 2-2][person:barbara f 3-3][person:barbara f 7-7][person:nate m 18-18]
