conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
jillian| Do you have any specific gym to join as per your preference or are you looking out for any particular time slot| [person:tia f 1-1][location:gym s 5-5][person:tia f 10-10][person:tia f 14-14]
tia| I don t have any specifications regarding the gym but it should be budget friendly and I m comfortable with the morning slot| [person:tia f 0-0][location:gym s 8-8][location:gym s 10-10][person:tia f 16-16]
jillian| There a gym which is near to my house the trainer is also a friend of mine| [location:gym s 0-0][location:gym s 2-2][person:jillian f 7-7][location:house s 8-8][person:tia f 14-14][person:jillian f 16-16]
tia| Yeah I know about the gym but I found out to be a bit expensive after doing some research on it online| [person:tia f 1-1][location:gym s 5-5][person:tia f 7-7][location:gym s 20-20]
jillian| It is always overpriced when you check it online Because I know the management there I can get it done at a fair amount of discount| [person:tia f 5-5][person:jillian f 10-10][location:gym s 14-14][person:jillian f 15-15]
tia| Is that so I ll have to think about it then let s go and check it out| [person:tia f 3-3]
jillian| Let s not depend on the gym near my house only We ll try out some other options as well| [location:gym s 6-6][person:jillian f 8-8][location:house s 9-9][person:jillian f 11-11]
tia| Hey do you know remember our two friends John and Randy who are working as personal trainers at a gym nearby| [person:jillian f 2-2][person:jillian f 5-5][person:jillian f 7-7][person:jillian f 8-8][person:tia f 10-10][location:gym s 19-19]
jillian| I think they can help us out in all aspects If you wish I can talk to them post college hours| [person:jillian f 0-0][person:jillian f 2-2][person:jillian f 5-5][person:tia f 11-11][person:jillian f 13-13][person:jillian f 17-17][location:college s 19-19]
tia| Yeah the boys are good and they can help us out and I know that the gym is not much expensive| [person:tia f 2-2][person:tia f 6-6][person:tia f 9-9][person:tia f 12-12][location:gym s 16-16]
jillian| Tia I don t think you would be able to afford a personal trainer at this stage| [person:tia f 0-0][person:jillian f 1-1][person:tia f 5-5]
tia| Yes Jillian even I was thinking about the same thing because I m just focussing on reducing my weight| [person:jillian f 1-1][person:tia f 3-3][person:tia f 11-11][person:tia f 17-17]

conv:people_long_0313_80:aug_0:chat_0:chataug_0| janna lucian| [person:janna f 0-0][person:lucian m 1-1]
lucian| Hey Janna Have you got an update regarding the meeting| [person:janna f 1-1][person:janna f 3-3]
janna| What is the update you are talking about| [person:lucian m 4-4]
lucian| Our meeting with the investors Fiora and James moved to tomorrow| [person:our g(lucian:janna) 0-0][person:fiora f 5-5][person:james m 7-7]
janna| Yeah just now I came to know about it| [person:janna f 3-3]
lucian| Okay where is the meeting location for tomorrow|
janna| The meeting will be held at the local coffee shop| [location:coffee_shop s 8-9]
janna| But if we can suggest something better for them it can be arranged there| [person:we g(lucian:janna:fiora:james) 2-2][person:them g(lucian:janna:fiora:james) 8-8]
lucian| Yeah sure I think we can suggest a better place as the local coffee shop will be crowded tomorrow| [person:lucian m 2-2][person:we g(lucian:janna:fiora:james) 4-4][location:place s 9-9][location:coffee_shop s 13-14]
janna| Do you have have any better options in your mind Then you may suggest| [person:lucian m 1-1][person:lucian m 8-8][person:lucian m 11-11]
lucian| I think either a fancy restaurant or an elegant bistro will be a better place for the meeting| [person:lucian m 0-0][location:restaurant s 5-5][location:elegant_bistro s 8-9][location:place s 14-14]
janna| I know both of them are very good but I think an elegant bistro would be better| [person:janna f 0-0][person:them g(lucian:janna:fiora:james) 4-4][person:janna f 9-9][location:elegant_bistro s 12-13]
lucian| Yeah it will be good and affordable We can plan our meeting in that| [location:elegant_bistro s 1-1][person:we g(lucian:janna:fiora:james) 7-7][person:our g(lucian:janna) 10-10]
janna| That s cool I will inform them See you in the meeting| [person:janna f 3-3][person:them g(lucian:janna:fiora:james) 6-6][person:lucian m 8-8]
lucian| Okay I will meet you tomorrow in the meeting| [person:lucian m 1-1][person:janna f 4-4]

conv:people_long_0313_83:aug_0:chat_0:chataug_0| demmi nas| [person:demmi f 0-0][person:nas m 1-1]
nas| Hey Demmi What are you doing| [person:demmi f 1-1][person:demmi f 4-4]
demmi| I m looking at the latest events that are happening in politics| [person:demmi f 0-0]
nas| I am already bored and tired of all the nonstop coverage and just want the election cycle to be finished| [person:nas m 0-0]
demmi| I think you should really be engaged in it| [person:demmi f 0-0][person:nas m 2-2]
nas| Why do you think that I should be engaged in it| [person:demmi f 2-2][person:nas m 5-5]
demmi| You should be engaged in it because democracy requires civil engagement from all citizens| [person:nas m 0-0]
nas| I spoke with our friends Paige and Connor about this| [person:nas m 0-0][person:our g(nas:demmi) 3-3][person:friends g() 4-4][person:paige f 5-5][person:connor m 7-7]
demmi| Okay and what was their response to it| [person:friends g(paige:connor) 4-4]
nas| They agreed with me that politics is just too boring and all politicians are frauds| [person:friends g(paige:connor) 0-0][person:nas m 3-3]
demmi| What Did they really tell all this about politics and politicians| [person:friends g(paige:connor) 2-2]
nas| Yes that was the same words they used while talking| [person:friends g(paige:connor) 6-6]
demmi| Oh my God I should talk to them and ask why they feel so apathetic towards politics| [person:demmi f 1-1][person:demmi f 3-3][person:friends g(paige:connor) 7-7][person:friends g(paige:connor) 11-11]
nas| Yeah sure You go ahead and ask them| [person:demmi f 2-2][person:friends g(paige:connor) 7-7]
demmi| Yeah I will do it and see if they have a good reason for their statements| [person:demmi f 1-1][person:friends g(paige:connor) 8-8][person:friends g(paige:connor) 14-14]

conv:people_long_0313_85:aug_0:chat_0:chataug_0| kayla leila| [person:kayla f 0-0][person:leila f 1-1]
leila| Hey Kayla Do you have any costume ideas for upcoming Carnival festival| [person:kayla f 1-1][person:kayla f 3-3]
kayla| No I haven t thought about it Even I was about to ask you| [person:kayla f 1-1][person:kayla f 8-8][person:leila f 13-13]
leila| Okay What about Paul and Fabrice Do you have any idea about them| [person:paul m 3-3][person:fabrice f 5-5][person:kayla f 7-7][person:them g(paul:fabrice) 12-12]
kayla| Yeah yesterday I asked them they said that they already decide to dress up like cactus| [person:kayla f 2-2][person:them g(paul:fabrice) 4-4][person:them g(paul:fabrice) 5-5][person:them g(paul:fabrice) 8-8]
leila| Really where did they got such a ranson idea| [person:them g(paul:fabrice) 3-3]
kayla| I also had the same query they replied its from maskworld com| [person:kayla f 0-0][person:them g(paul:fabrice) 6-6]
leila| Okay I am not able to pick the costume as it is part of a particular theme| [person:leila f 1-1]
leila| What about you What kind of costume are you looking for| [person:kayla f 2-2][person:kayla f 8-8]
kayla| Well I really want to think in a different way| [person:kayla f 1-1]
kayla| I am looking for a very unique and interesting one that people might not have thought of| [person:kayla f 0-0]
leila| Okay that seems to be interesting Shall we go in a group costume| [person:we g(leila:kayla) 7-7]
kayla| I don t have any issue with it but we need to decide that as soon as possible| [person:kayla f 0-0][person:we g(leila:kayla) 9-9]
kayla| Accordingly we have to select costumes for us| [person:we g(leila:kayla) 1-1][person:we g(leila:kayla) 7-7]
leila| Yeah I know you will select best costume I am eagerly waiting for that| [person:leila f 1-1][person:kayla f 3-3][person:leila f 8-8]

conv:people_long_0313_86:aug_0:chat_0:chataug_0| dira emma| [person:dira f 0-0][person:emma f 1-1]
emma| Hey Dira What do you think about the real estate agents Josie and Gina| [person:dira f 1-1][person:dira f 4-4][person:josie f 11-11][person:gina f 13-13]
dira| I don t know but they progressed a lot as real estate agents| [person:dira f 0-0][person:they g(josie:gina) 5-5]
emma| Yeah they really did a great work and has an enough progress| [person:dira f 1-1]
dira| Yeah but I m really unhappy with them| [person:dira f 2-2][person:them g(josie:gina) 7-7]
emma| What s the reason that you are unhappy with them| [person:dira f 5-5][person:them g(josie:gina) 9-9]
dira| I m extremely frustrated by their lazy and unprofessional behaviour with us| [person:dira f 0-0][person:their g(josie:gina) 5-5][person:us g(emma:dira) 11-11]
dira| Later that day I received a threatening text from the agents| [person:dira f 3-3]
emma| What kind of threatening text did you receive from them| [person:emma f 6-6][person:them g(josie:gina) 9-9]
dira| They texted me about the contract we had with them| [person:they g(josie:gina) 0-0][person:dira f 2-2][person:we g(emma:dira) 6-6][person:them g(josie:gina) 9-9]
emma| Oh then it is really very complicated to continue the contract with them| [person:them g(josie:gina) 12-12]
emma| What shall we do now| [person:we g(emma:dira) 2-2]
dira| I don t know I m thinking whether to stay bound in the contract or take some legal action against the agents| [person:dira f 0-0][person:dira f 4-4]
emma| We better take some legal action against them as they do not have any right to threaten you| [person:we g(emma:dira) 0-0][person:them g(josie:gina) 7-7][person:they g(josie:gina) 9-9][person:dira f 17-17]
dira| Yeah I ll take a legal action against them for sure| [person:dira f 1-1][person:them g(josie:gina) 8-8]

conv:people_long_0313_90:aug_0:chat_0:chataug_0| kate nate| [person:kate f 0-0][person:nate m 1-1]
kate| Hey Nate My parents came to see me this morning and brought me some freshly caught salmon| [person:nate m 1-1][person:kate f 2-2][person:parents g() 3-3][person:kate f 7-7][person:kate f 12-12]
nate| Wow that s a wonderful surprise From where they bought those| [person:parents g() 8-8]
kate| My dad had gone fishing yesterday and he caught a lot of salmon there| [person:kate f 0-0][person:dad m 1-1][person:dad m 7-7]
nate| Great even I would love to go fishing Will he let us join next time| [person:nate m 2-2][person:dad m 9-9][person:us g(kate:nate) 11-11]
kate| Of course he will be happy to join us He is planning to go fishing again next weekend We can join him| [person:dad m 2-2][person:us g(kate:nate) 8-8][person:dad m 9-9][person:we g(kate:nate) 18-18][person:dad m 21-21]
kate| Anyhow my mother will not join him this time as she is already tired from yesterday s trip| [person:kate f 1-1][person:dad m 6-6][person:mother f 10-10]
nate| That s cool so what are you thinking to do with those salmon| [person:kate f 6-6]
nate| Hey we can grill those salmon for our dinner What do you say| [person:we g(kate:nate) 1-1][person:we g(kate:nate) 7-7][person:kate f 11-11]
kate| Yeah even I am planning to do the same thing| [person:kate f 2-2]
kate| But I want to know what should we do with the remaining salmon| [person:kate f 1-1][person:we g(kate:nate) 7-7]
nate| Let s grill some and freeze the rest so that we can use it later| [person:we g(kate:nate) 10-10]
nate| It will be awesome this whole week we can prepare different items with it| [person:we g(kate:nate) 7-7]
kate| Yeah we can smoke the salmon as well I hope we can have different varieties of it| [person:we g(kate:nate) 1-1][person:kate f 8-8][person:we g(kate:nate) 10-10]
nate| Right I will try to return earlier today from office See you in the evening| [person:nate m 1-1][location:office s 9-9][person:kate f 11-11]

conv:people_long_0313_92:aug_0:chat_0:chataug_0| destiny lily| [person:destiny f 0-0][person:lily f 1-1]
destiny| HI|
destiny| how are you| [person:lily f 2-2]
destiny| If guns disappeared partners who lash out in a moment of anger are much less likely to inflict fatal damage| [person:partners g() 3-3][person:partners g() 4-4]
lily| i am fine| [person:lily f 0-0]
lily| read and part of reading is knowing the conventions recognizing them and I want my students not only to agree with me that indeed Mr Lindner is an| [person:lily f 12-12][person:lily f 14-14][person:students g() 15-15][person:lily f 21-21][person:lindner m 25-25]
destiny| what is your name| [person:lily f 2-2]
destiny| So that they will respect the land tell your children that the earth is rich with the| [person:children g() 2-2][person:lily f 8-8][person:children g() 9-9]
lily| Get all the Super Tuesday results here|
destiny| Sanders Biden say they ve raised millions in recent days| [person:sanders m 0-0][person:biden f 1-1][person:they g(sanders:biden) 3-3]
