conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
melissa| Yes we can have the party in my home What shall we plan for the party| [person:we g(janet:melissa) 1-1][person:melissa f 7-7][location:home s 8-8][person:we g(janet:melissa) 11-11]
janet| We shall cook some western food for the dinner and get drinks from outside| [person:we g(janet:melissa) 0-0]
melissa| Yeah That s ok We shall also try some noodles with spring onion| [person:we g(janet:melissa) 4-4]
janet| At the same time we shall listen to loud upbeat music| [person:we g(janet:melissa) 4-4]
melissa| I think my neighbor Jessica would complain about the sounds| [person:melissa f 0-0][person:melissa f 2-2][person:jessica f 3-3][person:jessica f 4-4]
janet| We shall invite her to join the party and I think she would be a good company| [person:we g(janet:melissa) 0-0][person:jessica f 3-3][person:janet f 9-9][person:jessica f 11-11]
melissa| Yeah That s a good idea to invite her to join for the night in| [person:jessica f 8-8]

conv:people_chats_04182020_239:aug_0:chat_0:chataug_0| britney tommy| [person:britney f 0-0][person:tommy m 1-1]
tommy| Hey Britney I want to film a video Will you help me out| [person:britney f 1-1][person:tommy m 2-2][person:britney f 9-9][person:tommy m 11-11]
britney| I will surely help you Tommy How are you planning to film it| [person:britney f 0-0][person:tommy m 4-4][person:tommy m 5-5][person:tommy m 8-8]
tommy| I didn t get you What do you mean by it Britney| [person:tommy m 0-0][person:britney f 4-4][person:britney f 7-7][person:britney f 11-11]
britney| I mean we need a good equipment to film a video Do you have it| [person:britney f 0-0][person:we g(tommy:britney) 2-2][person:tommy m 12-12]
tommy| Yeah I know We can buy new equipment| [person:tommy m 1-1][person:we g(tommy:britney) 3-3]
britney| My friends Cara and Marcus have an amazing video equipment You can look for the same equipment online| [person:britney f 0-0][person:friends g() 1-1][person:cara f 2-2][person:marcus m 4-4][person:tommy m 10-10]
tommy| Yeah I found that same equipment online just check out the pictures I have sent you| [person:tommy m 1-1][person:tommy m 12-12][person:britney f 15-15]
britney| Hey that s the same equipment my friends have Let s buy it immediately| [person:britney f 6-6][person:friends g(cara:marcus) 7-7]
tommy| I am happy that we got a good deal I hope we can film a good video| [person:tommy m 0-0][person:we g(tommy:britney) 4-4][person:tommy m 9-9][person:we g(tommy:britney) 11-11]
britney| Yeah we will film a good video| [person:we g(tommy:britney) 1-1]

conv:people_chats_04182020_241:aug_0:chat_0:chataug_0| dorothy patricia| [person:dorothy f 0-0][person:patricia f 1-1]
dorothy| Patricia remember to pickup some pasta for me| [person:patricia f 0-0][person:dorothy f 7-7]
patricia| Yeah Okay but I was thinking what our cousins would like to eat| [person:patricia f 3-3][person:patricia_and_dorothy g(dorothy:patricia) 7-7][person:cousins g() 8-8]
dorothy| I know for sure Edgar likes fruits a lot I am not sure about Elizabeth| [person:dorothy f 0-0][person:edgar m 4-4][person:dorothy f 9-9][person:elizabeth f 14-14]
patricia| Elizabeth is fond of cookies chips and all kind of snacks do you think I should buy them| [person:elizabeth f 0-0][person:dorothy f 12-12][person:patricia f 14-14]
dorothy| Sure also remember to pickup some apples for Edgar| [person:edgar m 8-8]
patricia| Okay I ll do that and if you find something good to eat then buy that we can try something new| [person:patricia f 1-1][person:dorothy f 7-7][person:patricia_and_dorothy g(dorothy:patricia) 16-16]
dorothy| I was thinking about how both of them have very opposite tastes| [person:dorothy f 0-0][person:cousins g(edgar:elizabeth) 7-7]
patricia| Yeah and shopping based on their preferences is also quite hard anyway let s buy some drinks also it is good for health too| [person:cousins g(edgar:elizabeth) 5-5]
dorothy| yeah I will pick a few drinks and meet you at the billing| [person:dorothy f 1-1][person:patricia f 9-9]
patricia| Okay let s make it quick and move from here|

conv:people_chats_04182020_242:aug_0:chat_0:chataug_0| jordan virginia| [person:jordan m 0-0][person:virginia f 1-1]
virginia| The night out was really fun Jordan I had a great time| [location:jordan s 6-6][person:virginia f 7-7]
jordan| Yeah I enjoyed it too we should do this often| [person:jordan m 1-1][location:jordan s 3-3][person:we g(virginia:jordan) 5-5]
virginia| That s a good idea Hey is that our neighbors Logan and Sarah s house| [person:we g(virginia:jordan) 8-8][person:neighbors g() 9-9][person:logan m 10-10][person:sarah f 12-12]
jordan| Yeah and look they ve finished decorating their house for Halloween| [person:neighbors g(logan:sarah) 3-3][person:neighbors g(logan:sarah) 7-7]
virginia| Yeah the decoration looks very good I think we can take a few ideas from their decoration| [person:virginia f 6-6][person:we g(virginia:jordan) 8-8][person:neighbors g(logan:sarah) 15-15]
jordan| You re right look at those skulls hanging That really is a good decoration for Halloween| [person:virginia f 0-0]
virginia| Even the lighting is different we could use that in our decoration| [person:we g(virginia:jordan) 5-5][person:we g(virginia:jordan) 10-10]
jordan| We should start shopping for decorating our house too I can get all the materials needed| [person:we g(virginia:jordan) 0-0][person:we g(virginia:jordan) 6-6][person:jordan m 9-9]
virginia| Yeah get the material and then we can start decorating| [person:we g(virginia:jordan) 6-6]
jordan| Okay I ll get it done by evening and then we ll proceed forward| [person:jordan m 1-1][person:we g(virginia:jordan) 10-10]

conv:people_chats_04182020_243:aug_0:chat_0:chataug_0| darren megan| [person:darren m 0-0][person:megan f 1-1]
darren| Hey Megan How about a scary movie this weekend| [person:megan f 1-1]
megan| Hi Darren Sure Shall we also invite Matt and Stacey| [person:darren m 1-1][person:we g(darren:megan) 4-4][person:matt m 7-7][person:stacey f 9-9]
darren| Why not but i guess Matt is not a big fan of Horror movies| [person:darren m 3-3][person:matt m 5-5]
megan| Actually that s correct How about romantic or action movie|
darren| I am up for anything but we have to consider Matt and Stacey interests as well| [person:darren m 0-0][person:we g(darren:megan) 6-6][person:matt m 10-10][person:stacey f 12-12]
megan| Yes Stacey is fan of action movies and comedy movies| [person:stacey f 1-1]
darren| How about Matt| [person:matt m 2-2]
megan| He kind of like romantic movies and comedy movies| [person:matt m 0-0]
darren| Why don t we plan for comedy movie which everyone can like| [person:we g(darren:megan) 3-3][person:everyone g(darren:megan:matt:stacey) 9-9]
megan| Sure we can do that| [person:we g(darren:megan) 1-1]

conv:people_chats_04182020_244:aug_0:chat_0:chataug_0| charles matiaskova| [person:charles m 0-0][person:matiaskova f 1-1]
charles| Hey Matiaskova I have something to share with you| [person:matiaskova f 1-1][person:charles m 2-2][person:matiaskova f 8-8]
matiaskova| Yeah say I am returning from college| [person:matiaskova f 2-2]
charles| Today I got the new girl Jean s number from one of her friends| [person:charles m 1-1][person:jean f 6-6][person:jean f 12-12][person:friends g() 13-13]
matiaskova| Why do start collecting all the girl s number|
charles| I love to connect with different people Isn t she beautiful I have heard that even she is good in studies| [person:charles m 0-0][person:jean f 9-9][person:charles m 11-11][person:jean f 16-16]
matiaskova| That s really very annoying as you are my best friend I can t stop talking to you| [person:charles m 6-6][person:matiaskova f 8-8][person:charles m 10-10][person:matiaskova f 11-11][person:charles m 17-17]
charles| Are you getting irritated to me| [person:matiaskova f 1-1][person:charles m 5-5]
matiaskova| Have you seen Andre He is so good that girls come to him by own to talk to him| [person:charles m 1-1][person:andre m 3-3][person:andre m 4-4][person:girls g() 9-9][person:andre m 12-12][person:andre m 18-18]
charles| You are not my best friend You are comparing me with him| [person:matiaskova f 0-0][person:charles m 3-3][person:matiaskova f 5-5][person:matiaskova f 6-6][person:charles m 9-9][person:andre m 11-11]
matiaskova| Don t get angry unnecessarily I am saying that truth Anyways it s your choice what you want to do| [person:matiaskova f 5-5][person:charles m 13-13][person:charles m 16-16]

conv:people_chats_04182020_245:aug_0:chat_0:chataug_0| patrick virginia| [person:patrick m 0-0][person:virginia f 1-1]
patrick| Hey Virginia are you ready for the carnival It s going to be very colorful| [person:virginia f 1-1][person:virginia f 3-3]
virginia| Although I am excited about it but worried about the coupons| [person:virginia f 1-1]
virginia| I can t think of waiting in the line in such hot weather Who is going to buy the coupons| [person:virginia f 0-0]
patrick| Don t worry One of my friend Alicia had purchased fast lane coupons previously to skip the line| [person:patrick m 5-5][person:alicia f 6-6][person:alicia f 7-7]
virginia| Wow that s great Can you please find out the details| [person:alicia f 5-5]
patrick| Alright then let me check from the carnival website if I can find it| [person:patrick m 3-3][person:patrick m 10-10]
virginia| Hey no need to worry I already found out I am buying it for both of us| [person:virginia f 5-5][person:virginia f 9-9][person:us g(patrick:virginia) 16-16]
patrick| Wow that s great We can relax instead of waiting in the line| [person:we g(patrick:virginia) 4-4]
virginia| It s done I am sending you the transaction details| [person:virginia f 3-3][person:patrick m 6-6]
patrick| It s going to be great fun I really can t wait| [person:patrick m 7-7]

conv:people_chats_04182020_246:aug_0:chat_0:chataug_0| jamie myra| [person:jamie m 0-0][person:myra f 1-1]
myra| Hey Jamie What are you doing| [person:jamie m 1-1][person:jamie m 4-4]
jamie| I was just finishing my homework| [person:jamie m 0-0][person:jamie m 4-4]
myra| Me too Do you know the answer to question 5 I m unable to solve it| [person:myra f 0-0][person:jamie m 3-3][person:myra f 10-10]
jamie| No Myra I also don t know the answer Why won t you ask Austin| [person:myra f 1-1][person:jamie m 2-2][person:myra f 12-12][person:austin m 14-14]
myra| No I do not want to ask him| [person:myra f 1-1][person:austin m 7-7]
jamie| Why What is the matter|
myra| He is very mean to me He s not going to help my with my homework| [person:austin m 0-0][person:myra f 5-5][person:austin m 6-6][person:myra f 12-12][person:myra f 14-14]
jamie| Okay let s email our teacher Wayne because he knows answers to all the questions| [person:our g(myra:jamie) 4-4][person:wayne m 6-6][person:wayne m 8-8]
myra| That s a good idea He will definitely help is he s the teacher after all| [person:wayne m 5-5][person:wayne m 10-10]
jamie| Alright I will send him an email| [person:jamie m 1-1][person:wayne m 4-4]

conv:people_chats_04182020_248:aug_0:chat_0:chataug_0| meredith nate| [person:meredith f 0-0][person:nate m 1-1]
meredith| Hey Nate will you be available for this weekend| [person:nate m 1-1][person:nate m 3-3]
nate| Yeah I don t have any specific plannings yet What are you doing| [person:nate m 1-1][person:meredith f 11-11]
meredith| I m having a tough time deciding between paint balling or golfing Please suggest me an activity between them| [person:meredith f 0-0][person:meredith f 14-14]
nate| Anything of your choice Meredith Let s also invite Michael| [person:meredith f 2-2][person:meredith f 4-4][person:michael m 9-9]
meredith| That would be good but I don t think he can come| [person:meredith f 5-5][person:michael m 9-9]
nate| How do you Did you have a conversation with him| [person:meredith f 2-2][person:meredith f 4-4][person:michael m 9-9]
meredith| I ve already talked to him and he said that he is going to be too busy| [person:meredith f 0-0][person:michael m 5-5][person:michael m 7-7][person:michael m 10-10]
nate| Would you like to invite anyone else| [person:meredith f 1-1][person:anyone u 5-5]
meredith| I guess Kimberly might be available for this weekend I ll confirm with her| [person:meredith f 0-0][person:kimberly f 2-2][person:meredith f 9-9][person:kimberly f 13-13]
nate| Great it would be fun Just ask her choice| [person:kimberly f 7-7]

conv:people_chats_04182020_251:aug_0:chat_0:chataug_0| emily val| [person:emily f 0-0][person:val f 1-1]
emily| Hey Val What do you think of the two go on a double date| [person:val f 1-1][person:val f 4-4]
val| Hey Emily I think it is a good idea As it makes it feel less awkward| [person:emily f 1-1][person:val f 2-2]
emily| Where do we take them for the date night Do you have any particular place in mind| [person:we g(emily:val) 2-2][person:them g() 4-4][person:val f 10-10][location:place s 14-14]
